a	<i>romanization</i><br><ol><li>Romanization of 𒀀 (a)</li></ol>
𒄬|ḫal	<i>verb</i><br><ol><li>to divide, deal out, distribute</li></ol>
𒄭|dub|dug₃|dub₃|du₁₀|dug	<i>noun</i><br><ol><li>knee</li><li>lap</li></ol><br><i>verb</i><br><ol><li>to be good, pleasing, enjoyable</li><li>to be sweet</li><li>to enjoy, relish</li></ol>
𒄭𒇷𒋼|ḫi-li teg̃₃|𒄭𒇷⫽𒋼|ḫili teg̃	<i>verb</i><br><ol><li>to love, be fond of, attracted to</li></ol>
𒄭𒈨𒁕|ḫe-me-da|ḫemeda	<i>noun</i><br><ol><li>purple</li><li>red wool</li></ol>
𒄭𒊬|ḫiˢᵃʳ|ḫi-izˢᵃʳ|ḫiz|𒄭𒄑𒊬	<i>noun</i><br><ol><li>lettuce</li></ol>
𒄮|𒋼|sur₃|mul|mul₂|sur	<i>noun</i><br><ol><li>ditch, canal</li><li>foundation pit of a building</li><li>(burial) pit</li></ol>
𒄯|mur|𒄵|ur|ur₅|ara₃|ara|ḫur	<i>noun</i><br><ol><li>handmill</li><li>lung</li></ol><br><i>verb</i><br><ol><li>to grind</li><li>to scratch</li><li>to draw, incise</li></ol><br><i>pron</i><br><ol><li>he, one</li><li>that, this same</li><li>this, this way, thus, so</li><li>together</li></ol>
𒄯𒊏𒀭|ḫar-ra-an|ḫarran	<i>noun</i><br><ol><li>route, path, passage</li><li>caravan</li></ol>
𒄯𒊕|ḫursag̃|ḫur-sag̃	<i>noun</i><br><ol><li>mountains, mountain range, highlands, foothills</li></ol>
𒄰|tu₇|tu	<i>noun</i><br><ol><li>soup</li></ol>
𒄴|eḫ	<i>noun</i><br><ol><li>insect, bug</li><li>moth, louse, flee</li></ol>
𒄴𒈨|gudug|gudu₄	<i>noun</i><br><ol><li>an ordinary kind of priest, conventionally translated as lustration priest or purification priest</li></ol>
𒄷|mušen|ḫur|ḫu	<i>noun</i><br><ol><li>bird</li></ol><br><i>verb</i><br><ol><li>to scrape off, grub up</li></ol>
𒄷𒄭|mud	<i>noun</i><br><ol><li>blood</li></ol>
𒄷𒈿|še|sa₄|še₂₁	<i>verb</i><br><ol><li>(transitive) to call by name</li></ol>
𒄷𒌷𒅔𒄷|mušen	<i>noun</i><br><ol><li>eagle</li></ol>
𒄾|ḫul₂|ḫul	<i>verb</i><br><ol><li>to rejoice, be happy, delight in</li></ol>
𒄿|i	<i>intj</i><br><ol><li>(vocative interjection) hey</li></ol><br><i>verb</i><br><ol><li>to sprout, come forth</li><li>to praise</li><li>to cry</li></ol>
𒄿𒇻|kug̃|kug̃₄|ilu|kun₄|i-lu	<i>noun</i><br><ol><li>cry</li><li>wail, lament</li><li>joyful song</li></ol>
𒄿𒉈|i-bi₂|ibi	<i>noun</i><br><ol><li>(Emesal) eye, face, front</li></ol>
𒄿𒋛𒅖|isiš|𒅖|i-si-iš|𒀅|isiš₃	<i>noun</i><br><ol><li>tears</li><li>wailing, lamentation, sorrow</li></ol>
𒅁|eb|ib|urta	<i>noun</i><br><ol><li>oval</li><li>shrine</li><li>(ear of) barley</li></ol>
𒅅|g̃al|ig|g̃al₂	<i>verb</i><br><ol><li>to exist, be there</li><li>to produce, cause to be, provide</li><li>(with comitative) to be in the care or possession of.</li></ol>
𒅆|igi	<i>adj</i><br><ol><li>first, earlier</li></ol><br><i>noun</i><br><ol><li>eye</li><li>sight, vision, view</li><li>face, countenance</li><li>front</li></ol>
𒅆𒁇|igi bar|𒅆⫽𒁇	<i>verb</i><br><ol><li>to look at</li><li>to inspect</li></ol>
𒅆𒂍|u₆|u	<i>noun</i><br><ol><li>admiration</li></ol><br><i>verb</i><br><ol><li>to stare, oversee</li></ol>
𒅆𒂍𒉪|unir|u₆-nir	<i>noun</i><br><ol><li>temple tower, ziggurat</li></ol>
𒅆𒃻|𒅆⫽𒃻|igi g̃ar	<i>verb</i><br><ol><li>to regard, gaze at</li><li>to confront, face, appear (in court)</li></ol>
𒅆𒊒|pad|pad₃	<i>verb</i><br><ol><li>to find, discover</li><li>to come into view or consideration, be revealed</li><li>to reveal, show</li><li>to name, nominate</li><li>to swear, invoke (by the name of)</li><li>to choose</li><li>to adjure</li></ol>
𒅆𒋧|𒅆⫽𒋧|igi sig₁₀|igi sig	<i>verb</i><br><ol><li>to see</li></ol>
𒅆𒌨|ḫulu|ḫul	<i>verb</i><br><ol><li>to be bad, evil</li><li>to ruin, damage, destroy</li></ol>
𒅆𒌨𒍼|𒅆𒌨⫽𒍼|ḫulu gig	<i>verb</i><br><ol><li>to hate</li></ol>
𒅇|u₃	<i>conj</i><br><ol><li>and, also, furthermore, moreover</li><li>(correlative) either... or, neither... nor</li></ol>
𒅇𒈛|uluḫ|u₃-luḫ	<i>noun</i><br><ol><li>sapling, offshoot, tree branch</li><li>(transferred sense) scepter</li></ol>
𒅇𒈬𒌦|umun|u₃-mu-un|𒌋	<i>noun</i><br><ol><li>(Emesal) lord</li></ol>
𒅇𒌅|𒌅|tud|u₃-tu|utud	<i>verb</i><br><ol><li>to give birth. bear (a child)</li><li>to create a statue</li></ol>
𒅊|sig|sig₁₇|se₁₂|𒄀|sissig|sig₇|sig₁₅|si₁₂|𒆗|agar₄|agar|𒅊𒅊	<i>adj</i><br><ol><li>green, yellow, pale</li></ol><br><i>verb</i><br><ol><li>to pluck hair or wool</li><li>to be trimmed, pruned</li><li>to be green, yellow, pale</li></ol>
𒅍|gur|il|il₂|gur₃|𒃸|gur₆	<i>noun</i><br><ol><li>carrier, porter</li></ol><br><i>verb</i><br><ol><li>to carry</li><li>to raise, lift</li><li>to bear, endure</li><li>to bear, carry</li></ol>
𒅎𒈠|imma|im-ma	<i>noun</i><br><ol><li>last year</li></ol>
𒅎𒊑𒀀|im-ri-a|imria	<i>noun</i><br><ol><li>clan, family</li></ol>
𒅎𒋗𒆸|𒋗𒆸|ⁱᵐšu-rin|šurin|šu-rin	<i>noun</i><br><ol><li>oven</li></ol>
𒅔|in	<i>noun</i><br><ol><li>insult, abuse, taunt, invective</li><li>sector</li></ol>
𒅔𒉡|in|𒅔𒌋|inu|in-u|𒅔|in-nu	<i>noun</i><br><ol><li>straw</li></ol>
𒅕|ir	<i>verb</i><br><ol><li>(Emesal) to bring; to lead away; to take, rob</li></ol>
𒅖|isiš|mel|ukum|saḫar|kuš₇|kuš|iši/|iš	<i>noun</i><br><ol><li>sand dune</li><li>devastation</li><li>summer</li><li>malt flour</li><li>soil, dirt, sand</li><li>dust, powder</li><li>ore</li><li>duststorm</li></ol>
𒅗|dug₄|gu₃|dug|inim|kir₄|zu₂|du₁₁|zu|ka|kag|and imperfective 𒂊|and infinitive stem 𒁲|gu|kir|kiri₃|zuḫ|kiri	<i>noun</i><br><ol><li>voice, cry, sound, noise</li><li>word</li><li>command</li><li>matter, affair</li><li>mouth</li><li>opening</li><li>origin, beginning, inception</li><li>hyena</li><li>nose, muzzle</li><li>tooth, fang</li><li>tine (of tool or weapon)</li><li>ivory</li></ol><br><i>verb</i><br><ol><li>(auxiliary verb) to do, use</li><li>to act, serve as</li><li>to speak, talk, say</li><li>to steal</li></ol>
𒅗𒀭𒉌𒋛|kurku|kurku₂	<i>noun</i><br><ol><li>thunder</li></ol>
𒅗𒄄|inim gi₄|𒅗⫽𒄄|inim gi	<i>verb</i><br><ol><li>to answer, reply</li></ol>
𒅗𒈲|kamuš|ka-muš	<i>noun</i><br><ol><li>tooth worm</li><li>a type of chair or bed</li></ol>
𒅗𒈾𒉘	<i>noun</i><br><ol><li>(Emesal) land, country (normally referring to Sumer)</li></ol>
𒅗𒌤|𒅗⫽𒌤|gu₃ de₂|gu de	<i>verb</i><br><ol><li>to say, speak, address</li><li>to call, summon, designate</li><li>(with ablative) to recite, read out</li></ol>
𒅗𒌤𒀀|Gudea|gu₃-de₂-a	<i>name</i><br><ol><li>Gudea (ensi of the state of Lagash)</li></ol>
𒅘|form 𒅘𒅘|nag̃	<i>verb</i><br><ol><li>to drink</li><li>to irrigate, water</li></ol>
𒅜|uš|uš₁₁	<i>noun</i><br><ol><li>poison</li><li>spittle</li><li>spell</li></ol>
𒅡𒅡|mu₃-mu₃|mu-mu	<i>verb</i><br><ol><li>to crash</li><li>to chew</li></ol>
𒅥|gu₇|gu	<i>verb</i><br><ol><li>to eat</li><li>to consume, devour</li><li>to have the usufruct of</li></ol>
𒅮|bun₂|bun	<i>noun</i><br><ol><li>bladder</li></ol>
𒅴|eme	<i>noun</i><br><ol><li>tongue</li><li>language</li></ol>
𒅴𒂠|eme-gir₁₅|emegir	<i>noun</i><br><ol><li>Emegir (the main dialect of Sumerian), the Sumerian language</li></ol><br><i>adj</i><br><ol><li>Sumerian</li></ol>
𒅴𒊩|emesal|eme-sal	<i>noun</i><br><ol><li>Emesal ("fine speech", the women's dialect of Sumerian, used in laments and temple liturgies and for direct speech of goddesses)</li></ol>
𒅴𒋝|eme-sig|emesig	<i>noun</i><br><ol><li>base speach, slander, calumny</li></ol>
𒅴𒋝𒅥|eme-sig gu₇|𒅴𒋝⫽𒅥|emesig gu	<i>verb</i><br><ol><li>to slander, speak falsely, lie</li></ol>
𒅻|nundum|nundun	<i>noun</i><br><ol><li>lip</li><li>rim (of a vessle)</li></ol>
𒅾|sum₄|su₆|sum	<i>noun</i><br><ol><li>beard</li></ol>
𒆍|kan|ka₂|kan₄	<i>noun</i><br><ol><li>door, gate</li></ol>
𒆍𒀭𒊏𒆠|babilim|babilim₂ᵏⁱ	<i>name</i><br><ol><li>Babylon</li></ol>
𒆍𒃲|abula	<i>noun</i><br><ol><li>city gate, main gate or entrance</li></ol>
𒆏|gab₂|gubu₃|gabu₂|gub₃|gabu|gubu/	<i>noun</i><br><ol><li>left, left-hand, left side</li></ol>
𒆕|du₃|dru₃|du|řu	<i>verb</i><br><ol><li>to build, erect, make</li><li>to plant</li><li>to apply, affix, make fast, build onto, fasten onto</li><li>to detain, hold back, restrain, impede, catch, hold onto, retain</li><li>to drive in, insert</li><li>to be all</li></ol>
𒆕𒀀𒁉|du₃-a-bi|duabi	<i>noun</i><br><ol><li>all (of it/them)</li></ol>
𒆗|sig|g̃uruš|lamma|lammar|sig₁₅|kala|kal|siki|kalag	<i>noun</i><br><ol><li>young man, able-bodied man, adult male worker</li><li>a kind of bread</li></ol><br><i>verb</i><br><ol><li>to be strong, mighty, powerful</li><li>to strengthen, reinforce, mend</li><li>to provide for</li></ol>
𒆜|kaskal	<i>noun</i><br><ol><li>way, road</li><li>journey, commercial travelling, caravan</li><li>conquering expedition, military campaign</li></ol>
𒆟|gir|keš₂|gir₁₁|kešed	<i>verb</i><br><ol><li>to yoke, harness, bind</li><li>to bind, put together</li></ol>
𒆠|ki	<i>noun</i><br><ol><li>place</li><li>ground, earth</li><li>the netherworld</li><li>(relative pronoun) where</li><li>state, country</li></ol>
𒆠𒁀|ki-ba|kibâ	<i>phrase</i><br><ol><li>there, on this place</li></ol>
𒆠𒂗𒄀|Kengir|ki-en-gi	<i>name</i><br><ol><li>Sumer</li></ol>
𒆠𒉆𒀀𒇒𒊏|ki-nam-esir-ra|kinamesira	<i>noun</i><br><ol><li>forehead</li></ol>
𒆠𒉘|ki ag̃₂|𒆠⫽𒉘|ki ag̃	<i>verb</i><br><ol><li>to love</li></ol>
𒆠𒊹|kišar|ki-šar₂	<i>noun</i><br><ol><li>horizon, everywhere, the whole earth, totality</li></ol>
𒆠𒋩𒊏|kisura|ki-sur-ra	<i>noun</i><br><ol><li>border, boundary, territory</li></ol>
𒆠𒌓|kislaḫ|kislaḫ₂|𒆣	<i>noun</i><br><ol><li>threshing floor</li><li>empty land, uncultivated/uninhabited land</li><li>vacant lot</li></ol>
𒆠𒌓𒁀|ki-ud-ba|ki'udbâ	<i>phrase</i><br><ol><li>there and then, once upon a time, formerly</li></ol>
𒆠𒌵|ki-uri|Kiuri	<i>name</i><br><ol><li>Akkad</li></ol>
𒆤|lil₂|lil|kid	<i>noun</i><br><ol><li>wind, air</li><li>open air, outdoors, open country</li><li>nothingness</li><li>phantom</li></ol>
𒆦|kisal	<i>noun</i><br><ol><li>courtyard</li></ol>
𒆧|kiš	<i>noun</i><br><ol><li>totality, world</li></ol>
𒆪|dab₅|dab|𒁳|dab₆|tukul|𒍏	<i>verb</i><br><ol><li>to grasp, hold, seize</li></ol>
𒆪𒇷|gu₅-li|guli	<i>noun</i><br><ol><li>friend</li></ol>
𒆬|kug|ku₃	<i>noun</i><br><ol><li>metal</li><li>silver</li></ol><br><i>verb</i><br><ol><li>to be sacred, holy, pure</li><li>to sanctify, purify</li></ol>
𒆬𒄀|kug|ku₃-sig₁₇|kusig|kugsig	<i>noun</i><br><ol><li>gold</li></ol>
𒆬𒌓|kugbabbar|kug-babbar|ku₃-babbar	<i>noun</i><br><ol><li>silver</li></ol>
𒆭|kur|ku₄|kur₉	<i>verb</i><br><ol><li>to enter</li><li>to make enter, bring in, introduce</li><li>to become, turn into, be declared to be</li><li>to be made liable for</li></ol>
𒆯|ku-ku|𒆯𒆯|ku₇|ku₇-ku₇|kud|form 𒆯𒆯	<i>verb</i><br><ol><li>to be sweet</li><li>to be good</li></ol>
𒆰|numun	<i>noun</i><br><ol><li>seed</li><li>sowing</li><li>cornfield</li><li>semen</li><li>offspring, progeny</li></ol>
𒆳|kur	<i>noun</i><br><ol><li>mountain</li><li>(foreign) land, country</li><li>east, easterner, east wind</li><li>netherworld</li></ol>
𒆷𒀝|𒋃|la-ag|lag	<i>noun</i><br><ol><li>clod (of earth), lump</li></ol>
𒆸|nig̃in₂|lagab	<i>noun</i><br><ol><li>block, slab, lump</li><li>stamp (of a tree)</li></ol><br><i>verb</i><br><ol><li>to break into clods</li><li>to circle about, go around, wander about</li><li>to encircle, enclose, surround</li><li>to be surrounded with</li></ol>
𒇇|u₈|laḫar|u	<i>noun</i><br><ol><li>ewe</li></ol>
𒇉|engur	<i>noun</i><br><ol><li>depths, cosmic underground waters</li></ol>
𒇋|šara|šara₂|agar|agar₂	<i>verb</i><br><ol><li>to slander</li></ol>
𒇌|dilim₃|immindu|𒇅|ninindu|dilim	<i>noun</i><br><ol><li>oven</li></ol>
𒇙|men|men₄	<i>noun</i><br><ol><li>(Old Sumerian) Alternative form of 𒃞 (men)</li></ol>
𒇥|gigir₂|ḫab|gigir|ḫab₂	<i>verb</i><br><ol><li>to be malodorous, fetid, redolent</li><li>to be dark, stained</li><li>to be bittersweet</li></ol>
𒇯|du₆|dud	<i>noun</i><br><ol><li>(ruin) mound</li></ol>
𒇯𒁺|e₁₁	<i>verb</i><br><ol><li>to ascend, go up</li></ol>
𒇲|la|la₂	<i>verb</i><br><ol><li>to hang, balance, suspend</li><li>to weigh, weigh out, pay</li><li>to show, display</li></ol>
𒇶𒆠|aratta|𒇶|arattaᵏⁱ|Aratta	<i>adj</i><br><ol><li>heavy</li><li>important</li></ol><br><i>name</i><br><ol><li>Aratta, a land.</li></ol>
𒇷|𒄑𒇷|𒄑𒋆𒇷|li	<i>noun</i><br><ol><li>juniper</li></ol>
𒇷𒋻|en₃ tar|𒇷⫽𒋻|en tar	<i>verb</i><br><ol><li>to ask, question, investigate</li><li>to take care of, attend to</li></ol>
𒇻|udu	<i>noun</i><br><ol><li>sheep, ram, ovine</li></ol>
𒇻𒂠𒊬|lub|lu-ub₂ˢᵃʳ	<i>noun</i><br><ol><li>turnip</li></ol>
𒇻𒉌|udu-i₃|udu'i	<i>noun</i><br><ol><li>fattened sheep</li></ol>
𒇻𒌀|ᵐᵘˡudu-til|𒀯𒇻𒌀|udutil|udu-til	<i>noun</i><br><ol><li>wild sheep</li><li>planet</li></ol>
𒇽|lu₂|lu|lû|lu₂-u₃|𒇽𒅇	<i>noun</i><br><ol><li>man, person</li><li>someone</li><li>person in charge</li><li>(virtual relative pronoun) the one who</li></ol>
𒇽𒅗𒈠|lu'inimak|lu₂-inim-ma	<i>noun</i><br><ol><li>witness</li></ol>
𒇽𒊕𒈗|lusag̃lugal|lu₂-sag̃-lugal	<i>noun</i><br><ol><li>a royal officer</li></ol>
𒇽𒍇|lulu|lu₂-lu₇	<i>noun</i><br><ol><li>men, people</li><li>human beings, mankind, humanity</li></ol>
𒇿|ad₇|adda|adda₂|ad₆|𒇼|𒈕	<i>noun</i><br><ol><li>corpse</li><li>wreck (of a boat)</li></ol>
𒈗|lugal|lu₂-gal|𒇽𒃲	<i>noun</i><br><ol><li>king</li><li>lord</li><li>master</li><li>owner</li></ol>
𒈛|luḫ|sukkal	<i>noun</i><br><ol><li>secretary, civil servant</li><li>diplomat, envoy</li></ol><br><i>verb</i><br><ol><li>to clean, wash, refine</li></ol>
𒈝|lum|egir|egir₅	<i>noun</i><br><ol><li>excrement</li></ol><br><i>verb</i><br><ol><li>to be fruitful, fertile, productive</li><li>to be full, replete, satisfied</li><li>to grow (tall), thrive</li></ol>
𒈠𒀠|mal|ma-al	<i>verb</i><br><ol><li>(Emesal) to be there, exist</li></ol>
𒈠𒁕|ma-da|mada	<i>noun</i><br><ol><li>land, country, district, territory</li><li>countryside, frontier</li></ol>
𒈠𒈾|ma-na|mana	<i>noun</i><br><ol><li>mina, a Sumerian unit of weight, weighing about 500±40 grams.</li></ol>
𒈠𒊬|ma-mu|𒈠𒈬|mamud|ma-mu₂	<i>noun</i><br><ol><li>dream</li></ol>
𒈣|ma|ma₂	<i>noun</i><br><ol><li>boat, ship</li></ol>
𒈣𒁻|ma₂-laḫ₄|malaḫ	<i>noun</i><br><ol><li>sailor</li></ol>
𒈤|maḫ₂|𒀠|maḫ	<i>verb</i><br><ol><li>to be high, chief, senior, lofty, exalted, august</li><li>to be great, large, magnificent</li></ol>
𒈥|mar	<i>noun</i><br><ol><li>charriot, wagon</li></ol>
𒈥𒁍𒁕|mar-gid₂-da|margida	<i>noun</i><br><ol><li>cart, wagon</li></ol>
𒈥𒊓|mar-sa	<i>noun</i><br><ol><li>shipyard</li></ol>
𒈥𒋽|mar-uru₅|maru|mar-ru₁₀	<i>noun</i><br><ol><li>stormwind, mighty storm, hurricane, tempest, west wind</li></ol>
𒈦|maš|sa₉|sa	<i>noun</i><br><ol><li>half</li><li>middle, center</li></ol><br><i>verb</i><br><ol><li>to reach half way or the middle</li></ol>
𒈦𒄘𒃼|idigna|dalla	<i>noun</i><br><ol><li>Only used in 𒀀𒇉𒈦𒄘𒃼 (^(id₂)idigna, “Tigris”)</li></ol><br><i>verb</i><br><ol><li>to be bright</li><li>to be impetuous, fierce</li></ol>
𒈧|maš₂|maš|𒈦	<i>noun</i><br><ol><li>he-goat</li><li>sacrificial animal (for omens)</li><li>interest (on a loan, yield, irrigation tax)</li></ol>
𒈨|me-en|me-en-ze₂-en|𒈨𒂗𒍢𒂗|me|menzen|mē|𒈨𒂗|meš|𒎌|men|me-en-de₃-en|am|am₃|me-eš|𒈨𒂗𒉈𒂗|𒀀𒀭|menden	<i>verb</i><br><ol><li>to be</li></ol><br><i>pron</i><br><ol><li>(enclitic) our (first-person plural possessive pronoun)</li></ol>
𒈨𒂊|me-e|me	<i>pron</i><br><ol><li>(Emesal) I (first-person independent personal pronoun)</li></ol>
𒈨𒈛𒄩𒆠|me-luḫ-ḫaᵏⁱ|Meluḫḫa	<i>name</i><br><ol><li>Meluhha</li></ol>
𒈩|𒎌|kišib|meš|mes	<i>noun</i><br><ol><li>hero</li><li>(strong) young man, vigorous youth, lad</li></ol>
𒈩𒇲|kišibla|kišib-la₂	<i>noun</i><br><ol><li>wrist</li></ol>
𒈪|g̃i₆|gigi₂|g̃i|giggi	<i>noun</i><br><ol><li>night</li></ol><br><i>verb</i><br><ol><li>to be black</li><li>to blacken</li></ol>
𒈪𒉌𒄑|g̃ipar|g̃i₆-par₄	<i>noun</i><br><ol><li>G̃ipar, cloister (a specific building in the religious precinct)</li></ol>
𒈫|min₆|𒋰|min	<i>num</i><br><ol><li>two, 2</li></ol>
𒈬|mu|g̃u|g̃u₁₀|muḫaldim|meš/	<i>noun</i><br><ol><li>name</li><li>fame</li><li>line of text</li><li>year</li><li>cook</li><li>(Emesal) tree, wood</li><li>(Emesal) penis; man, male</li></ol><br><i>pron</i><br><ol><li>(enclitic) my (first-person possessive pronoun)</li></ol>
𒈬𒁍|mudur|mu-dur₇	<i>noun</i><br><ol><li>dirt</li></ol><br><i>verb</i><br><ol><li>to be dirty, unkempt</li></ol>
𒈬𒊬𒊏|mu-sar-ra|musara	<i>noun</i><br><ol><li>inscription</li></ol>
𒈰|munsub	<i>noun</i><br><ol><li>hair</li></ol>
𒈱|murgu|𒋞|murgu₂	<i>noun</i><br><ol><li>back, backbone</li><li>shoulder</li></ol>
𒈲𒍽|muš-ḫuš|mušḫuš	<i>noun</i><br><ol><li>"fierce snake" (a mythical or literary serpent, later a symbol of Marduk)</li></ol>
𒈾𒆕𒀀|narua|na-ru₂-a	<i>noun</i><br><ol><li>stele</li></ol>
𒈿|nu₂|form 𒈿𒈿|nud	<i>verb</i><br><ol><li>to lie down</li><li>to be ill</li><li>to sleep with</li></ol>
𒉀|Nisaba|nisaba₂	<i>name</i><br><ol><li>NAGA-NAGA inversum = DALḪAMUN₇; AN.NAGA-(AN.NAGA inversum) = DALḪAMUN₅; AN.NAGA four times in cross shape = DALḪAMUN₄: "whirlwind"</li></ol>
𒉅|bur₅|bir|𒉆|bir₅	<i>noun</i><br><ol><li>locust</li></ol>
𒉆|nam|bir|bir₅	<i>noun</i><br><ol><li>being, state ("that which is")</li><li>fate, destiny</li><li>will, testament</li><li>(with genitive + še₃) because of</li></ol>
𒉆𒀵|namarad|nam-arad₂	<i>noun</i><br><ol><li>slavery</li></ol>
𒉆𒄘|nam-gu₂|namgu	<i>noun</i><br><ol><li>oppression</li></ol>
𒉆𒄭𒊓|nam-dub₃-sa|namdubsa	<i>noun</i><br><ol><li>companionship, friendship</li></ol>
𒉆𒆪𒇷|namguli|nam-gu₅-li	<i>noun</i><br><ol><li>friendship</li></ol>
𒉆𒇽𒍇|nam-lu₂-lu₇|namlulu	<i>noun</i><br><ol><li>humanity, humaneness</li><li>human beings, people, population</li></ol>
𒉆𒉈𒊒|nam-erim₂|namerim	<i>noun</i><br><ol><li>(assertory) oath</li><li>evil</li></ol>
𒉆𒋖|nam-šita|namšita	<i>noun</i><br><ol><li>prayer, entreaty, supplication</li></ol>
𒉆𒋻|namtar|𒉆⫽𒋻|nam tar|nam-tar	<i>noun</i><br><ol><li>fate, destiny</li></ol><br><i>verb</i><br><ol><li>to determine fate, decide destiny</li></ol>
𒉆𒋾|namtil|nam-til₃	<i>noun</i><br><ol><li>life</li></ol>
𒉈|izi|gibil₄|gibil	<i>noun</i><br><ol><li>fire</li><li>brazier</li></ol>
𒉈𒂗|ne-en|ne-e|𒉈𒂊|nēn	<i>noun</i><br><ol><li>this</li></ol>
𒉈𒊒|erim₂|erim|ne-ru	<i>noun</i><br><ol><li>evil</li><li>enemy</li></ol>
𒉋|𒉈|bil₂|bil|gibil₄|gibil	<i>verb</i><br><ol><li>to burn, heat, scorch</li><li>to be new, fresh</li><li>to renovate, renew</li></ol>
𒉋𒂵|bilga|bil₂-ga	<i>noun</i><br><ol><li>fresh fruit</li><li>male ancestor</li></ol>
𒉌|i|ia₃|zal|i₃	<i>noun</i><br><ol><li>(vegetable) oil</li><li>fat, tallow</li><li>butter</li></ol><br><i>verb</i><br><ol><li>to shine</li><li>(time) to pass</li><li>to flow</li><li>to get up early</li><li>to finish, come to an end</li><li>to dissolve, melt, break down</li><li>to quake</li></ol>
𒉌𒄑|i₃-g̃eš|ig̃eš|i₃-g̃iš	<i>noun</i><br><ol><li>sesame oil, vegetable oil</li></ol>
𒉎|ni|ni₂|im|𒅎	<i>noun</i><br><ol><li>clay, mud</li><li>tablet</li><li>wind</li><li>spirit, soul</li><li>rain (probably to be read /šeg̃₇/)</li><li>fear, fearsomeness</li><li>self</li></ol>
𒉎𒄷|mušen	<i>noun</i><br><ol><li>a ni bird (an unidentified type of bird)</li></ol>
𒉎𒅗|ni₂-zuḫ|𒉎𒍪|nizuḫ|ni₂-zu	<i>noun</i><br><ol><li>thief</li></ol>
𒉏|Elam|elam|num|nim	<i>noun</i><br><ol><li>highland</li><li>highlander</li><li>a meat dish</li><li>fly</li></ol><br><i>name</i><br><ol><li>Elam</li><li>Elamite</li></ol><br><i>verb</i><br><ol><li>to be high, elevated</li><li>to be early</li></ol>
𒉏𒄈|nig̃g̃ir|nim-g̃ir₂	<i>noun</i><br><ol><li>lightning bolt</li></ol>
𒉒|ninda₂|ninda	<i>noun</i><br><ol><li>seed funnel (hopper or seeding apparatus of the seeder plow)</li><li>pure-bred breed bull</li></ol>
𒉘|ag̃|ag̃₂	<i>noun</i><br><ol><li>(Emesal) thing</li></ol><br><i>verb</i><br><ol><li>to measure</li></ol>
𒉚|sam|sa₁₀|sam₂|sa	<i>verb</i><br><ol><li>to measure out grains (as equivalents for other goods), to barter</li><li>(to pay for) to buy</li><li>(to be paid for) to sell</li></ol>
𒉛|sa₁₀-am|šam₂|𒉚𒀀𒀭|sam|𒉚|𒉚𒄠|𒉚𒀭|sam₂	<i>noun</i><br><ol><li>price</li></ol>
𒉡|nu	<i>prefix</i><br><ol><li>not, no</li></ol><br><i>verb</i><br><ol><li>to be not, no</li></ol>
𒉡𒈨𒀀|nu-me-a|numeâ	<i>phrase</i><br><ol><li>(with comitative) without (the permission of)</li></ol>
𒉡𒌝𒈠|𒉡𒌝𒈠𒄷|mušen|nu-um-ma|numma	<i>noun</i><br><ol><li>jackal</li><li>vulture</li></ol>
𒉢𒁓𒆷𒆠|𒉢𒁓𒆷	<i>name</i><br><ol><li>Lagash (ancient Sumerian city-state)</li></ol>
𒉣|nun|eridug	<i>noun</i><br><ol><li>noble, prince, ruler</li><li>foremost, best</li><li>Eridu</li></ol>
𒉣𒆠|eriduᵏⁱ|Eridug|eridugᵏⁱ|NUNᵏⁱ	<i>name</i><br><ol><li>Eridu (ancient Sumerian city in modern Iraq; modern Tell Abu Shahrain)</li></ol>
𒉣𒇬|tur|tur₃	<i>noun</i><br><ol><li>stall, cattle pen, byre</li></ol>
𒉣𒈨|abgal	<i>noun</i><br><ol><li>(mythical) sage</li><li>high priest of the early Nanše cult</li></ol>
𒉭|nunuz	<i>noun</i><br><ol><li>egg</li></ol>
𒉮|usan|usan₃	<i>noun</i><br><ol><li>whip</li></ol>
𒉺|g̃idru|sag₃|sag|sig₃|pa|𒄑𒉺	<i>noun</i><br><ol><li>sceptre</li><li>measuring stick</li><li>branch, stick</li><li>wing, feathers</li><li>top</li></ol><br><i>verb</i><br><ol><li>to beat upon, strike, fell</li><li>to make tremble, quake</li></ol>
𒉺𒀭|bi₃-lu₅-da|biluda|𒉿𒈜𒁕	<i>noun</i><br><ol><li>rites, rituals, customs, usages</li></ol>
𒉺𒁽|maškim₂|𒉺𒁼|maškim	<i>noun</i><br><ol><li>state commissioner, deputy, inspector</li></ol>
𒉺𒇻|sipad	<i>noun</i><br><ol><li>shepherd</li></ol>
𒉺𒉋𒂵|pabilga|pa-bil₂-ga	<i>noun</i><br><ol><li>grandfather</li><li>paternal uncle</li><li>ancestor</li></ol>
𒉺𒋼𒋛|ensik|PA.TE.SI|ensi₂	<i>noun</i><br><ol><li>ruler, governor, city ruler</li><li>farmer</li></ol>
𒉻|šuku|šukur₂|pař|šukuř|pad	<i>noun</i><br><ol><li>piece, portion</li><li>subsistence allotment/plot/field</li><li>ration, food allocation</li></ol><br><i>verb</i><br><ol><li>to break off a piece, chip off</li><li>to crush, crumble, destroy</li></ol>
𒉽|pap|kur₂|kur	<i>noun</i><br><ol><li>relation</li><li>male kin (father, brother)</li><li>first and foremost, pre-eminent</li></ol><br><i>verb</i><br><ol><li>to be different, strange, foreign</li><li>to be hostile</li><li>to change, alter</li></ol>
