'di ba|diba|dibá	<i>phrase</i><br><ol><li>Contraction of hindi ba: isn't it; isn't that</li></ol>
bilhan|pinapagbilhan|pinagpapabibilhan|abilhin|papapagbilhan|makikipagpabili|abili|kapagpapabili|pinagbilhan|makikibili|pinagbibilhan|pinapabili|nabili|kakabilí|bumili|pabibilhan|makipagpabili|bumilí|ipambili|ibibili|ikinabili|mabili|inabilhan|pabilhan|bilhan|pabibilhin|ipinapabili|bibilhan|pinapapagbilhan|magpabili|pagbibilhan|ibinili|⁠kapabibili|ikinapagpapabili|ipapagpabili|bibili|pagpabilhan|bibilí|kakapabili|nakikipagpabili|abilhan|ipabibili|binilhan|ipinabili|ikinakabili|nagpapabili|inabili|bibilhin|ipinambili|makibili|pagbilhan|binibilhan|ibinibili|ikinapagpabili|papagbilhan|papabilhan|ikabili|pinabibilhan|nakipagpabili|kakabili|magpapabili|pinabibili|bilhán|ipapambili|ikapagpabili|pinabilhan|ibilí|ikakabili|nakikibili|bilhin|bilhín|kabibilí|pinapabilhan|bilí|kabibili|papagpabilhan|pinagpabilhan|ipinagpabili|ikinakapagpabili|nagpabili|pabilhin|bili|bumibilí|ikinabibili|nakibili|papabilhin|ipinapagpabili|pagpapabibilhan|ikakapagpabili|ipabili|ipagpapabili|ikapagpapabili|binili|ipinabibili|kapapabili|ibili|ipinagpapabili|pinapagpabilhan|bumibili|binibili|ikabibili|binilí|ipapabili|ipagpabili|pinabili|ipinapambili	<i>verb</i><br><ol><li>to buy from</li></ol>
bilhin|pinapagbilhan|pinagpapabibilhan|abilhin|papapagbilhan|makikipagpabili|abili|kapagpapabili|pinagbilhan|makikibili|pinagbibilhan|pinapabili|nabili|kakabilí|bumili|pabibilhan|makipagpabili|bumilí|ipambili|ibibili|ikinabili|mabili|bilhan|inabilhan|pabilhan|pabibilhin|ipinapabili|bibilhan|pinapapagbilhan|magpabili|pagbibilhan|ibinili|⁠kapabibili|ikinapagpapabili|ipapagpabili|bibili|pagpabilhan|bibilí|kakapabili|nakikipagpabili|abilhan|ipabibili|binilhan|ipinabili|ikinakabili|nagpapabili|inabili|bibilhin|ipinambili|makibili|pagbilhan|binibilhan|ibinibili|ikinapagpabili|papagbilhan|papabilhan|ikabili|pinabibilhan|nakipagpabili|kakabili|magpapabili|pinabibili|bilhán|ipapambili|ikapagpabili|pinabilhan|ibilí|ikakabili|nakikibili|bilhin|bilhín|kabibilí|pinapabilhan|bilí|kabibili|papagpabilhan|pinagpabilhan|ipinagpabili|ikinakapagpabili|nagpabili|pabilhin|bili|bumibilí|ikinabibili|nakibili|papabilhin|ipinapagpabili|pagpapabibilhan|ikakapagpabili|ipabili|ipagpapabili|ikapagpapabili|binili|ipinabibili|kapapabili|ibili|ipinagpapabili|pinapagpabilhan|bumibili|binibili|ikabibili|binilí|ipapabili|ipagpabili|pinabili|ipinapambili	<i>verb</i><br><ol><li>to buy something</li></ol>
bili|bilí	<i>noun</i><br><ol><li>purchase; act of buying</li><li>purchase price; amount paid for something one bought</li><li>(dated or uncommon) sale; act of selling</li></ol><br><i>adj</i><br><ol><li>bought; paid for</li></ol><br><i>verb</i><br><ol><li>immediate imperative mood of bumili</li><li>immediate imperative mood of bilhin</li></ol>
bilib|ᜊᜒᜎᜒᜊ᜔|bilíb	<i>adj</i><br><ol><li>(colloquial) confident or certain about something</li><li>(colloquial) impressed</li></ol>
bilibid	<i>noun</i><br><ol><li>prison; penitentiary</li><li>coil (of string, twine, cord, rope, wire, etc.)</li><li>act of coiling around an object</li></ol>
bilig|bilíg	<i>noun</i><br><ol><li>embryo</li><li>(pathology) cataract (of the eye)</li></ol>
bilin	<i>noun</i><br><ol><li>errand; something asked to be done</li><li>command; order</li><li>directions; instructions (given by someone leaving for a while)</li><li>request; message</li><li>counsel; advice</li><li>last will and testament</li><li>something left in another's charge</li></ol>
bilis|bilís	<i>noun</i><br><ol><li>speed</li><li>promptness; quickness</li><li>velocity</li><li>(grammar) ultimate syllabic stress (without a glottal ending)</li></ol>
bilisan|binibilisan|bibilisan|bilisán|bilis|abilisan|bilisi|inabilisan|binilisan	<i>verb</i><br><ol><li>to make faster</li><li>to move fast; to hurry</li></ol>
billboard	<i>noun</i><br><ol><li>billboard</li></ol>
bilnuran	<i>noun</i><br><ol><li>(neologism) arithmetic</li></ol>
bilog|bilóg	<i>noun</i><br><ol><li>circle</li><li>roundness</li><li>plumpness; rotundity</li><li>circumference</li></ol><br><i>adj</i><br><ol><li>circular</li><li>round; spherical</li></ol>
bilot|bilót	<i>noun</i><br><ol><li>small roll; small pack</li><li>(Batangas, Marinduque, obsolete in most dialects) puppy; pup</li></ol><br><i>adj</i><br><ol><li>packed or rolled tightly</li></ol>
biloy	<i>noun</i><br><ol><li>dimple (skin depression on the cheek)</li></ol>
bilubilo|bilúbiló	<i>noun</i><br><ol><li>awning sheet</li><li>glutinous rice balls (eaten with ginataan)</li></ol>
bilugan|bilugin|pinagpapabibilugan|gabilog|ikinapagbibilog|kapapagbilog|pinapapagbilugan|makipagbilog|ikinapagpapabilog|nagpapabilog|binilog|nakikipagpabilog|kakapabilog|pinagpabilugan|kapagbibilog|binilugan|pinabilugan|papapagbilugan|magbilog|ipapambilog|nakikipagbilog|bibilugin|nakipagbilog|ikinakapagbilog|makikibilog|ipinambilog|inabilog|binibilugan|pinagbibilugan|ipinagpabilog|nagpabilog|pagbibilugan|pinapagbilugan|pinapabilugan|nagabilog|nagbibilog|ipinabibilog|ikapagpapabilog|ikakapagpabilog|makibilog|kabibilog|papapagbilugin|papabilugan|nakipagpabilog|pagpapabibilugan|pabilugan|pagpabilugan|ipapagbilog|magbibilog|ipapagpabilog|pinapagpabilugan|makikipagbilog|ipapabilog|papagbilugin|abilugan|kapagpapabilog|pinagbilugan|bilugán|pinapapagbilog|abilugin|magpapabilog|kakabilog|ikapagbibilog|ipinapabilog|bibilugan|ikapagbilog|ikakapagbilog|ipabibilog|ipinagbilog|⁠kapabibilog|bilog|nakibilog|ikapagpabilog|ipagbilog|magabilog|binibilog|kakapagbilog|makipagpabilog|pinapagbilog|ikinakapagpabilog|inabilugan|ipabilog|ipagpapabilog|ipinabilog|ipinagpapabilog|papagpabilugan|makikipagpabilog|kapapabilog|nakikibilog|magpabilog|ipinapagbilog|ipagpabilog|nagbilog|pabibilugan|papagbilugan|ipinapambilog|ikinapagbilog|ikinapagpabilog|pagbilugan|pinabibilugan|ipinapagpabilog|ipambilog	<i>adj</i><br><ol><li>rotund; rounded</li><li>chubby</li><li>plump and good to look at (of a woman)</li></ol><br><i>verb</i><br><ol><li>to circle (place or mark a circle around)</li></ol>
bilugin|pinagpapabibilugan|gabilog|ikinapagbibilog|kapapagbilog|pinapapagbilugan|makipagbilog|ikinapagpapabilog|nagpapabilog|binilog|nakikipagpabilog|kakapabilog|pinagpabilugan|kapagbibilog|binilugan|pinabilugan|papapagbilugan|magbilog|ipapambilog|nakikipagbilog|bibilugin|nakipagbilog|ikinakapagbilog|makikibilog|ipinambilog|inabilog|binibilugan|pinagbibilugan|ipinagpabilog|nagpabilog|pagbibilugan|pinapagbilugan|pinapabilugan|nagabilog|nagbibilog|ipinabibilog|ikapagpapabilog|ikakapagpabilog|makibilog|kabibilog|papapagbilugin|papabilugan|nakipagpabilog|pagpapabibilugan|pabilugan|pagpabilugan|ipapagbilog|magbibilog|ipapagpabilog|pinapagpabilugan|makikipagbilog|ipapabilog|papagbilugin|abilugan|kapagpapabilog|pinagbilugan|pinapapagbilog|abilugin|bilugan|magpapabilog|kakabilog|ikapagbibilog|ipinapabilog|bibilugan|ikapagbilog|ikakapagbilog|ipabibilog|ipinagbilog|⁠kapabibilog|bilog|nakibilog|ikapagpabilog|ipagbilog|magabilog|binibilog|kakapagbilog|makipagpabilog|pinapagbilog|ikinakapagpabilog|inabilugan|ipabilog|ipagpapabilog|ipinabilog|ipinagpapabilog|papagpabilugan|makikipagpabilog|kapapabilog|nakikibilog|magpabilog|ipinapagbilog|ipagpabilog|nagbilog|pabibilugan|papagbilugan|ipinapambilog|ikinapagbilog|ikinapagpabilog|pagbilugan|pinabibilugan|ipinapagpabilog|ipambilog	<i>verb</i><br><ol><li>to round; to make round</li><li>to turn something into a circle</li></ol>
bilugin ang ulo|bibilugin ang ulo|binilog ang ulo|binibilog ang ulo	<i>verb</i><br><ol><li>(idiomatic) to fool; to entice</li></ol>
bilukaw|ᜊᜒᜎᜓᜃᜏ᜔	<i>noun</i><br><ol><li>(botany) brindle berry (Garcinia gummi-gutta)</li></ol>
bilulo	<i>noun</i><br><ol><li>key lime, especially the Philippine variety (Citrus × aurantiifolia)</li></ol>
biluslawas	<i>noun</i><br><ol><li>(cytology) lysosome</li></ol>
bilyar|bilyár	<i>noun</i><br><ol><li>billiards</li><li>pool (game)</li><li>billiard table</li></ol>
bilyaran	<i>noun</i><br><ol><li>billiard room; billiard saloon</li><li>billiard table</li></ol>
bilyon|bilyón	<i>num</i><br><ol><li>billion; thousand million</li></ol><br><i>noun</i><br><ol><li>(Batangas, dated) twenty-cent coin</li></ol>
bilyonaryo|bilyonarya	<i>noun</i><br><ol><li>billionaire</li></ol>
bimbin|bimbín	<i>adj</i><br><ol><li>delayed; withheld</li></ol><br><i>noun</i><br><ol><li>forced delay; postponement; withholding</li></ol>
bimol|bimól	<i>adj</i><br><ol><li>(music) flat</li></ol>
bimpo	<i>noun</i><br><ol><li>face towel</li></ol>
binababae	<i>verb</i><br><ol><li>progressive aspect of babaihin</li></ol>
binabae|binabayi|binabaé	<i>adj</i><br><ol><li>effeminate; sissy</li><li>hermaphrodite</li></ol><br><i>noun</i><br><ol><li>rooster resembling a hen</li><li>effeminate man</li><li>hermaphrodite</li></ol><br><i>verb</i><br><ol><li>complete aspect of babaihin</li></ol>
binabakunahan	<i>verb</i><br><ol><li>progressive aspect of bakunahan</li></ol>
binabasa	<i>verb</i><br><ol><li>progressive aspect of basahin</li></ol>
binabatukan	<i>verb</i><br><ol><li>progressive aspect of batukan</li></ol>
binago	<i>adj</i><br><ol><li>modified</li></ol><br><i>verb</i><br><ol><li>complete aspect of baguhin</li></ol>
binagre	<i>noun</i><br><ol><li>vinegar</li></ol>
binakunahan	<i>verb</i><br><ol><li>complete aspect of bakunahan</li></ol>
binalalak	<i>noun</i><br><ol><li>a type of hammer</li></ol>
binasa	<i>verb</i><br><ol><li>complete aspect of basahin</li></ol>
binat	<i>noun</i><br><ol><li>(medicine) relapse (usually seen as due to undue physical activity)</li></ol>
binata|binatà	<i>noun</i><br><ol><li>bachelor; unmarried man</li><li>teenage boy; young man</li></ol>
binatilyo	<i>noun</i><br><ol><li>adolescent boy; teenage boy</li></ol>
binatukan	<i>verb</i><br><ol><li>complete aspect of batukan</li></ol>
binawian ng buhay	<i>verb</i><br><ol><li>complete aspect of bawian ng buhay</li></ol><br><i>adj</i><br><ol><li>(idiomatic) dead</li></ol>
binaysok|binaysók	<i>noun</i><br><ol><li>necklace</li></ol>
binggo	<i>noun</i><br><ol><li>bingo</li></ol><br><i>intj</i><br><ol><li>bingo!</li></ol>
bingguhan	<i>noun</i><br><ol><li>bingo hall; bingo venue</li><li>games of binggo</li></ol>
bingi|bingí|bingî	<i>adj</i><br><ol><li>deaf; hard of hearing</li><li>(figuratively) unaffected; unconcerned; unresponsive</li><li>(figuratively) barren; sterile (of a woman)</li></ol><br><i>noun</i><br><ol><li>deaf person</li><li>deafness</li></ol>
bingi ako	<i>phrase</i><br><ol><li>I'm deaf</li></ol>
bingit	<i>noun</i><br><ol><li>edge; rim; border</li><li>brink; verge</li><li>threshold</li></ol>
bingot|bingót	<i>noun</i><br><ol><li>(medicine) harelip</li><li>notch or dent, as on the rim of earthenware and glassware</li></ol><br><i>adj</i><br><ol><li>harelipped</li><li>notched or dented, as on the rim of earthenware and glassware</li></ol>
bingwit|bingwít	<i>noun</i><br><ol><li>small fishhook</li><li>pole, hook, line and sinker for fishing</li><li>act of fishing with such a tool</li><li>(figuratively) trick; trap; snare</li></ol>
binhay|binháy	<i>noun</i><br><ol><li>(biology, neologism) germ</li></ol>
binhi|binhî	<i>noun</i><br><ol><li>seed (for planting)</li><li>semen; sperm</li></ol>
bini|binì	<i>noun</i><br><ol><li>modesty; coyness</li></ol>
binibini	<i>noun</i><br><ol><li>maiden; young lady; unmarried woman</li><li>miss; mademoiselle</li></ol>
biniboy	<i>noun</i><br><ol><li>(slang) hermaphrodite</li></ol>
binigay|binigáy	<i>verb</i><br><ol><li>(colloquial) Nonstandard form of ibinigay: complete aspect of ibigay</li></ol>
binili|binilí	<i>verb</i><br><ol><li>complete aspect of bilhin</li></ol>
bino	<i>noun</i><br><ol><li>wine</li></ol>
binokulo|binókuló	<i>noun</i><br><ol><li>binoculars</li></ol>
binsa|binsâ	<i>adj</i><br><ol><li>stupid; dull of mind</li></ol>
binta	<i>noun</i><br><ol><li>vinta (traditional outrigger boat from Mindanao)</li></ol>
bintag|bintág	<i>noun</i><br><ol><li>derrick (device used for lifting large objects)</li></ol>
bintana|ᜊᜒᜈ᜔ᜆᜈ|bintanà	<i>noun</i><br><ol><li>window</li></ol>
bintang|bintáng	<i>noun</i><br><ol><li>accusation; imputation (usually a false accusation)</li><li>suspicion</li></ol>
binti|bintî	<i>noun</i><br><ol><li>(anatomy) calf of the leg</li><li>(anatomy) part of the leg between the knee and the ankle</li></ol>
binting|bintíng	<i>noun</i><br><ol><li>(archaic) half-centavo coin</li></ol>
bintog|bintóg	<i>noun</i><br><ol><li>swelling; inflation (of fruits, balloons, etc.)</li><li>robustness; fatness</li><li>rotundity</li><li>blister (bubble on the skin)</li></ol>
binubuweltahan	<i>verb</i><br><ol><li>progressive aspect of buweltahan</li></ol>
binundok|binundók	<i>adj</i><br><ol><li>formed into a mound or embankment</li></ol>
binutil	<i>noun</i><br><ol><li>(biology) granule</li></ol>
binuweltahan	<i>verb</i><br><ol><li>complete aspect of buweltahan</li></ol>
binyag|ᜊᜒᜈ᜔ᜌᜄ᜔|binyág	<i>noun</i><br><ol><li>(Christianity) baptism</li></ol>
bir	<i>noun</i><br><ol><li>beer</li></ol>
biray|biráy	<i>noun</i><br><ol><li>(nautical) small boat with a flat bottom, provided with a rudder, propelled by rowers facing coxswain at stern</li><li>(fishing) large dragnet or beach seine (operated by a bangka for fishing)</li></ol>
bireta	<i>noun</i><br><ol><li>biretta</li></ol>
birey	<i>noun</i><br><ol><li>viceroy</li></ol>
birhen	<i>noun</i><br><ol><li>virgin</li></ol>
biri|birí	<i>noun</i><br><ol><li>safflower</li></ol>
birilidad|birilidád	<i>noun</i><br><ol><li>virility</li></ol>
birimbaw|birimbáw	<i>noun</i><br><ol><li>Jew's harp</li></ol>
biro|birò	<i>noun</i><br><ol><li>joke; jest</li><li>act of joking with someone</li></ol>
biro ng tadhana|birò ng tadhanà	<i>noun</i><br><ol><li>(idiomatic) misfortune; mishap</li></ol>
birong-totoo|birong-totoó	<i>noun</i><br><ol><li>(idiomatic) truthful statement told in a form of a joke (literally, “true joke”)</li></ol>
birtud|birtúd	<i>noun</i><br><ol><li>virtue</li><li>magical or spiritual powers container in an amulet, talisman or fetish</li></ol>
birtuwal|birtuwál	<i>adj</i><br><ol><li>virtual</li></ol>
biruin|ikakabiro|pabiruin|ikabibiro|ipinapagpabiro|nagpabiro|ikakapagpabiro|mabiro|bumiro|ibibiro|pabibiruin|ipagpabiro|ipinapambiro|ikapagpapabiro|pagbibiruan|ipapagpabiro|ikinabiro|papagpabiruan|kakabiro|ipinabibiro|⁠kapabibiro|abiruin|pinagpabiruan|bibiruin|pagpapabibiruan|papagbiruan|magpapabiro|ipagpapabiro|pagpabiruan|ipinagpabiro|nakipagpabiro|magpabiro|binibiro|pinabiro|ibiniro|inabiro|ipabibiro|biniro|ibinibiro|pinapagpabiruan|ikinapagpabiro|nabiro|nagpapabiro|ipapabiro|ikapagpabiro|bumibiro|ipabiro|papapagbiruan|pinabibiro|papabiruin|nakikibiro|ibiro|pinapabiro|pinagbiruan|nakibiro|ikinakapagpabiro|ikinakabiro|makipagpabiro|bibiro|ikinapagpapabiro|ipinapabiro|biro|kabibiro|makikibiro|pinagpapabibiruan|pinapapagbiruan|ipambiro|pinagbibiruan|makibiro|ipinabiro|ikabiro|kapagpapabiro|ipinagpapabiro|ipapambiro|ikinabibiro|makikipagpabiro|kapapabiro|kakapabiro|pagbiruan|nakikipagpabiro|pinapagbiruan|ipinambiro	<i>verb</i><br><ol><li>to joke; to jest; to poke fun at</li><li>to crack a joke</li></ol>
birus	<i>noun</i><br><ol><li>virus</li></ol>
bisa|bisà	<i>noun</i><br><ol><li>efficacy; potency</li><li>(in general) effectivity</li><li>force; effect; influence</li><li>result; outcome</li><li>(obsolete) snake venom</li><li>(obsolete) diligent and hardworking man</li><li>visa (permit to enter a country)</li></ol>
bisagra	<i>noun</i><br><ol><li>hinge (jointed or flexible device that allows the pivoting of a door etc.)</li></ol>
bisaklat|bisaklát	<i>adj</i><br><ol><li>astride; with legs apart (as when on horseback, etc.)</li><li>(figuratively) exposed in the open; scattered in the open</li></ol>
bise	<i>adj</i><br><ol><li>vice (second in command)</li></ol><br><i>noun</i><br><ol><li>(colloquial) assistant; deputy</li></ol>
bise-alkalde	<i>noun</i><br><ol><li>vice mayor; deputy mayor</li></ol>
bise-gobernador|bise gobernadór|bise gobernador|bise-gobernadór	<i>noun</i><br><ol><li>vice governor; deputy governor; lieutenant governor</li></ol>
bise-presidente|bise presidente	<i>noun</i><br><ol><li>vice president</li></ol>
bisi	<i>adj</i><br><ol><li>(colloquial) busy; occupied</li></ol>
bisibilidad|bisibilidád	<i>noun</i><br><ol><li>visibility</li></ol>
bisig	<i>noun</i><br><ol><li>(anatomy) arm; forearm</li><li>(figuratively) labor; manpower</li></ol>
bisig ng batas|bisig ng batás	<i>noun</i><br><ol><li>(idiomatic) authorities</li></ol>
bisikleta	<i>noun</i><br><ol><li>bicycle</li></ol>
bisiro	<i>noun</i><br><ol><li>colt; foal; calf (of cows, carabaos, horses, etc.)</li></ol>
bisisto|bisistó	<i>adj</i><br><ol><li>(obsolete) Alternative form of bisyesto</li></ol><br><i>noun</i><br><ol><li>(obsolete) Alternative form of bisyesto</li><li>(obsolete) vegetables which fail to mature due to unfavorable climate conditions</li></ol>
bisita	<i>noun</i><br><ol><li>visitor; guest</li><li>visit</li><li>inspection; checking</li><li>(historical) village chapel; small barrio chapel</li></ol>
bisitahin|pinabibisita|kapapabisita|pinagbibisitahan|pinapabisita|papagbisitahan|pinabisita|ikinabisita|pabisitahin|ipinambisita|pinapagpabisitahan|mabisita|magpabisita|makibisita|ipambisita|ipinabisita|nakikibisita|ikinakapagpabisita|ibisita|kapagpapabisita|ikinabibisita|nabisita|nakikipagpabisita|ikapagpabisita|ikinapagpapabisita|kabibisita|ipapambisita|bumisita|pinapapagbisitahan|nagpapabisita|magpapabisita|pagpabisitahan|pinagpapabibisitahan|papagpabisitahan|⁠kapabibisita|bibisitahin|pabibisitahin|ibinibisita|ipinapagpabisita|nagpabisita|pinagpabisitahan|nakipagpabisita|ipabibisita|inabisita|pagbibisitahan|makipagpabisita|ipinapabisita|ipinagpapabisita|ipinapambisita|papapagbisitahan|pagpapabibisitahan|ibinisita|nakibisita|bisita|bumibisita|makikibisita|ikinapagpabisita|ibibisita|pinapagbisitahan|pinagbisitahan|ikakabisita|ikabisita|kakabisita|pagbisitahan|ipinabibisita|ipagpabisita|ipabisita|ipagpapabisita|ipinagpabisita|makikipagpabisita|ikinakabisita|binisita|bibisita|papabisitahin|kakapabisita|abisitahin|ikakapagpabisita|ikabibisita|binibisita|ipapabisita|ikapagpapabisita|ipapagpabisita	<i>verb</i><br><ol><li>to visit; to make a visit to</li></ol>
biskonde|biskondesa	<i>noun</i><br><ol><li>viscount</li></ol>
biskondesa	<i>noun</i><br><ol><li>viscountess</li></ol>
biskuwit|biskuwít|biskwít|biskwit	<i>noun</i><br><ol><li>biscuit; cracker</li></ol>
biso|bisô	<i>noun</i><br><ol><li>mistake; error</li><li>failure</li></ol><br><i>adj</i><br><ol><li>wrong</li><li>unsuccessful</li></ol>
bisor|bisór	<i>noun</i><br><ol><li>visor (protection for the eyes)</li><li>(colloquial) supervisor</li></ol>
bisperas|bísperás	<i>noun</i><br><ol><li>eve; night before an important event (such as Christmas, New Year, or a feast day)</li></ol>
bista	<i>noun</i><br><ol><li>(law) court hearing</li><li>(law) court case</li><li>view; landscape</li><li>reach of one's eyesight</li></ol>
bistado	<i>adj</i><br><ol><li>obvious; already known</li><li>exposed; seen; in the open</li></ol>
bistek	<i>noun</i><br><ol><li>beefsteak (especially bistek Tagalog)</li></ol>
