ܐ ܟ ܠ|ʾ k l	<i>root</i><br><ol><li>forming words pertaining to eating</li></ol>
ܙܟܐ|zaḵḵētwn|ܙܲܟ݂ܲܚ|zuḵē lāḵ|zāḵī|ܙܵܟ݂ܲܚ|ܙܵܟ݂ܝܵܢ|ܙܟ݂ܹܝܡܘܼܢ|zuḵē lī|ܙܘܼܟ݂ܝܵܐ|ܙܵܟ݂ܹܝܬܘܿܢ|zāḵēton|zaḵḵē|ܙܘܼܟ݂ܹܐ ܠܝܼ|ܙܲܟ݂ܝܼܵܐ|zḵē|ܙܵܟ݂ܹܝܢ|zaḵē|zāḵyāt|zuḵē lāwḵon|ܙܘܼܟ݂ܹܐ ܠܗܘܿܢ|zuḵē lhon|zḵē lāwḵon|zḵē lēh|zāḵyān|ܙܟ݂ܝܼ|ܙܲܟ݂ܘܼܝܹܐ|ܙܘܼܟ݂ܹܐ ܠܵܘܟ݂ܘܿܢ|zaḵī|ܙܟ݂ܹܐ ܠܲܢ|zuḵē lāh|zḵē lhon|zāḵēn|zāḵēt|ܙܲܟ݂ܝܼܵܢ|ܙܵܟ݂ܝܼ|zḵī|ܙܟ݂ܹܐ ܠܵܗ̇|ܙܟ݂ܵܝܵܐ|ܙܲܟ݂ܹܝܬܘܢ|zaḵḵaḥ|ܙܲܟ݂ܹܐ|ܙܵܟ݂ܝܵܬܝ|ܙܸܟ݂ܝܵܐ|ܙܘܼܟ݂ܹܐ ܠܲܢ|ܙܘܼܟ݂ܹܐ ܠܵܟ݂ܝ|zāḵaḥ|ܙܵܟ݂ܹܝܬ|zaḵīyān|ܙܟ݂ܹܐ ܠܗܘܿܢ|zaḵḵēmun|ܙܘܼܟ݂ܹܐ ܠܵܗ̇|zaḵḵēt|zaḵīyāt|zāḵē|ܙܟ݂ܹܐ ܠܵܟ݂ܝ|ܙܲܟ݂ܹܝܡܘܼܢ|ܙܲܟ݂ܝܼ|ܙܟ݂ܹܐ ܠܝܼ|ܙܘܼܟ݂ܹܐ ܠܹܗ|ܙܟ݂ܹܐ ܠܘܼܟ݂|ܙܟ݂ܹܐ ܠܵܘܟ݂ܘܿܢ|zḵē lāh|ܙܲܟ݂ܹܝܢ|zaḵīyā|zaḵḵēn|zḵēmun|zḵē lan|ܙܟ݂ܹܐ ܠܹܗ|ܙܲܟ݂ܹܝܬ|zuḵē lan|ܙܵܟ݂ܝܵܐ|ܙܵܟ݂ܹܐ|zḵē lāḵ|zuḵē luḵ|zuḵē lēh|ܙܟ݂ܹܐ|ܙܲܟ݂ܝܼܵܬܝ|zḵē luḵ|zḵē lī|zāḵyā|ܙܘܼܟ݂ܹܐ ܠܘܼܟ݂	<i>verb</i><br><ol><li>to overcome</li><li>to conquer</li></ol>
ܙܟܘ|zāḳo|ܙܵܟ݂ܘܿ	<i>name</i><br><ol><li>Zakho (a city in Iraq)</li></ol>
ܙܡܪ|zmīrhon|zmīrāḵ|zmīran|zāmrāt|ܙܵܡܪܹܬ|zamer|zmor|zāmraḥ|zmorun|zmīrēh|ܙܵܡܹܪ|ܙܵܡܪܝܼ|zāmrīton|zāmrā|zāmrēn|zāmrān|ܙܵܡܪܵܬ|zmīrāwḵon|zāmrēt|ܙܡܝܼܪܲܢ|ܙܵܡܪܵܢ|ܙܡܝܼܪܵܘܟ݂ܘܿܢ|ܙܵܡܪܵܐ|ܙܡܘܿܪܘܼܢ|ܙܡܝܼܪܘܼܟ݂|ܙܡܝܼܪܵܟ݂ܝ|ܙܡܝܼܪܝܼ|ܙܵܡܪܲܚ|zmīruḵ|ܙܡܝܼܪܗܘܿܢ|zmīrī|ܙܡܝܼܪܵܗ̇|ܙܡܘܿܪ|ܙܵܡܪܹܢ|zāmrī|ܙܵܡܪܝܼܬܘܿܢ|zāmēr|ܙܡܘܿܪܝ|ܙܡܝܼܪܹܗ|zmīrāh	<i>verb</i><br><ol><li>to sing</li></ol>
ܙܢܐ|ܙܸܢܝܵܐ|znē lāḵ|ܙܢܹܐ ܠܵܘܟ݂ܘܿܢ|zānēt|ܙܢܹܐ ܠܘܼܟ݂|ܙܢܵܝܵܐ|ܙܢܹܐ ܠܵܗ̇|ܙܵܢܹܝܬ|znē lāh|zane|ܙܢܹܐ ܠܹܗ|ܙܵܢܲܚ|znī|ܙܵܢܹܝܬܘܿܢ|zānaḥ|ܙܵܢܹܐ|ܙܵܢܝܵܬܝ|zānē|ܙܢܹܝܡܘܼܢ|znē|zānyāt|znē lī|ܙܢܹܐ ܠܵܟ݂ܝ|zānēton|znē lāwḵon|ܙܵܢܝܵܐ|ܙܵܢܝܼ|zānēn|znē lan|ܙܢܹܐ ܠܝܼ|znē lhon|zānī|ܙܵܢܝܵܢ|ܙܢܹܐ|zānyā|znē lēh|znēmun|ܙܢܹܐ ܠܲܢ|zānyān|ܙܢܹܐ ܠܗܘܿܢ|ܙܢܝܼ|ܙܵܢܹܝܢ|znē luḵ	<i>verb</i><br><ol><li>to fornicate</li></ol>
ܙܢܝܘܬܐ|zanyuta|ܙܵܢܝܘܼܬܵܐ	<i>noun</i><br><ol><li>adultery</li><li>fornication</li><li>prostitution, harlotry</li></ol>
ܙܥܘܪܐ|ܙܥܘܿܪܬܵܐ|ܙܥܘܿܪܹ̈ܐ|zʿorā|ܙܥܘܿܪܵܐ	<i>adj</i><br><ol><li>small, little</li><li>young (for a person)</li></ol>
ܙܥܘܪܐ ܘܪܒܐ|zʿorā w-rabbā|ܙܥܘܿܪܵܐ ܘܪܲܒܵܐ	<i>pron</i><br><ol><li>everyone; young and old; small and big</li></ol>
ܙܩܝܦܐ|ܙܩܝܼܦܝܼ|zqīpuh|zqīpay|ܙܩܝܼܦܘܼܟ݂|ܙܩܝܼܦܘܿܗ̇|ܙܩܝܼܦܲܝ̈|ܙܩܝܼܦܲܢ|ܙܩܝܼܦܘܼ̈ܗܝ|zqīpoh|ܙܩܝܼܦܝܼ̈|ܙܩܝܼܦ|ܙܩܝܼܦܵܘܟ݂ܘܿܢ|ܙܩܝܼܦܵܟ݂ܝ̈|zqīpī|ܙܩܝܼܦܲܢ̈|ܙܩܝܼܦܗ̈ܘܿܢ|ܙܩܝܼܦܵܐ|zqīp|ܙܩܝܼܦܵܟ݂ܝ|ܙܩܝܼܦܵܘ̈ܟ݂ܘܿܢ|zqīphon|zqīpuḵ|zqīpēh|zqīpē|ܙܩܝܼܦܬܵܐ|zqīpāwḵon|zqīpā|zqīpan|ܙܩܝܼܦܗܘܿܢ|ܙܩܝܼܦܹܗ|ܙܩܝܼܦ̈ܘܿܗ̇|ܙܩܝܼܦܹ̈ܐ|zqīpāḵ|ܙܩܝܼܦܘܼ̈ܟ݂	<i>adj</i><br><ol><li>crucified</li><li>high, raised up</li><li>erected</li><li>(grammar) pronounced with a certain vowel (see ܙܩܵܦܵܐ (zqāpā))</li></ol><br><i>noun</i><br><ol><li>cross, crucifixion, crucifix</li></ol>
ܙܩܦ|zāqpaḥ|zāqpāt|ܙܩܘܿܦܘܼܢ|ܙܩܝܼܦ ܠܘܼܟ݂|ܙܵܩܹܦ|ܙܩܝܼܦ ܠܝܼ|ܙܵܩܦܵܐ|zqīp lēh|zqīp lhon|zqīp lāwḵon|ܙܩܝܼܦ ܠܵܗ̇|ܙܩܘܿܦܝ|zāqpēt|zāqpān|ܙܩܝܼܦ ܠܵܟ݂ܝ|zqopun|zāqpī|zqop|ܙܩܝܼܦܵܐ|zqīp lāḵ|ܙܵܩܦܵܬܝ|ܙܩܵܦܵܐ|ܙܵܩܦܹܬ|zqīp lāh|ܙܩܝܼܦ ܠܲܢ|zqīp lī|zqīp luḵ|zāqpā|zaqep|ܙܩܘܿܦ|ܙܵܩܦܲܚ|ܙܵܩܦܝܼܬܘܿܢ|zqīp lan|zāqpīton|ܙܵܩܦܹܢ|ܙܵܩܦܵܢ|ܙܩܝܼܦ ܠܹܗ|zāqpēn|ܙܵܩܦܝܼ|zāqēp|ܙܩܝܼܦ ܠܵܘܟ݂ܘܿܢ|ܙܩܝܼܦ ܠܗܘܿܢ	<i>verb</i><br><ol><li>to erect</li><li>(transitive) to crucify</li></ol>
ܙܪܓܐ|ܙܵܪܓܵܐ|zarga|ܙܵܪܸܓܬܵܐ|ܙܵܪ̈ܓܹܐ	<i>adj</i><br><ol><li>yellow</li></ol><br><i>noun</i><br><ol><li>yellow (color)</li></ol>
ܙܪܕܐ|ܙܲܪܕܹܐ|zarde	<i>adj</i><br><ol><li>yellow</li></ol><br><i>noun</i><br><ol><li>yellow (color)</li></ol>
ܙܪܝܦܐ|ܙܵܪ̈ܝܼܦܘܗܝ|zārīpwh|ܙܵܪ̈ܝܼܦܹܐ|ܙܵܪܝܼܦܗܘܿܢ|zārīpā|zārīpan|zārīpāwḵon|ܙܵܪܝܼܦܘܿܗ̇|ܙܵܪ̈ܝܼܦܲܢ|zārīp|ܙܵܪ̈ܝܼܦܲܝ|ܙܵܪܝܼܦܬܵܐ|ܙܵܪܝܼܦܵܟ݂ܝ|ܙܵܪ̈ܝܼܦܘܿܗ̇|ܙܵܪ̈ܝܼܦܝܼ|ܙܵܪܝܼܦܵܘܟ݂ܘܿܢ|zārīpē|zārīpay|zārīpēh|zārīpoh|ܙܵܪ̈ܝܼܦܵܟ݂ܝ|ܙܵܪ̈ܝܼܦܘܼܟ݂|zārīpāḵ|ܙܵܪܝܼܦܹܗ|ܙܵܪܝܼܦܲܢ|zārīpuḵ|ܙܵܪ̈ܝܼܦܵܘܟ݂ܘܿܢ|ܙܵܪ̈ܝܼܦܗܘܿܢ|ܙܵܪܝܼܦܘܼܟ݂|ܙܵܪܝܼܦ|ܙܵܪܝܼܦܵܐ|zārīphon|zārīpī	<i>noun</i><br><ol><li>giraffe (animal from the African savannah with long legs and highly elongated neck)</li></ol>
ܙܪܩ|zārqēn|ܙܵܪܹܩ|zrīq luḵ|ܙܪܝܼܩ ܠܲܢ|zrīq lēh|zrīq lāḵ|zrīq lāwḵon|ܙܵܪܩܹܢ|ܙܵܪܩܵܐ|ܙܪܝܼܩ ܠܵܗ̇|zrīq lan|zroqun|zārqēt|zrīq lī|zārēq|ܙܪܘܿܩܘܼܢ|ܙܪܝܼܩ ܠܹܗ|zārqāt|ܙܪܝܼܩ ܠܗܘܿܢ|ܙܪܘܿܩ|ܙܪܝܼܩ ܠܵܟ݂ܝ|zārqaḥ|zārqīton|ܙܵܪܩܵܬܝ|zrīq lāh|zrīq lhon|zārqā|ܙܪܵܩܵܐ|ܙܵܪܩܲܚ|ܙܪܝܼܩܵܐ|zārqān|ܙܪܝܼܩ ܠܵܘܟ݂ܘܿܢ|ܙܪܝܼܩ ܠܝܼ|ܙܵܪܩܝܼܬܘܿܢ|zroq|ܙܵܪܩܵܢ|zārqī|ܙܪܘܿܩܝ|ܙܵܪܩܹܬ|ܙܵܪܩܝܼ|ܙܪܝܼܩ ܠܘܼܟ݂|zareq	<i>verb</i><br><ol><li>to shine</li><li>to rise, to appear above the horizon</li><li>to dazzle</li><li>to be blue</li></ol>
ܙܪܩܐ|zarqā|ܙܲܪ̈ܩܹܐ|ܙܲܪܩܬܵܐ|ܙܲܪܩܵܐ	<i>adj</i><br><ol><li>light blue, sky blue</li><li>(obsolete) flickering, glinting</li><li>blue-eyed</li><li>(by extension) bright</li></ol><br><i>noun</i><br><ol><li>light blue, sky blue (color)</li></ol>
ܚ ܙ ܐ|ḥ z ʾ	<i>root</i><br><ol><li>forming words pertaining to seeing</li></ol>
ܚ ܡ ܡ|ḥ	<i>root</i><br><ol><li>forming words pertaining to being hot</li></ol>
ܚ ܫ ܒ|ḥ š b	<i>root</i><br><ol><li>forming words pertaining to thinking</li><li>forming words pertaining to calculating</li></ol>
ܚܐܪܐ|ܚܹܐܪ̈ܵܬܹܐ|ܚܹܐܪܹ̈ܐ|ḳērā|ܚܹܐܪܬܵܐ|ܚܹܐܪܵܐ	<i>adj</i><br><ol><li>free: exempt from being confined, imprisoned or subjection to the will of others.</li></ol>
ܚܐܪܘܬܐ|ḥērut|ḥērutoh|ḥērwātuḵ|ḥērwātāḵ|ܚܹܐܪ̈ܘܵܬܗܘܿܢ|ḥērutāḵ|ḥērutay|ḥērwāthon|ܚܹܐܪ̈ܘܵܬܵܘܟ݂ܘܿܢ|ܚܹܐܪ̈ܘܵܬܘܼܗܝ|ḥērwātoh|ḥērwātāwḵon|ḥērwātī|ܚܹܐܪܘܼܬܘܿܗ̇|ḥērutā|ḥēruthon|ܚܹܐܪ̈ܘܵܬܘܿܗ̇|ܚܹܐܪܘܼܬܘܼܟ݂|ḥērutuḵ|ḥērutāwḵon|ܚܹܐܪܘܼܬܵܘܟ݂ܘܿܢ|ܚܹܐܪ̈ܘܵܬܘܼܟ݂|ܚܹܐܪܘܼܬܹܗ|ܚܹܐܪܘܼܬܝܼ|ḥērutan|ḥērutēh|ܚܹܐܪܘܼܬܵܐ|ܚܹܐܪܘܼܬܗܘܿܢ|ܚܹܐܪ̈ܘܼܬܲܝ|ܚܹܐܪܘܼܬܵܟ݂ܝ|ܚܹܐܪ̈ܘܵܬܵܟ݂ܝ|ܚܹܐܪ̈ܘܵܬܹܐ|ܚܹܐܪܘܼܬ|ܚܹܐܪ̈ܘܵܬܲܢ|ḥērwātē|ḥērwātan|ḥērutī|ܚܹܐܪܘܼܬܲܢ|ḳērutā|ḥērwātuh|ܚܹܐܪ̈ܘܵܬܝܼ	<i>noun</i><br><ol><li>freedom, liberty, free will</li><li>(figuratively) nobility, good breeding</li></ol>
ܚܒܒ|ܚܲܒܘܼܒ݂ܹܐ|ḥabḇaḥ|ḥubiḇ luḵ|ܚܵܒܒ݂ܵܬܝ|ḥboḇun|ܚܒܝܼܒ݂ ܠܘܼܟ݂|ḥbīḇ lāh|ܚܲܒܒ݂ܵܢ|ܚܵܒܒ݂ܹܬ|ܚܲܒܒ݂ܵܬܝ|ܚܘܼܒܸܒ݂ ܠܵܟ݂ܝ|ḥboḇ|ḥbīḇ lan|ḥabḇīton|ܚܒܘܿܒ݂|ḥābḇaḥ|ܚܘܼܒܸܒ݂ ܠܗܘܿܢ|ܚܒܝܼܒ݂ ܠܗܘܿܢ|ܚܵܒܒ݂ܵܐ|ܚܵܒܒ݂ܵܢ|ܚܘܼܒܸܒ݂ ܠܵܗ̇|ḥabḇun|ܚܒܘܿܒ݂ܘܼܢ|ܚܵܒܒ݂ܹܢ|ܚܒܝܼܒ݂ ܠܵܗ̇|ܚܲܒܒ݂ܝܼܬܘܿܢ|ḥbīḇ luḵ|ḥubiḇ lāwḵon|ܚܲܒܒ݂ܵܐ|ܚܘܼܒܒ݂ܵܐ|ܚܒܝܼܒ݂ ܠܝܼ|ḥabḇin|ḥbīḇ lhon|ḥābḇā|ḥabbiḇ|ḥābḇāt|ܚܲܒܸܒ݂|ḥābḇīton|ḥubiḇ lāh|ḥabḇit|ܚܒܘܿܒ݂ܝ|ܚܘܼܒܸܒ݂ ܠܲܢ|ḥubiḇ lēh|ܚܲܒܸܒ݂ܝ|ḥbīḇ lī|ܚܒܝܼܒ݂ ܠܵܟ݂ܝ|ܚܵܒܒ݂ܝܼ|ḥabḇī|ܚܘܼܒܸܒ݂ ܠܝܼ|ḥubiḇ lī|ܚܘܼܒܸܒ݂ ܠܹܗ|ܚܒܝܼܒ݂ܵܐ|ḥābḇān|ḥbīḇ lāwḵon|ܚܘܼܒܸܒ݂ ܠܵܘܟ݂ܘܿܢ|ܚܵܒܒ݂ܲܚ|ܚܲܒܒ݂ܸܢ|ḥbīḇ lēh|ḥubiḇ lāḵ|ܚܒܝܼܒ݂ ܠܹܗ|ḥabḇāt|ḥabḇā|ܚܒܵܒ݂ܵܐ|ḥābḇī|ḥubiḇ lan|ܚܲܒܒ݂ܲܚ|ḥabḇān|ܚܲܒܒ݂ܸܬ|ܚܒܝܼܒ݂ ܠܲܢ|ḥbīḇ lāḵ|ḥābḇēn|ḥābḇēt|ܚܲܒܒ݂ܝܼ|ܚܒܝܼܒ݂ ܠܵܘܟ݂ܘܿܢ|ܚܵܒܹܒ݂|ܚܵܒܒ݂ܝܼܬܘܿܢ|ḥābēḇ|ܚܲܒܒ݂ܘܼܢ|ḥubiḇ lhon|ܚܘܼܒܸܒ݂ ܠܘܼܟ݂	<i>verb</i><br><ol><li>to be loved</li><li>to be aflame, to burn, to be on fire</li><li>To love, like</li></ol>
ܚܒܘܫܐ|ܚܲܒܘܼܫ̈ܘܿܗ̇|ḥabušā|ḥabušī|ܚܲܒܘܼܫܵܐ|ḥabušuḵ|ܚܲܒܘܼܫܘܼ̈ܟ݂|ܚܲܒܘܼܫܲܝ̈|ḥabušay|ḥabušhon|ḥabušāwḵon|ḥabušāḵ|ܚܲܒܘܼܫܝܼ|ḥabušoh|ܚܲܒܘܼܫܘܼܟ݂|ܚܲܒܘܼܫܲܢ|ܚܲܒܘܼܫܹܗ|ḥabušan|ḥabuš|ܚܲܒܘܼܫܗ̈ܘܿܢ|ܚܲܒܘܼܫܵܘ̈ܟ݂ܘܿܢ|ḥabušē|ܚܲܒܘܼܫ|ܚܲܒܘܼܫܘܼ̈ܗܝ|ܚܲܒܘܼܫܵܟ݂ܝ̈|ܚܲܒܘܼܫܝܼ̈|ܚܲܒܘܼܫܵܘܟ݂ܘܿܢ|ܚܲܒܘܼܫܗܘܿܢ|ܚܲܒܘܼܫܘܿܗ̇|ḥabušēh|ḥabušuh|ܚܲܒܘܼܫܵܟ݂ܝ|ܚܲܒܘܼܫܲܢ̈|ܚܲܒܘܼܫܹ̈ܐ	<i>noun</i><br><ol><li>apple</li></ol>
ܚܒܝܒܐ|ḥabīḇuḵ|ܚܲܒܝܼܒ݂ܵܟ݂ܝ̈|ḥabīḇay|ܚܲܒܝܼܒ݂ܗ̈ܘܿܢ|ḥabīḇāḵ|ܚܲܒܝܼܒ݂ܝܼ̈|ܚܲܒܝܼܒ݂ܹܗ|ܚܲܒܝܼܒ݂ܘܼܟ݂|ܚܲܒܝܼܒ݂ܝܼ|ḥabīḇī|ܚܲܒܝܼܒ݂ܵܟ݂ܝ|ܚܲܒܝܼܒ݂̈ܘܿܗ̇|ḥabīḇā|ḥabīḇan|ܚܲܒܝܼܒ݂ܗܘܿܢ|ḥabīḇē|ܚܲܒܝܼܒ݂ܲܝ̈|ḥabīḇ|ܚܲܒܝܼܒ݂ܲܢ|ܚܲܒܝܼܒ݂ܘܼ̈ܗܝ|ܚܲܒܝܼܒ݂ܵܘܟ݂ܘܿܢ|ܚܲܒܝܼܒ݂ܲܢ̈|ܚܲܒܝܼܒ݂ܵܐ|ܚܲܒܝܼܒ݂ܘܼ̈ܟ݂|ḥabīḇoh|ḥabīḇēh|ܚܲܒܝܼܒ݂ܵܘ̈ܟ݂ܘܿܢ|ḥabīḇuh|ḥabīḇhon|ܚܲܒܝܼܒ݂ܹ̈ܐ|ḥabīḇāwḵon|ܚܲܒܝܼܒ݂|ܚܲܒܝܼܒܬܵܐ|ܚܲܒܝܼܒ݂ܘܿܗ̇	<i>adj</i><br><ol><li>beloved</li><li>agreeable</li></ol><br><i>noun</i><br><ol><li>beloved</li><li>sweetheart</li><li>dear; darling</li></ol>
ܚܒܪ|ḥbīrhon|ܚܵܒܪܵܬ|ܚܵܒܪܹܬ|ḥābrī|ܚܒܝܼܪܵܗ̇|ܚܵܒܹܪ|ܚܒܝܼܪܘܼܟ݂|ḥābēr|ḳaber|ḥbīrāḵ|ܚܒܝܼܪܝܼ|ܚܒܘܿܪ|ḥbor|ܚܒܝܼܪܲܢ|ܚܵܒܪܹܢ|ḥbīran|ḥābrēn|ܚܒ݂ܵܪܵܐ|ḥbīrī|ḥbīrēh|ḥābrēt|ḥābrāt|ḥbīrāwḵon|ܚܵܒܪܝܼܬܘܿܢ|ܚܒܝܼܪܵܘܟ݂ܘܿܢ|ܚܵܒܪܵܢ|ܚܒ݂ܝܼܪܵܐ|ḥbīruḵ|ḥābrīton|ܚܵܒܪܲܚ|ܚܒܝܼܪܹܗ|ḥābrā|ܚܒܘܿܪܘܼܢ|ܚܒܝܼܪܗܘܿܢ|ܚܵܒܪܵܐ|ḥborun|ḥābraḥ|ḥābrān|ܚܒܝܼܪܵܟ݂ܝ|ḥbīrāh|ܚܒܘܿܪܝ|ܚܵܒܪܝܼ	<i>verb</i><br><ol><li>to discover, find out</li></ol>
ܚܒܪܐ|ܚܲܒܪ̈ܵܢܘܼܗܝ|ḥabbāray|ܚܲܒ݂ܪ̈ܵܘܵܬܹܐ|ܚܲܒ݂ܪ̈ܵܘܵܬܘܼܟ݂|ḥabrāḵ|ܚܲܒܪܝܼ|ܚܲܒ݂ܪܲܢ|ܚܲܒ݂ܪ̈ܵܘܵܬܗܘܿܢ|ḥabbārē|ḥabrānhon|ܚܲܒܪ̈ܵܢܹܐ|ḥaḇrhon|ḥaḇrāwātāḵ|ܚܲܒ݂ܪ̈ܵܘܵܬܵܟ݂ܝ|ḥabbār|ܚܲܒܵܪ̈ܝܼ|ܚܲܒܪ̈ܵܢܘܼܟ݂|ܚܲܒ݂ܪ|ܚܲܒܵܪܵܘܟ݂ܘܿܢ|ܚܲܒܵܪܹ̈ܐ|ḥaḇr|ḥabrānī|ḥaḇrāḵ|ḥaḇrī|ܚܲܒ݂ܪ̈ܵܘܵܬܘܼܗܝ|ḥabrhon|ܚܲܒܵܪܵܟ݂ܝ|ḥaḇrāwātē|ḥabbārēh|ܚܲܒܵܪ̈ܘܗܝ|ḥaḇrāwātoh|ܚܲܒ݂ܪ̈ܵܘܵܬܲܢ|ḥabbārā|ܚܲܒܪ̈ܵܢܵܟ݂ܝ|ܚܲܒ݂ܪܹܗ|ܚܲܒܵܪ̈ܗܘܿܢ|ܚܲܒܪ̈ܵܢܗܘܿܢ|ܚܲܒ݂ܪܵܐ|ܚܲܒ݂ܪܵܘܟ݂ܘܿܢ|ḥaḇrāwātāwḵon|ܚܲܒܵܪܗܘܿܢ|ܚܲܒ݂ܪܵܟ݂ܝ|ḥabrāwḵon|ḥaḇroh|ܚܲܒ݂ܪ̈ܲܝ|ḥabbārwh|ḥabrēh|ḥaḇray|ḥaḇrā|ܚܲܒܵܪܵܐ|ܚܲܒܵܪ̈ܲܢ|ܚܲܒ݂ܪܘܿܗ̇|ḥabran|ܚܲܒܵܪܘܿܗ̇|ḥabrā|ḥabbāran|ܚܲܒܪܗܘܿܢ|ܚܲܒܵܪ|ܚܲܒܪ̈ܵܢܵܘܟ݂ܘܿܢ|ḥabroh|ܚܲܒܪ̈ܵܢܲܢ|ḥabr|ܚܲܒ݂ܪܝܼ|ܚܲܒܵܪ̈ܵܘܟ݂ܘܿܢ|ܚܲܒܪܘܿܗ̇|ḥaḇrāwāthon|ḥaḇrāwātuh|ḥabruḵ|ܚܲܒܵܪ̈ܲܝ|ḥabbārhon|ḥaḇruḵ|ḥabrānoh|ḥaḇran|ḥabbārāwḵon|ܚܲܒ݂ܪ̈ܵܘܵܬܘܿܗ̇|ḥaḇrāwātī|ḥabbārāḵ|ܚܲܒ݂ܪܘܼܟ݂|ܚܲܒ݂ܪ̈ܵܘܵܬܝܼ|ḥabbārī|ܚܲܒ݂ܸܪܬܵܐ|ḥabrānuh|ܚܲܒܪܵܐ|ܚܲܒ݂ܪܗܘܿܢ|ܚܲܒܪܘܼܟ݂|ḥabrānuḵ|ḥaḇrāwātan|ḥabrānāḵ|ܚܲܒܪ̈ܲܝ|ܚܲܒܪܹܗ|ܚܲܒܵܪܹܗ|ܚܲܒܪܵܟ݂ܝ|ܚܲܒ݂ܪ̈ܵܘܵܬܵܘܟ݂ܘܿܢ|ܚܲܒܪܲܢ|ܚܲܒܪ|ܚܲܒܵܪܘܼܟ݂|ḥabbāroh|ḥabrānāwḵon|ḥabrī|ܚܲܒܪܵܘܟ݂ܘܿܢ|ḥabray|ܚܲܒܵܪ̈ܘܼܟ݂|ܚܲܒܵܪ̈ܵܟ݂ܝ|ܚܲܒܵܪܬܵܐ|ḥabrānan|ḥaḇrēh|ܚܲܒܵܪܲܢ|ḥaḇrāwḵon|ḥabbāruḵ|ܚܲܒܪ̈ܵܢܝܼ|ܚܲܒܵܪ̈ܘܿܗ̇|ܚܲܒܪ̈ܵܢܘܿܗ̇|ḥaḇrāwātuḵ|ḥabrānē	<i>noun</i><br><ol><li>friend (person whose company one enjoys and towards whom one feels affection)</li><li>boyfriend (male partner in an unmarried romantic relationship)</li><li>fellow, associate, companion, comrade.</li><li>word, lyric</li><li>a report</li><li>conjurer</li><li>charmer, enchanter</li><li>exorcist</li></ol>
ܚܕ|ܚܲܕ݇|ܚܕܵܐ|ḥa	<i>article</i><br><ol><li>an, a</li></ol><br><i>num</i><br><ol><li>one</li></ol>
ܚܕܐ|ḥādēt|ḥdē lāh|ܚܵܕܹܝܢ|ḥdē lēh|ḥdē luḵ|ܚܕܹܐ ܠܵܟ݂ܝ|ܚܕܝܼ|ܚܕܹܐ ܠܵܗ̇|ḥdē lī|ܚܕܹܐ ܠܘܼܟ݂|ḥdī|ܚܵܕܹܐ|ḥdēmun|ḥdē|ܚܵܕܹܝܬܘܿܢ|ḥādēton|ܚܕܹܝܡܘܼܢ|ḥdē lhon|ܚܵܕܹܝܬ|ḥādī|ܚܕܹܐ ܠܝܼ|ܚܵܕܝܵܬܝ|ḥādē|ܚܕܹܐ ܠܲܢ|ḥdē lāḵ|ḥādyā|ܚܸܕܝܵܐ|ܚܕܹܐ ܠܗܘܿܢ|ḥādaḥ|ḥdē lan|ܚܕܹܐ|ḥādyāt|ܚܕܹܐ ܠܵܘܟ݂ܘܿܢ|ܚܵܕܝܼ|ḥādyān|ܚܵܕܝܵܐ|ܚܕܵܝܵܐ|ܚܕܹܐ ܠܹܗ|ḥādēn|ḥdē lāwḵon|ܚܵܕܲܚ|ܚܵܕܝܵܢ	<i>verb</i><br><ol><li>to be happy, joyful</li><li>to rejoice</li></ol>
ܚܕܐ ܠܝ ܬܦܩܢܘܟ|ḥdīlī tāpqēnnoḵ|ܚܕܹܐ ܠܝܼ ܬܵܦܩܹܢܘܼܟ݂	<i>phrase</i><br><ol><li>pleased to meet you, nice to meet you, pleasure to meet you (to a man) (polite formula used when being introduced to somebody)</li></ol>
ܚܕܒܫܒܐ|ܚܲܕ݇ܒ݂ܫܵܒܹ̈ܐ|ḳāwšaba|ܚܲܕ݇ܒ݂ܫܵܒܵܐ	<i>noun</i><br><ol><li>Sunday: The first day of the week following Saturday and preceding Monday.</li></ol>
ܚܕܟܐ|ܚܲܕ݇ܟ̰ܵܐ|ḥačā	<i>adv</i><br><ol><li>a little, a bit, a few</li></ol>
