.	<i>punct</i><br><ol><li>Used to mark ordinal numbers, pronounced -garren.</li></ol>
atariko haize|atariko haizez|atariko haizeei|atariko haizetan|atariko haizeetan|atariko haizetzat|atariko haizeetarantz|atariko haizeek|atariko haizeraino|atariko haizeari|atariko haizeengatik|atariko haizerako|atariko haizeetarako|atariko haizeko|atariko haizerekin|atariko haizetara|atariko haizetako|atariko haizeren|atariko haizeez|atariko haizetatik|atariko haizeetara|atariko haizearentzat|atariko haizeetaraino|atariko haizetarantz|atariko haizek|atariko haizearekin|atariko haizetaraino|atariko haizeen|atariko haizeaz|atariko haizearengatik|atariko haizetarako|atariko haizerentzat|atariko haizeak|atariko haizeekin|atariko haizeentzat|atariko haizearen|atariko haizea|atariko haizean|atariko haizeetako|atariko haizerantz|atariko haizeetatik|atariko haizerengatik|atariko haizetik|atariko haizeri|atariko haizera|atariko haizerik	<i>noun</i><br><ol><li>(idiomatic) dead loss (something or someone useless)</li></ol>
ate|atearekin|atetara|ateekin|atetaraino|ateetarantz|ateetaraino|ateetara|aterako|atetan|ateari|ateak|atera|atez|ateetan|ateetako|atetarantz|ateetatik|atea|atetzat|aterentzat|atetik|atetako|atearen|ateaz|ateentzat|ateraino|ateengatik|atetarako|aterekin|atek|atearengatik|ateek|ateei|ateen|atean|ateko|ateez|atearentzat|ateren|ateetarako|aterengatik|ateri|aterik|aterantz|atetatik	<i>noun</i><br><ol><li>door, entrance</li><li>defile, gorge (deep, narrow passage)</li><li>(sports) goal (structure)</li><li>exterior, outside part</li></ol>
atera|aterako|ateratzen|ateratze	<i>verb</i><br><ol><li>(transitive) to take out</li><li>(intransitive) to exit, to go out, to leave, to depart</li><li>(intransitive) to go out, to come out (to leave one's abode to go to public places)</li><li>(intransitive) to emerge, to grow, to originate, to be born</li><li>(transitive) to publish</li><li>(intransitive, of the Sun) to rise</li><li>(intransitive) to cost</li></ol>
aterki|aterkitzat|aterkiko|aterkiarentzat|aterkirekin|aterkietatik|aterkira|aterkitaraino|aterkiarekin|aterkirantz|aterkitik|aterkiek|aterkitara|aterkiarengatik|aterkietarako|aterkirentzat|aterkiengatik|aterkietaraino|aterkientzat|aterkiez|aterkietarantz|aterkitarako|aterkien|aterkiz|aterkiaren|aterkietara|aterkirako|aterkia|aterkitan|aterkian|aterkiari|aterkitarantz|aterkik|aterkitako|aterkiaz|aterkiren|aterkiak|aterkietako|aterkiraino|aterkiri|aterkiei|aterkirik|aterkietan|aterkitatik|aterkirengatik|aterkiekin	<i>noun</i><br><ol><li>shelter, hostel, refuge</li><li>umbrella</li></ol>
atoi|atoirekin|atoirik|atoirantz|atoirengatik|atoiz|atoietako|atoitara|atoiko|atoiren|atoitik|atoitaraino|atoiek|atoiarengatik|atoiarentzat|atoietan|atoietarako|atoiekin|atoiri|atoian|atoiaren|atoietaraino|atoietatik|atoitarantz|atoitarako|atoia|atoitatik|atoiaz|atoirako|atoiarekin|atoitzat|atoiari|atoik|atoira|atoiak|atoiengatik|atoiraino|atoiei|atoirentzat|atoientzat|atoien|atoietarantz|atoitako|atoiez|atoietara|atoitan	<i>noun</i><br><ol><li>trailer (unpowered wheeled vehicle), something that is towed</li></ol>
atomo	<i>noun</i><br><ol><li>(physics) atom</li></ol>
atorra|atorrekin|atorraraino|atorrara|atorratako|atorrarik|atorrek|atorrataraino|atorratarantz|atorrarantz|atorrako|atorran|atorren|atorrari|atorratatik|atorraz|atorrak|atorrarengatik|atorrentzat|atorratan|atorretan|atorrez|atorraren|atorretatik|atorrei|atorrarako|atorrarentzat|atorretarantz|atorretarako|atorretaraino|atorrengatik|atorrarekin|atorratara|atorratik|atorratzat|atorretara|atorratarako|atorretako	<i>noun</i><br><ol><li>shirt</li></ol>
atsegin eman|atsegin ematen|atsegin emango|atsegin emate	<i>verb</i><br><ol><li>to please, delight</li></ol>
atsegin hartu|atsegin hartzen|atsegin hartuko|atsegin hartze|atsegin har	<i>verb</i><br><ol><li>to take pleasure, enjoy oneself, have a good time</li></ol>
atxeki|zetxezkidan|gentxezkizun|nentxekizuen|zentxezkidakete|letxezkizuke|hentxekiguke|letxekiake|zetxezkien|zentxezkigukete|gatxezkizue|zetxekien|atxekitzerengatik|zetxezkion|nentxekieke|nentxekiake|atxekitzeetarako|atxekitzeengatik|atxekitzetarako|zentxezkien|atxekitzetako|hatxekigu|hentxekieke|zentxezkigun|atxekitzeren|letxezkioke|letxekizueke|atxekitzek|datxezkio|atxekitzerantz|atxekitzeetatik|datxekio|zentxezkiguke|zentxezkiekete|natxekie|letxekizuke|zetxekion|zatxezkie|atxekitzeentzat|zentxezkiokete|atxekitzearen|natxekio|nentxekizuke|datxekik|zentxezkieke|nentxekion|atxekitzeaz|letxekidake|atxekitzeetako|letxekioke|datxezkie|atxekitzeen|hentxekigun|zetxezkizun|atxekitzetarantz|atxekitzerentzat|gentxezkieke|atxekitzeak|zatxezkigute|letxezkiake|atxekitzetaraino|gentxezkian|zetxezkizuen|atxekitzearekin|atxekitzerako|atxekitzera|datxekizue|zetxekizun|atxekitzeraino|gentxezkien|zatxezkiote|zatxezkit|hatxekio|natxekik|zetxekian|letxezkidake|atxekitze|letxekiguke|hentxekioke|hatxekie|zetxekidan|datxekigu|datxezkigu|letxezkiguke|zetxezkian|atxekitzeri|atxekitzetan|atxekitzeari|gentxezkiake|zentxezkion|zentxezkidake|hentxekion|atxekitzeei|atxekitzen|zentxezkiguten|hentxekien|gatxezkio|zetxekigun|datxezkit|zentxezkioke|hentxekidake|gentxezkioke|atxekitzearentzat|zentxezkioten|atxekitzearengatik|nentxekioke|zatxezkidate|datxezkizue|n|atxekitzetzat|gentxezkion|gatxezkie|zentxezkieten|atxekitzeek|nan|atxekitzeko|zentxezkidaten|atxekitzez|datxekizu|zatxezkigu|nentxekien|nentxekizun|letxezkieke|natxekizu|zatxezkio|gatxezkik|datxekie|zetxekizuen|hentxekidan|gentxezkizuen|atxekitzeetaraino|nentxekian|atxekitzetara|atxekitzeez|atxekitzeetan|datxezkik|gentxezkizueke|atxekitzerekin|datxezkizu|atxekitzea|atxekiko|zatxezkiete|zetxezkigun|atxekitzeetarantz|atxekitzean|letxekieke|datxekit|gatxezkizu|atxekitzetatik|letxezkizueke|gentxezkizuke|atxekitzeetara|atxekitzetik|nake|nentxekizueke|hatxekit|natxekizue|atxekitzerik|zentxezkidan|atxekitzeekin	<i>verb</i><br><ol><li>to stick to, adhere</li><li>to attach</li></ol>
atze|atzea|atzeengatik|atzeetarako|atzerekin|atzeez|atzeetara|atzean|atzetik|atzeetarantz|atzetara|atzearentzat|atzeko|atzera|atzeentzat|atzetatik|atzeek|atzearengatik|atzetarantz|atzek|atzeetatik|atzeri|atzeren|atzeraino|atzearekin|atzetako|atzeetan|atzeen|atzeak|atzerako|atzerik|atzez|atzeei|atzeetaraino|atzetan|atzerantz|atzerengatik|atzeetako|atzetzat|atzearen|atzeekin|atzeaz|atzetaraino|atzetarako|atzeari|atzerentzat	<i>noun</i><br><ol><li>rear; the back or hindmost part of something, that which is behind or last on order, as opposed to front.</li><li>(euphemistic) buttocks, arse, rear</li></ol>
atzealde|atzealderentzat|atzealdeetatik|atzealdetatik|atzealdeengatik|atzealdetzat|atzealdek|atzealderen|atzealderik|atzealdeez|atzealderaino|atzealdeak|atzealdetako|atzealdeek|atzealdez|atzealdeetan|atzealdearen|atzealdearekin|atzealdeen|atzealderengatik|atzealdeko|atzealdetarako|atzealdetarantz|atzealderantz|atzealdeekin|atzealdera|atzealderekin|atzealdetara|atzealdeetaraino|atzealdetan|atzealdeetara|atzealdeetako|atzealdeentzat|atzealdeari|atzealderi|atzealdeaz|atzealdea|atzealdetik|atzealderako|atzealdearengatik|atzealdetaraino|atzealdearentzat|atzealdeetarako|atzealdean|atzealdeei|atzealdeetarantz	<i>noun</i><br><ol><li>backside, rear side</li><li>(military) rearguard</li></ol>
atzean	<i>postp</i><br><ol><li>behind</li></ol>
atzelari|atzelariak|atzelariren|atzelarirekin|atzelariari|atzelariz|atzelarirentzat|atzelariarengandik|atzelariez|atzelariarengana|atzelariengandik|atzelariengan|atzelariengana|atzelariri|atzelarirengan|atzelariekin|atzelariarekin|atzelariarenganantz|atzelarienganantz|atzelarirenganako|atzelaritzat|atzelaririk|atzelarienganako|atzelariek|atzelariarentzat|atzelarienganaino|atzelarik|atzelariarenganaino|atzelariei|atzelariarengan|atzelarirenganaino|atzelariarengatik|atzelarientzat|atzelarirengandik|atzelarirengatik|atzelaria|atzelariarenganako|atzelarirenganantz|atzelariaz|atzelarirengana|atzelariaren|atzelarien|atzelariengatik	<i>noun</i><br><ol><li>(soccer) defender</li><li>(derogatory) faggot</li></ol>
atzo|atzotik|atzoko|atzora	<i>adv</i><br><ol><li>yesterday</li></ol>
aukera|aukeraz|aukeretarako|aukerentzat|aukerarengatik|aukerara|aukerari|aukerez|aukeratako|aukerek|aukerarekin|aukerarantz|aukeraren|aukeratarako|aukeretatik|aukeratan|aukerak|aukerataraino|aukerarako|aukerekin|aukeratara|aukeretarantz|aukerako|aukeratzat|aukeratik|aukeren|aukeran|aukerarik|aukerarentzat|aukeretan|aukeretako|aukerengatik|aukeretara|aukeretaraino|aukerei|aukeratarantz|aukeratatik|aukeraraino	<i>noun</i><br><ol><li>choice, option</li><li>selection</li><li>occasion</li></ol><br><i>verb</i><br><ol><li>Short form of aukeratu.</li></ol>
aukeraketa|aukeraketek|aukeraketan|aukeraketez|aukeraketara|aukeraketarantz|aukeraketetaraino|aukeraketatarako|aukeraketengatik|aukeraketarentzat|aukeraketei|aukeraketarengatik|aukeraketetara|aukeraketaz|aukeraketetarantz|aukeraketen|aukeraketako|aukeraketak|aukeraketatako|aukeraketatatik|aukeraketaren|aukeraketetan|aukeraketaraino|aukeraketarako|aukeraketarik|aukeraketatan|aukeraketatarantz|aukeraketatara|aukeraketari|aukeraketatzat|aukeraketekin|aukeraketetatik|aukeraketetarako|aukeraketarekin|aukeraketetako|aukeraketatik|aukeraketataraino|aukeraketentzat	<i>noun</i><br><ol><li>selection</li></ol>
aukeratu|aukeratzeraino|aukeratzen|aukeratzeetarantz|aukeratzeetan|aukeratzetako|aukeratzera|aukeratzea|aukeratuko|aukeratzeetara|aukeratzetzat|aukeratzeri|aukera|aukeratzearekin|aukeratzeetako|aukeratzeen|aukeratzetara|aukeratzeentzat|aukeratzeren|aukeratzeetatik|aukeratzean|aukeratzetan|aukeratzek|aukeratzetik|aukeratzerengatik|aukeratzetarantz|aukeratzetatik|aukeratzerekin|aukeratzeko|aukeratzerantz|aukeratzearen|aukeratzeei|aukeratzeari|aukeratzeetarako|aukeratzeak|aukeratzeek|aukeratzearengatik|aukeratzez|aukeratzeekin|aukeratzetarako|aukeratze|aukeratzeez|aukeratzeengatik|aukeratzearentzat|aukeratzeaz|aukeratzetaraino|aukeratzerik|aukeratzeetaraino|aukeratzerako|aukeratzerentzat	<i>verb</i><br><ol><li>to choose, pick</li></ol>
aulki|aulkitara|aulkien|aulkiraino|aulkia|aulkientzat|aulkiekin|aulkiko|aulkik|aulkitarako|aulkiengatik|aulkiarekin|aulkitaraino|aulkietara|aulkirekin|aulkiek|aulkiak|aulkitatik|aulkietan|aulkiaz|aulkiei|aulkietako|aulkian|aulkirik|aulkiez|aulkietaraino|aulkiarentzat|aulkitako|aulkiren|aulkitan|aulkitarantz|aulkitik|aulkitzat|aulkira|aulkiari|aulkiri|aulkirantz|aulkiarengatik|aulkietarako|aulkirengatik|aulkietarantz|aulkietatik|aulkiaren|aulkirako|aulkirentzat|aulkiz	<i>noun</i><br><ol><li>chair</li><li>workbench</li><li>(politics) seat</li><li>(Christianity) see</li><li>(sports) bench</li><li>(law) dock (part of a courtroom where the accused sits)</li></ol>
aupa	<i>intj</i><br><ol><li>come on</li><li>hey (informal greeting)</li></ol>
aurki	<i>verb</i><br><ol><li>Short form of aurkitu.</li></ol>
aurkitu|aurkitzeri|aurkitzeetarantz|aurkitzen|aurkitzek|aurkitzetatik|aurki|aurkitzerik|aurkitzerengatik|aurkitzearekin|aurkitzetara|aurkitzerantz|aurkitzeak|aurkitzeetako|aurkitzearentzat|aurkitzeekin|aurkitzetako|aurkitzeaz|aurkitzez|aurkitzeko|aurkitzeren|aurkitzerentzat|aurkitzetarantz|aurkitzeetatik|aurkitzerako|aurkitzeengatik|aurkitzera|aurkitzea|aurkitzetik|aurkitze|aurkitzetan|aurkitzeen|aurkitzetaraino|aurkitzeraino|aurkitzeetarako|aurkituko|aurkitzeek|aurkitzeez|aurkitzeei|aurkitzeari|aurkitzean|aurkitzeetaraino|aurkitzetzat|aurkitzeentzat|aurkitzetarako|aurkitzearengatik|aurkitzeetara|aurkitzeetan|aurkitzerekin|aurkitzearen	<i>verb</i><br><ol><li>to find</li><li>to discover</li></ol>
aurpegi|aurpegiei|aurpegiarentzat|aurpegiri|aurpegirik|aurpegitzat|aurpegiekin|aurpegian|aurpegitarantz|aurpegitako|aurpegietara|aurpegiek|aurpegitarako|aurpegiarengatik|aurpegiraino|aurpegirengatik|aurpegietatik|aurpegira|aurpegiak|aurpegitan|aurpegietarako|aurpegiaren|aurpegirantz|aurpegiengatik|aurpegietarantz|aurpegitara|aurpegia|aurpegik|aurpegietan|aurpegirako|aurpegirentzat|aurpegiari|aurpegitatik|aurpegiaz|aurpegirekin|aurpegiko|aurpegietaraino|aurpegitik|aurpegiarekin|aurpegien|aurpegiez|aurpegiren|aurpegientzat|aurpegitaraino|aurpegiz|aurpegietako	<i>noun</i><br><ol><li>face</li></ol>
aurre|aurrearentzat|aurrerentzat|aurreei|aurrea|aurreren|aurretarantz|aurreekin|aurretzat|aurrearen|aurreetara|aurrerako|aurreraino|aurreko|aurretatik|aurrearengatik|aurretara|aurrek|aurreaz|aurreek|aurreetarako|aurreengatik|aurreari|aurrera|aurrean|aurrerik|aurreetan|aurretan|aurrerekin|aurreak|aurretaraino|aurrearekin|aurreetatik|aurretarako|aurrerengatik|aurreez|aurretik|aurrez|aurreri|aurretako|aurreentzat|aurreetarantz|aurrerantz|aurreetako|aurreetaraino|aurreen	<i>noun</i><br><ol><li>front</li></ol>
aurrean	<i>postp</i><br><ol><li>in front of</li></ol>
aurrera	<i>adv</i><br><ol><li>forward</li></ol><br><i>intj</i><br><ol><li>keep it up, keep on going (used to encourage or to demonstrate admiration towards someone)</li></ol>
aurten	<i>adv</i><br><ol><li>this year</li></ol>
austriar|austriarrarengatik|austriartzat|austriarrarengan|austriarretaraino|austriarretara|austriarretatik|austriarrekin|austriarreko|austriarrenganako|austriarretarantz|austriarrarenganako|austriarrari|austriarretako|austriarrean|austriarrarekin|austriarrengan|austriarrarenganantz|austriarrei|austriarrengatik|austriarrerantz|austriarrik|austriarrengana|austriarrarengandik|austriarrenganaino|austriarra|austriarrarenganaino|austriarretik|austriarrera|austriarrez|austriarri|austriarreraino|austriarretan|austriarrek|austriarrak|austriarretarako|austriarren|austriarrentzat|austriarrarentzat|austriarrarengana|austriarrengandik|austriarraren|austriarrerako|austriarrenganantz|austriarraz	<i>adj</i><br><ol><li>Austrian</li></ol><br><i>noun</i><br><ol><li>an Austrian person (male or female)</li></ol>
autismo	<i>noun</i><br><ol><li>autism</li></ol>
auto|autoek|autori|autoei|autotako|autoarengatik|autoaz|autoak|autoa|autotarantz|autorekin|autoentzat|autoetara|autorengatik|autoen|autoko|autotatik|autoaren|autoetaraino|autoengatik|autoetako|autoetarantz|autoekin|autoarekin|autoarentzat|autoan|autorantz|autotaraino|autoren|autoz|autoetarako|autoari|autoez|autoetan|autotarako|autorentzat|autoraino|autoetatik|autotik|autok|autora|autorako|autotan|autotzat|autorik|autotara	<i>noun</i><br><ol><li>automobile, car</li></ol>
autobide|autobidetara|autobidetarantz|autobideen|autobideko|autobideetara|autobiderantz|autobidearengatik|autobideetaraino|autobidera|autobideetarako|autobideengatik|autobidea|autobidearentzat|autobiderengatik|autobideez|autobidetarako|autobideraino|autobidearekin|autobidean|autobideekin|autobidetzat|autobideetatik|autobideei|autobideek|autobidearen|autobideri|autobideentzat|autobideetako|autobidez|autobidetik|autobidetaraino|autobidek|autobideren|autobideetan|autobiderekin|autobideari|autobiderentzat|autobideetarantz|autobidetatik|autobidetan|autobiderako|autobidetako|autobideaz|autobideak|autobiderik	<i>noun</i><br><ol><li>freeway, motorway, highway</li></ol>
autobus|autobusei|autobusetarantz|autobusarentzat|autobusekin|autobuseraino|autobusarekin|autobusari|autobusengatik|autobusek|autobusetako|autobusaz|autobusera|autobusetaraino|autobuserantz|autobusean|autobusentzat|autobusetan|autobusetatik|autobusaren|autobusa|autobusetik|autobusetarako|autobusetara|autobusi|autobusez|autobusak|autobuseko|autobustzat|autobusarengatik|autobusen|autobusik|autobuserako	<i>noun</i><br><ol><li>bus</li></ol>
auzo|auzoaren|auzoz|auzoekin|auzoetaraino|auzoei|auzoengana|auzotara|auzoetara|auzotan|auzorenganako|auzorengan|auzorengana|auzoko|auzoarenganaino|auzorengandik|auzoetan|auzorenganaino|auzoetako|auzotarantz|auzotik|auzoraino|auzoetarantz|auzoarenganantz|auzoen|auzorengatik|auzoetarako|auzoetatik|auzoari|auzok|auzora|auzoengandik|auzorik|auzorako|auzoek|auzoan|auzoa|auzoez|auzorantz|auzoarentzat|auzoarengana|auzorenganantz|auzoren|auzotzat|auzoarengan|auzoenganantz|auzoentzat|auzotako|auzorentzat|auzoak|auzoarengandik|auzori|auzorekin|auzotarako|auzoarekin|auzoenganaino|auzoarengatik|auzoaz|auzotaraino|auzoarenganako|auzotatik|auzoenganako|auzoengatik|auzoengan	<i>noun</i><br><ol><li>(animate) neighbo(u)r</li><li>(inanimate) neighbo(u)rhood</li></ol>
azal|azalek|azaletaraino|azaletarantz|azalaren|azaletako|azaletarako|azalez|azaletara|azalentzat|azalari|azaleraino|azalak|azaleko|azaletan|azali|azalengatik|azaletatik|azalera|azalei|azala|azalekin|azalean|azalen|azaletik|azalaz|azaltzat|azalarengatik|azalerako|azalik|azalarekin|azalarentzat|azalerantz	<i>noun</i><br><ol><li>(anatomy) skin</li></ol>
azaldu|azaltze|azaldu da|du|azal|azalduko|azaltzen	<i>verb</i><br><ol><li>to explain</li><li>to appear</li></ol>
azaro|azaroari|azarotatik|azarotaraino|azaroren|azaroentzat|azarotarako|azaroarengatik|azarotan|azarora|azaroarekin|azarorako|azarotik|azaroaz|azaroez|azaroetaraino|azaroz|azarotzat|azaroekin|azaroetara|azarorik|azarotara|azaroraino|azaroei|azaroan|azaroaren|azaroetarako|azarotarantz|azaroen|azarorengatik|azaroarentzat|azaroak|azaroek|azaroetarantz|azarori|azaroko|azarotako|azaroengatik|azaroa|azaroetan|azarorekin|azaroetako|azarorentzat|azarok|azarorantz|azaroetatik	<i>noun</i><br><ol><li>November</li></ol>
azazkal|azazkalengatik|azazkaletatik|azazkalaren|azazkaletaraino|azazkaleraino|azazkalarentzat|azazkalarengatik|azazkalen|azazkalean|azazkalera|azazkalei|azazkaletik|azazkala|azazkaletan|azazkaletako|azazkalaz|azazkaletarako|azazkalerantz|azazkaleko|azazkalez|azazkalek|azazkalerako|azazkalarekin|azazkalekin|azazkalari|azazkali|azazkaltzat|azazkalentzat|azazkaletarantz|azazkaletara|azazkalak|azazkalik	<i>noun</i><br><ol><li>fingernail</li></ol>
azenario|azenarioengatik|azenariorengatik|azenarioraino|azenarioren|azenarioetarako|azenarioetarantz|azenarioak|azenariotarako|azenarioz|azenarioetara|azenarioek|azenarioarengatik|azenariok|azenariorentzat|azenariotatik|azenarioari|azenarioez|azenarioetan|azenariorantz|azenarioaz|azenarioetatik|azenarioarekin|azenarioan|azenariora|azenarioetaraino|azenariotaraino|azenarioei|azenarioen|azenariorako|azenariorekin|azenarioa|azenariotzat|azenarioentzat|azenariotik|azenariotako|azenariori|azenarioko|azenarioekin|azenarioetako|azenariotarantz|azenariotan|azenariorik|azenarioarentzat|azenariotara|azenarioaren	<i>noun</i><br><ol><li>carrot</li></ol>
azerbaijandar|azerbaijandarrarekin|azerbaijandarrengatik|azerbaijandarrera|azerbaijandarretako|azerbaijandarrerako|azerbaijandarretaraino|azerbaijandarreko|azerbaijandarraz|azerbaijandarrarentzat|azerbaijandarrarengana|azerbaijandarrenganako|azerbaijandarreraino|azerbaijandarrerantz|azerbaijandarrarengan|azerbaijandarrek|azerbaijandarren|azerbaijandarrentzat|azerbaijandarraren|azerbaijandarretan|azerbaijandarretik|azerbaijandarrei|azerbaijandarrenganaino|azerbaijandarrarenganaino|azerbaijandarrean|azerbaijandarretara|azerbaijandarrenganantz|azerbaijandarretarako|azerbaijandarrarengatik|azerbaijandarrekin|azerbaijandarra|azerbaijandarrengan|azerbaijandarrarengandik|azerbaijandartzat|azerbaijandarrez|azerbaijandarrengana|azerbaijandarrarenganako|azerbaijandarrari|azerbaijandarrik|azerbaijandarrengandik|azerbaijandarretatik|azerbaijandarrak|azerbaijandarretarantz|azerbaijandarri|azerbaijandarrarenganantz	<i>adj</i><br><ol><li>Azeri</li></ol><br><i>noun</i><br><ol><li>an Azeri person (male or female)</li></ol>
