Aaden	<i>noun</i><br><ol><li>harvest</li></ol>
wätje|wätteden|wättede|wätted|häived|wättet|hieden|wätjet|tou wätjen|hied|wättest|häbe|wät|tou häben|hiest|hääst|hääbe|häbet|heeuwed|wättedest|häd|hääb	<i>verb</i><br><ol><li>(transitive) to whet, sharpen</li></ol>
wíeld|wielde|wüülder|wíelde|wüüldst|wield|wíelder|wüülde|wüüld|wíeldst	<i>adj</i><br><ol><li>wild</li></ol>
wíete|wisten|häived|hieden|wíet|tou wíeten|wíeten|hied|weet|waast|häbe|tou häben|hiest|wiste|hääst|hääbe|häbet|heeuwed|wist|wistest|wíetet|häd|hääb	<i>verb</i><br><ol><li>(transitive) to know</li><li>(transitive) to remember</li></ol>
wöile|häived|wöilt|hieden|hied|wöildest|wöild|wöil|tou wöilen|häbe|tou häben|wöilde|hiest|hääst|wöilet|hääbe|wöilden|häbet|wöilst|heeuwed|häd|hääb	<i>verb</i><br><ol><li>(intransitive) to grub, rummage, rout</li></ol>
Äbbe|Äbben	<i>noun</i><br><ol><li>ebb</li></ol>
Äddere	<i>noun</i><br><ol><li>blood vessel; vein</li></ol>
Ägge	<i>noun</i><br><ol><li>edge; border</li></ol>
Äi|Äien	<i>noun</i><br><ol><li>river</li></ol><br><i>name</i><br><ol><li>Sagter Ems (a river in Lower Saxony, Germany)</li></ol>
Äide|Äid|Idde	<i>noun</i><br><ol><li>Earth (planet)</li><li>soil</li><li>ground</li></ol>
Äidwurm	<i>noun</i><br><ol><li>earthworm</li></ol>
Äil|Äile	<i>noun</i><br><ol><li>(zoology) An eel</li><li>awl</li></ol>
Äirm	<i>noun</i><br><ol><li>Strukelje form of Íerm</li></ol>
Äise	<i>noun</i><br><ol><li>bait; lure</li><li>decoy</li></ol>
Äivend|Äiwend|Äivende|Äiwende	<i>noun</i><br><ol><li>(Romelse, Strukelje) evening</li></ol>
Äkker|Äkkere	<i>noun</i><br><ol><li>cropfield</li><li>land, parcel</li></ol>
Äkse	<i>noun</i><br><ol><li>axe</li></ol>
Älbooge	<i>noun</i><br><ol><li>(anatomy) elbow</li></ol>
Älfenbeen	<i>noun</i><br><ol><li>ivory</li></ol>
Ängel|Ängele	<i>noun</i><br><ol><li>angel</li></ol>
Ängelsk	<i>noun</i><br><ol><li>English language</li></ol>
Änglound	<i>name</i><br><ol><li>England</li></ol>
Änglounder	<i>noun</i><br><ol><li>An Englishman; Englander</li></ol>
Ättergjucht	<i>noun</i><br><ol><li>message; notification</li></ol>
Ättermiddai|Ättermiddeege	<i>noun</i><br><ol><li>afternoon</li></ol>
Ätterwinter	<i>noun</i><br><ol><li>late winter</li></ol>
Äälne	<i>noun</i><br><ol><li>ell; cubit</li><li>(anatomy) ulna</li></ol>
Äärger	<i>noun</i><br><ol><li>annoyance; anger</li><li>trouble</li></ol>
Äärmoud	<i>noun</i><br><ol><li>The condition or state of being poor; poverty</li></ol>
Ääske	<i>noun</i><br><ol><li>ash</li></ol>
Íerm|Íerme	<i>noun</i><br><ol><li>(Romelse, Skäddel, anatomy) arm</li><li>(Romelse, Skäddel, geography) arm</li><li>(Romelse, Skäddel) post for an advertisement</li></ol>
Íeten	<i>noun</i><br><ol><li>food</li><li>dish</li></ol>
Íezel|Íezele	<i>noun</i><br><ol><li>donkey, ass (Equus asinus)</li></ol>
ächt	<i>adj</i><br><ol><li>genuine; legitimate; real; true</li></ol>
älk	<i>pron</i><br><ol><li>each, every one</li></ol><br><i>det</i><br><ol><li>each, every</li></ol>
älkuneen|älkunaan|älk un een	<i>pron</i><br><ol><li>everyone</li></ol>
ängelsk|ängelske	<i>adj</i><br><ol><li>English</li></ol>
ätter	<i>prep</i><br><ol><li>after</li><li>according to</li></ol>
ättertoanke|häived|hieden|toankt ätter|ättertoutoanke|toanke ätter|ättertoacht|hied|ättertoachtest|häbe|toanket ätter|toachte ätter|tou häben|toankst ätter|hiest|ättertoachten|hääst|hääbe|toachten ätter|ättertoankst|ättertoankt|häbet|ättertoachte|heeuwed|häd|toachtest ätter|hääb	<i>verb</i><br><ol><li>(intransitive) to think, to ponder</li></ol>
äänelk	<i>adj</i><br><ol><li>similar</li></ol>
ääng|äänger|äänge|äängst	<i>adj</i><br><ol><li>tight</li></ol>
äärch	<i>adj</i><br><ol><li>terrible; bad</li></ol>
äärm|äärme|äärmst|äärmer	<i>adj</i><br><ol><li>poor</li></ol>
äärm as n Lúus	<i>adj</i><br><ol><li>(simile) very poor; impoverished</li></ol>
äärm as n Säärkenmúus	<i>adj</i><br><ol><li>(simile) poor as a church mouse</li></ol>
íeuwen	<i>adj</i><br><ol><li>even, flat</li></ol><br><i>adv</i><br><ol><li>just, for a moment</li><li>somehow, even</li></ol>
