Abril|Abríl	<i>name</i><br><ol><li>April</li></ol>
kalawag	<i>noun</i><br><ol><li>turmeric</li></ol>
kalayo	<i>noun</i><br><ol><li>fire; flame</li></ol>
kaldero	<i>noun</i><br><ol><li>cauldron</li></ol>
kalentura|kalintura	<i>noun</i><br><ol><li>fever</li></ol>
kali|kalí	<i>noun</i><br><ol><li>canal; ditch; trench; gutter</li></ol>
kalibangbang	<i>noun</i><br><ol><li>(Tabaco–Legazpi–Sorsogon) butterfly</li></ol>
kalibogan|kalibugan	<i>noun</i><br><ol><li>(Naga) blurriness; fuzziness; obscureness; turbidness</li><li>lewdness; horniness; randiness</li></ol>
kalinigan	<i>noun</i><br><ol><li>cleanliness; cleanness</li></ol>
kalkag|kalkág	<i>noun</i><br><ol><li>a dig</li></ol>
kalo|kalò	<i>noun</i><br><ol><li>(Tabaco–Legazpi–Sorsogon) hat</li></ol>
kalot|kalót	<i>noun</i><br><ol><li>a dig; an excavation</li></ol>
kalson	<i>noun</i><br><ol><li>panties</li></ol>
kalunggay	<i>noun</i><br><ol><li>malunggay Moringa oleifera</li><li>one of the four suits of playing cards, marked with the symbol ♣</li></ol>
kalye	<i>noun</i><br><ol><li>street</li></ol>
kama	<i>noun</i><br><ol><li>bed</li></ol>
kamahalan	<i>noun</i><br><ol><li>(literary) love; affection; endearment</li></ol>
kamalig	<i>noun</i><br><ol><li>hut</li><li>shelter</li></ol>
kamandag|kamandág	<i>noun</i><br><ol><li>venom</li></ol>
kamangkaw	<i>noun</i><br><ol><li>holy basil</li></ol>
kamaoo	<i>noun</i><br><ol><li>fist</li><li>knuckle</li></ol>
kamatis	<i>noun</i><br><ol><li>tomato</li></ol>
kamatuhan|kamatùhan	<i>noun</i><br><ol><li>firstborn</li></ol>
kambal	<i>noun</i><br><ol><li>twin</li></ol>
kambiyo	<i>noun</i><br><ol><li>(automotive) gear</li></ol>
kambiyohan	<i>verb</i><br><ol><li>to change gear</li><li>to change (money, clothes etc.)</li></ol>
kamelyo	<i>noun</i><br><ol><li>camel</li></ol>
kamhol	<i>noun</i><br><ol><li>speech impairment due to severe sickness</li></ol>
kami|kamí	<i>pron</i><br><ol><li>we (exclusive of the person spoken to)</li></ol>
kamidbid	<i>noun</i><br><ol><li>(formal, literary) acquaintance</li></ol>
kamkam	<i>verb</i><br><ol><li>to grab with the hand</li></ol>
kamlo|kamlô	<i>verb</i><br><ol><li>(angry register) to grasp; to hold</li></ol>
kamo|kamó	<i>pron</i><br><ol><li>(inclusive, in the plural) you</li></ol>
kamog|kamóg	<i>noun</i><br><ol><li>claw; tendon</li></ol>
kamot|kamót	<i>noun</i><br><ol><li>(anatomy) hand</li></ol>
kamote	<i>noun</i><br><ol><li>sweet potato (Ipomoea batatas)</li><li>the tuber of this plant</li></ol><br><i>adj</i><br><ol><li>stupid</li></ol>
kamoteng kahoy	<i>noun</i><br><ol><li>cassava, Manihot esculenta</li></ol>
kamoton	<i>verb</i><br><ol><li>to use one's hands</li><li>to handle</li></ol>
kampana|kampanà	<i>noun</i><br><ol><li>bell</li></ol>
kamugtakan	<i>noun</i><br><ol><li>condition</li><li>sense; value</li></ol>
kamulmog	<i>noun</i><br><ol><li>(anatomy, angry register) hand</li></ol>
kamunduan|kumundùan	<i>noun</i><br><ol><li>loneliness</li><li>depression</li><li>melancholy</li><li>desolation</li></ol>
kamuotan|kamùtan|kamuótan|kamutan	<i>noun</i><br><ol><li>(formal) love; affection; endearment</li></ol>
kamuyahan	<i>noun</i><br><ol><li>(Partido, Tabaco–Legazpi–Sorsogon) desire; wish; want; liking; fondness</li><li>(Partido, Tabaco–Legazpi–Sorsogon) preference</li></ol>
kan|kang	<i>prep</i><br><ol><li>of—objective marker for nouns or phrases other than personal names.</li></ol>
kanatad	<i>prep</i><br><ol><li>(formal) beside (a person, object or a location)</li></ol><br><i>noun</i><br><ol><li>(formal) neighbor</li></ol>
kandado	<i>noun</i><br><ol><li>lock; padlock</li></ol>
kanding|kandíng	<i>noun</i><br><ol><li>goat</li></ol>
kangaranan|kangaranán	<i>noun</i><br><ol><li>full name</li></ol>
kangudhan|kangudhán	<i>noun</i><br><ol><li>lastborn</li></ol>
kaninan|kanìnan	<i>noun</i><br><ol><li>impairment, handicap, disadvantage, in particular physical or mental disadvantages of people</li></ol>
kanipisan	<i>noun</i><br><ol><li>thinness</li></ol>
kanluran	<i>noun</i><br><ol><li>west; the direction of sunset</li></ol>
kanoos	<i>noun</i><br><ol><li>squid</li></ol>
kanos|kanós	<i>noun</i><br><ol><li>ugliness</li></ol>
kanta|kantâ|kantá	<i>noun</i><br><ol><li>a song</li></ol>
kantahon|kantaon|kantahón|kantàon	<i>verb</i><br><ol><li>to sing</li></ol>
kantsaw|kantsáw	<i>noun</i><br><ol><li>heckle; jeer</li></ol>
kantsawan	<i>verb</i><br><ol><li>to heckler; to jeer</li></ol>
kanugon	<i>noun</i><br><ol><li>waste; shame</li></ol>
kaon|káon	<i>verb</i><br><ol><li>(Tabaco–Legazpi–Sorsogon) to eat; to dine</li><li>(Tabaco–Legazpi–Sorsogon) to feed or give (someone or something) food to eat</li><li>(Tabaco–Legazpi–Sorsogon) to eat tape (of a cassette player, etc.)</li></ol>
kaonan	<i>noun</i><br><ol><li>(Tabaco–Legazpi–Sorsogon) dining room; eating place</li></ol>
kaonon|kaunón|kaunon|kaónon|kaonón|kaúnon	<i>noun</i><br><ol><li>(Tabaco–Legazpi–Sorsogon) food</li></ol><br><i>verb</i><br><ol><li>(Tabaco–Legazpi–Sorsogon) to eat</li></ol>
kapadabaan|kapadabáan	<i>noun</i><br><ol><li>(Tabaco–Legazpi–Sorsogon) love; affection; endearment</li></ol>
kapadangatan|kapadangátan	<i>noun</i><br><ol><li>(Naga) love; affection; endearment</li></ol>
kapag-araki	<i>noun</i><br><ol><li>generation</li></ol>
kapahaan	<i>noun</i><br><ol><li>thirstiness</li></ol>
kapandok	<i>noun</i><br><ol><li>(Partido, Tabaco–Legazpi–Sorsogon) lookalike</li></ol>
kapasilan	<i>noun</i><br><ol><li>(Tabaco–Legazpi–Sorsogon) easiness; simpleness; effortlessness</li></ol>
kapasluan	<i>noun</i><br><ol><li>gluttony, voracity</li></ol>
kapatagan	<i>noun</i><br><ol><li>prairie; range; steppe</li></ol>
kapay|kapáy	<i>adj</i><br><ol><li>crazy; insane</li></ol>
kapay-kapay|kapáy-kapáy	<i>adj</i><br><ol><li>crazy; insane</li></ol>
kape	<i>noun</i><br><ol><li>coffee</li></ol>
kapiday	<i>noun</i><br><ol><li>Synonym of piday.</li></ol>
kapilya	<i>noun</i><br><ol><li>chapel</li></ol>
kapinunan|kapinònan|kapinonan|kapinùnan	<i>noun</i><br><ol><li>commencement, beginning, initiation</li></ol>
kapirotan	<i>noun</i><br><ol><li>(Partido, Tabaco–Legazpi–Sorsogon) drowsiness; sleepiness</li></ol>
kapobrehan	<i>noun</i><br><ol><li>poverty</li></ol>
kapon|kapón	<i>adj</i><br><ol><li>castrated; sterilized</li></ol>
kapot|kapót	<i>verb</i><br><ol><li>to hold, grasp, clasp</li></ol>
kapotan|kaputan|kapótan|kapútan|kapután|kapotán	<i>noun</i><br><ol><li>handle</li></ol><br><i>verb</i><br><ol><li>to hold (in the hand)</li></ol>
kapunawan	<i>noun</i><br><ol><li>(Tabaco–Legazpi–Sorsogon) hunger; famine</li></ol>
kapung-awan	<i>noun</i><br><ol><li>(Partido, Sorsogon) loneliness, depression, melancholy, desolation</li></ol>
kapungawan|kapùngawan	<i>noun</i><br><ol><li>loneliness, depression, melancholy, desolation</li></ol>
kapuruan|kapurùan	<i>noun</i><br><ol><li>archipelago</li></ol>
karabasa	<i>noun</i><br><ol><li>pumpkin</li></ol>
karabaw|karbaw	<i>noun</i><br><ol><li>(Daet, Partido, Tabaco–Legazpi–Sorsogon) carabao; water buffalo</li></ol>
karagapan	<i>noun</i><br><ol><li>recklessness; rashness; audacity</li><li>negligence</li></ol>
karangahan	<i>noun</i><br><ol><li>comfort</li><li>endearment</li></ol>
kararoman|kararuman	<i>noun</i><br><ol><li>depth; abyss</li></ol>
karaw|saraw|karáw|saráw	<i>noun</i><br><ol><li>(Naga) misbehavior; mischief; act of playing with things forbidden</li><li>(Tabaco–Legazpi–Sorsogon) joke</li><li>(by extension) ridicule, scorn, scoff, mockery</li><li>curse</li></ol>
karawan|karawán	<i>verb</i><br><ol><li>(Tabaco–Legazpi–Sorsogon) to (tell a) joke</li><li>(by extension) to ridicule; to scorn</li><li>to put, cast a curse on</li></ol>
karaykay	<i>noun</i><br><ol><li>(anatomy) back of the hand</li></ol>
karibay	<i>noun</i><br><ol><li>substitute; something in return, to exchange</li><li>replacement; replacee</li></ol>
karibongan	<i>noun</i><br><ol><li>confusion; perplexity; intricacy</li><li>dizziness; giddiness; light-headedness</li><li>(informal) insanity</li></ol>
karigos	<i>noun</i><br><ol><li>to bathe</li></ol>
karikasan	<i>noun</i><br><ol><li>(Naga) speed; velocity</li></ol>
karingisan	<i>noun</i><br><ol><li>violence; cruelty</li></ol>
karne	<i>noun</i><br><ol><li>meat</li></ol>
karneng urig	<i>noun</i><br><ol><li>pork</li></ol>
karpet	<i>noun</i><br><ol><li>carpet</li></ol>
karpintero	<i>noun</i><br><ol><li>carpenter</li></ol>
karsel	<i>noun</i><br><ol><li>prison</li><li>incarceration</li></ol>
kasag|kaság	<i>noun</i><br><ol><li>crab (saltwater)</li></ol>
kasakitan|kasakítan	<i>noun</i><br><ol><li>(Naga) difficulty; hardship; complexity</li></ol>
kasal|kasál	<i>adj</i><br><ol><li>married; wed</li></ol><br><i>noun</i><br><ol><li>a marriage</li><li>a wedding</li></ol><br><i>verb</i><br><ol><li>to marry; to get married</li><li>to marry off</li><li>to take as one's spouse; to take a spouse</li></ol>
kasal ka na	<i>phrase</i><br><ol><li>are you married?</li></ol>
kasal na ako	<i>phrase</i><br><ol><li>I'm married</li></ol>
kasalida	<i>noun</i><br><ol><li>replacement</li></ol>
kasanggayahan	<i>noun</i><br><ol><li>prosperity</li></ol>
kasangli|kasanglî	<i>noun</i><br><ol><li>(Naga) replacement</li></ol>
kasawaan	<i>noun</i><br><ol><li>boredom; feeling of being fed up, sick and tired</li></ol>
kasawodan	<i>noun</i><br><ol><li>(Tabaco–Legazpi–Sorsogon) pronunciation; enunciation; articulation</li></ol>
kasayaw	<i>noun</i><br><ol><li>(formal, Daet, Partido, Sorsogon) a dance partner</li></ol>
kasayodan	<i>noun</i><br><ol><li>(Naga) pronunciation; enunciation; articulation</li></ol>
kaserola	<i>noun</i><br><ol><li>casserole</li></ol>
kasikmolan	<i>noun</i><br><ol><li>disgust</li></ol>
kasili	<i>noun</i><br><ol><li>eel</li></ol>
kasilyas	<i>noun</i><br><ol><li>toilet bowl</li></ol>
kasilyasan	<i>noun</i><br><ol><li>toilet</li></ol>
kasit|kasíto|kasito|kasít	<i>noun</i><br><ol><li>(Naga) semen; sperm</li></ol>
kasitas	<i>noun</i><br><ol><li>the ringworm bush (Senna alata)</li></ol>
kaskas|kaskás	<i>adj</i><br><ol><li>(Tabaco–Legazpi–Sorsogon) fast; quick</li></ol>
kaskasan	<i>verb</i><br><ol><li>(Tabaco–Legazpi–Sorsogon) to rush someone; to hurry up on someone</li></ol>
kaskason|kaskáson	<i>adj</i><br><ol><li>(Tabaco–Legazpi–Sorsogon) intensified form of kaskas</li></ol><br><i>verb</i><br><ol><li>(Tabaco–Legazpi–Sorsogon) to speed up; to make something fast</li></ol>
kasmag	<i>noun</i><br><ol><li>(vulgar, angry register) cat</li></ol>
kastigo	<i>noun</i><br><ol><li>punishment</li></ol>
kastigohon	<i>verb</i><br><ol><li>to punish</li></ol>
kasu-udma	<i>adv</i><br><ol><li>yesterday</li></ol>
kasuarin	<i>pron</i><br><ol><li>(interrogative) when; used when the expected answer has already happened.</li></ol>
kasubag-o	<i>adv</i><br><ol><li>(Partido) recently</li></ol>
kasubago|kasubâgo	<i>adv</i><br><ol><li>recently</li></ol>
kasubanggi|kasubanggí	<i>adv</i><br><ol><li>last night</li></ol>
kasulo|kasulô	<i>noun</i><br><ol><li>fire, conflagration</li></ol>
kasulya	<i>noun</i><br><ol><li>(Christianity) chasuble</li></ol>
kasunuan	<i>noun</i><br><ol><li>(Naga) liking; fondness</li><li>(Naga) preference</li></ol>
kasurog	<i>noun</i><br><ol><li>ally, anything associated with another as a helper</li></ol>
kasuyaan	<i>noun</i><br><ol><li>annoyance; irritation; irksomeness</li><li>boredom; feeling of being fed up, sick and tired</li><li>disgust (for food)</li></ol>
katabang	<i>noun</i><br><ol><li>servant; maid</li></ol>
kataga	<i>noun</i><br><ol><li>word</li></ol>
kataid|katáid	<i>prep</i><br><ol><li>(Naga) beside (a person, object or a location)</li></ol><br><i>noun</i><br><ol><li>(Naga) neighbor</li></ol>
katalingkasan	<i>noun</i><br><ol><li>(formal) freedom; liberty</li><li>(formal) independence</li></ol>
katam|katám	<i>noun</i><br><ol><li>plane (tool)</li></ol>
kataning	<i>prep</i><br><ol><li>(Partido, Tabaco–Legazpi–Sorsogon) beside (a person, object or a location)</li></ol><br><i>noun</i><br><ol><li>(Partido, Tabaco–Legazpi–Sorsogon) neighbor</li></ol>
kataraid	<i>noun</i><br><ol><li>(Naga) vicinity; neighborhood</li></ol>
kataraning	<i>noun</i><br><ol><li>(Partido, Tabaco–Legazpi–Sorsogon) vicinity; neighborhood</li></ol>
katedral|katedrál	<i>noun</i><br><ol><li>cathedral</li></ol>
katibaadan	<i>noun</i><br><ol><li>adversity; misfortune</li></ol>
katol	<i>noun</i><br><ol><li>mosquito coil</li></ol>
katotohanan	<i>noun</i><br><ol><li>Synonym of katotoohan.</li></ol>
katotoohan	<i>noun</i><br><ol><li>truth; fact</li></ol>
katoy|katóy	<i>noun</i><br><ol><li>(anatomy) liver</li></ol>
katrato	<i>noun</i><br><ol><li>dealmaker</li><li>(Sorsogon) lover</li></ol>
katratohan|katratuhan	<i>verb</i><br><ol><li>(Sorsogon) to court</li></ol>
katre	<i>noun</i><br><ol><li>bed; cot</li></ol>
katukduan|katukdùan	<i>noun</i><br><ol><li>(Naga) teaching; coaching; training</li></ol>
katungkaan	<i>noun</i><br><ol><li>(Naga) drowsiness; sleepiness</li></ol>
katuninongan	<i>noun</i><br><ol><li>quietness; tranquility</li><li>composure</li><li>peace</li></ol>
katuod	<i>noun</i><br><ol><li>(formal) acquaintance; friend</li></ol>
katuruan|katurùan	<i>noun</i><br><ol><li>(Tabaco–Legazpi–Sorsogon) teaching; coaching; training</li></ol>
kaugmahan	<i>noun</i><br><ol><li>happiness; gladness; joy; glee</li></ol>
kaulay	<i>noun</i><br><ol><li>(Naga) The person whom the speaker is talking to.</li></ol>
kaumahan	<i>noun</i><br><ol><li>(formal) farmland; paddy</li></ol>
kaumoyan|kaumuyan	<i>noun</i><br><ol><li>boredom; feeling of being fed up, sick and tired</li></ol>
kauragan	<i>noun</i><br><ol><li>achievement, vanity</li><li>lustiness; horniness</li></ol>
kausap	<i>noun</i><br><ol><li>(Daet) The person whom the speaker is talking to.</li></ol>
kausip	<i>noun</i><br><ol><li>(formal, literary, rare) The person whom the speaker is talking to.</li></ol>
kauyaman	<i>noun</i><br><ol><li>annoyance</li></ol>
kauyitan	<i>noun</i><br><ol><li>(Partido) anger; wrath; rage</li></ol>
kawali|kawalì	<i>noun</i><br><ol><li>frying pan</li></ol>
kawang|kawáng	<i>adj</i><br><ol><li>half-full; half-empty</li></ol>
kawasa	<i>conj</i><br><ol><li>because</li></ol>
kawat	<i>noun</i><br><ol><li>a play; a game</li></ol>
kawatan|kawatán	<i>noun</i><br><ol><li>a toy</li><li>playground; playing ground or field</li></ol><br><i>verb</i><br><ol><li>to play</li></ol>
kawayan	<i>noun</i><br><ol><li>bamboo</li></ol>
kawit	<i>noun</i><br><ol><li>hook</li></ol>
kawsa	<i>noun</i><br><ol><li>cause</li></ol>
kay	<i>prep</i><br><ol><li>(Daet, Tabaco–Legazpi–Sorsogon) Used to mark oblique cases of personal nouns</li></ol>
kay isay|kayisay|kaysay	<i>pron</i><br><ol><li>(Daet, Tabaco–Legazpi–Sorsogon, interrogative, possessive) whose</li></ol>
kay sa|kaysa	<i>conj</i><br><ol><li>(Daet, Tabaco–Legazpi–Sorsogon) than</li></ol>
kay siisay	<i>pron</i><br><ol><li>(literary, formal, interrogative, possessive) whose</li></ol>
kayab|kayáb	<i>noun</i><br><ol><li>hand fan</li></ol>
kaymito	<i>noun</i><br><ol><li>the star apple (Chrysophyllum cainito)</li></ol>
kayo|kayô|káyo	<i>noun</i><br><ol><li>(botany) silk-cotton tree</li><li>(Tabaco–Legazpi–Sorsogon, vulgar) coitus; sexual intercourse</li></ol>
kayod	<i>noun</i><br><ol><li>hard work</li></ol>
kayuon|kayùon	<i>verb</i><br><ol><li>(Tabaco–Legazpi–Sorsogon, vulgar) to fuck; to have sex</li></ol>
kengke	<i>noun</i><br><ol><li>kerosene lamp</li></ol>
ki	<i>prep</i><br><ol><li>(formal, Naga) Used to mark oblique cases of personal nouns</li><li>(Tabaco–Legazpi–Sorsogon) of (expressing possession)</li></ol>
ki isay|kiisay|kisay	<i>pron</i><br><ol><li>(Naga, interrogative, possessive) whose</li></ol>
ki sa|kisa	<i>conj</i><br><ol><li>(Naga) than</li></ol>
ki siisay	<i>pron</i><br><ol><li>(literary, formal, interrogative, possessive) whose</li></ol>
kibot-kibot|kibót-kibót	<i>noun</i><br><ol><li>wiggle; slither</li></ol>
kigkig	<i>adj</i><br><ol><li>(Tabaco–Legazpi–Sorsogon) surprised, startled</li></ol>
kilag	<i>adj</i><br><ol><li>(Naga) surprised, startled</li></ol>
kilas|kilás	<i>adj</i><br><ol><li>cross-eyed; having cross-eye</li></ol>
kilikili|kili-kili	<i>noun</i><br><ol><li>(anatomy) armpit</li></ol>
kiling	<i>noun</i><br><ol><li>head tilt</li><li>glance</li></ol>
kilitis|kilitís	<i>noun</i><br><ol><li>spiny amaranth (Amaranthus spinosus)</li></ol>
kimot-kimot|kimutkimot	<i>noun</i><br><ol><li>mumble</li></ol>
kinaban|kinàban	<i>noun</i><br><ol><li>world</li></ol>
kinabuhay	<i>noun</i><br><ol><li>(anatomy, euphemistic) reproductive organs (male or female)</li></ol>
kinagan	<i>noun</i><br><ol><li>container</li></ol>
kino|kinô	<i>noun</i><br><ol><li>mouse; rat</li></ol>
kintsay	<i>noun</i><br><ol><li>Chinese celery</li></ol>
kinunot	<i>noun</i><br><ol><li>(cooking) dish consisting of shark meat with coconut milk, and Moringa leaves boiled with a small amount of water</li></ol>
kirad	<i>adj</i><br><ol><li>bloated; swollen (for the stomach)</li></ol>
kiray	<i>noun</i><br><ol><li>(anatomy) eyebrow</li></ol>
kiri|kirí|kíri	<i>noun</i><br><ol><li>(medicine) A sore which forms on the upper lip beneath the nose.</li></ol><br><i>verb</i><br><ol><li>To shake one's head (to express disapproval or denial).</li></ol>
kisame	<i>noun</i><br><ol><li>ceiling; attic</li></ol>
kiskis	<i>noun</i><br><ol><li>fish scales</li></ol>
kita	<i>pron</i><br><ol><li>we (inclusive of the person spoken to)</li></ol>
kitik	<i>noun</i><br><ol><li>tickle</li></ol>
kitkilat|kikilat|kikilát	<i>noun</i><br><ol><li>lightning</li></ol>
kito|kitô	<i>noun</i><br><ol><li>(Naga, vulgar) coitus; sexual intercourse</li></ol>
kituon|kitùon	<i>verb</i><br><ol><li>(Naga, vulgar) to fuck; to have sex</li></ol>
klerigo|klérigó	<i>noun</i><br><ol><li>cleric; clergyman</li></ol>
kliyente	<i>noun</i><br><ol><li>client</li><li>customer</li></ol>
ko	<i>pron</i><br><ol><li>by me</li><li>of me</li><li>me</li><li>(Sinjai) you, your, yours (casual)</li></ol>
kolehiyo	<i>noun</i><br><ol><li>college</li></ol>
kombida|kumbida	<i>verb</i><br><ol><li>to invite</li></ol>
komentariyo|komentaryo	<i>noun</i><br><ol><li>commentary</li><li>(uncommon) comment</li></ol>
komento	<i>noun</i><br><ol><li>comment</li></ol>
kompanyero	<i>noun</i><br><ol><li>companion</li></ol>
komportable	<i>adj</i><br><ol><li>comfortable</li></ol>
kondisyon|kondision	<i>noun</i><br><ol><li>condition</li></ol>
koneho|koneyo|kuneho|kuneyo	<i>noun</i><br><ol><li>rabbit; hare</li></ol>
kono	<i>noun</i><br><ol><li>(geometry) cone</li></ol>
konsumidor|konsumidór|konsumidores|konsumidóres	<i>noun</i><br><ol><li>a consumer</li></ol>
kontento	<i>verb</i><br><ol><li>to content; to be contented</li></ol><br><i>adj</i><br><ol><li>contented; satisfied; gratified</li></ol>
kontrata	<i>noun</i><br><ol><li>contract</li><li>agreement</li><li>deal</li></ol>
kopa	<i>noun</i><br><ol><li>wine glass; winecup</li><li>ice cream cone</li></ol>
kopya|kopyâ	<i>noun</i><br><ol><li>a copy; a duplicate</li><li>(Naga) hat</li></ol>
kopyahon	<i>verb</i><br><ol><li>to copy; to duplicate</li></ol>
koreyo	<i>noun</i><br><ol><li>mail</li></ol>
kornertin|kornetín	<i>noun</i><br><ol><li>cornet; trumpet</li></ol>
korporal	<i>noun</i><br><ol><li>(military) corporal</li></ol>
korte	<i>noun</i><br><ol><li>shape</li><li>(law) court</li></ol>
kosinero|kosinera	<i>noun</i><br><ol><li>a cook, a chef</li></ol>
kotse	<i>noun</i><br><ol><li>car</li></ol>
kriminal	<i>noun</i><br><ol><li>a criminal</li></ol>
krus	<i>noun</i><br><ol><li>a cross; a crucifix</li></ol>
kua|kùa	<i>verb</i><br><ol><li>to get; to take; to seize; to acquire; to obtain</li><li>to hire; to employ</li><li>to major (in a course)</li><li>to extract; to derived from</li><li>to find; to discovery</li><li>(by extension) to grab</li></ol>
kuba|kubà	<i>noun</i><br><ol><li>hunchback</li></ol><br><i>adj</i><br><ol><li>hunchbacked</li></ol>
