'-d-š	<i>root</i><br><ol><li>Related to newness.</li></ol>
ḫalāqum|𒄿𒄩𒀠𒇷𒆪|𒋫𒄩𒀠𒇷𒅅|𒄿𒄩𒀠𒇷𒅅|𒉌𒄴𒋫𒇷𒅅|𒋫𒄴𒋫𒀠𒆠|aḫalliq|𒄴𒇷𒅅|iḫtaliq|𒇻𒄴𒇷𒅅|𒄩𒇷𒆪𒌝|liḫliqā|𒄴𒇷𒆪|ḫilqī|𒄭𒅋𒆠|taḫalliqī|taḫliqā|𒀀𒄩𒀠𒇷𒅅|niḫalliq|niḫliq|𒄴𒋫𒀠𒆪|ḫalqum|𒄭𒇷𒅅|𒇷𒄴𒇷𒅅|iḫalliqū|𒀀𒄴𒇷𒅅|iḫliq|iḫtalqū|taḫalliqā|ḫiliq|𒉌𒄴𒇷𒅅|iḫalliqā|ḫāliqum|𒋫𒄩𒀠𒇷𒂵|𒋫𒄴𒇷𒅅|i niḫliq|ḫaliqtum|aḫtaliq|𒄴𒋫𒇷𒅅|taḫtalqā|ḫalqātum|taḫalliq|niḫtaliq|ḫilqā|taḫtaliq|𒇷𒄴𒇷𒂵|ḫalqūtum|liḫliq|𒄿𒄩𒀠𒇷𒂵|𒉌𒄩𒀠𒇷𒅅|𒄴𒇷𒂵|luḫliq|𒋫𒄩𒀠𒇷𒆠|𒄴𒋫𒀠𒂵|𒋫𒄴𒋫𒇷𒅅|𒄭𒅋𒂵|aḫliq|𒄩𒀠𒆪𒌝|taḫliq|𒋫𒄴𒇷𒆠|𒋫𒄴𒋫𒀠𒂵|iḫliqū|iḫliqā|iḫalliq|taḫliqī|taḫtalqī|𒋫𒄴𒇷𒂵|𒇷𒄴𒇷𒆪|𒄩𒆷𒆪𒌝|𒀀𒄴𒋫𒇷𒅅|iḫtalqā|𒄿𒉌𒄴𒇷𒅅|liḫliqū	<i>verb</i><br><ol><li>to disappear, vanquish, go missing, get lost, perish</li><li>to flee, escape</li></ol>
ḫamuštum|ḫamšātum	<i>noun</i><br><ol><li>one fifth</li><li>week ("one fifth of the month", a period of about 5 days)</li></ol>
ḫamšat|free form ḫamšum|free form ḫamištum|ḫamiš	<i>num</i><br><ol><li>five, 5</li></ol>
ḫamṭu	<i>adj</i><br><ol><li>(Middle Babylonian, Neo-Babylonian) quick, swift, sudden</li><li>(Standard Babylonian, grammar) ḫamṭu ("quick (pronunciation)", used in the description of Sumerian verbs to refer to the perfective form)</li></ol>
ḫarrānum|ḫarrānātum	<i>noun</i><br><ol><li>road, way, path</li><li>(astronomy) path (of heavenly bodies)</li><li>(Old Assyrian, Obab) journey-money</li><li>(Neo-Babylonian) trading capital</li><li>business venture</li><li>military expedition/campaign</li><li>caravan</li><li>(mathematics) times</li></ol>
ḫassū	<i>noun</i><br><ol><li>lettuce</li></ol>
ḫaṣṣinnum|𒍏𒄩𒍣𒅔|ḫaṣṣinnū|ḫaṣṣin	<i>noun</i><br><ol><li>axe, hoe, digging tool</li></ol>
ḫikuptaḫ	<i>name</i><br><ol><li>Memphis, Egypt</li></ol>
ḫurāṣum	<i>noun</i><br><ol><li>gold</li></ol>
ḫurḫudum|ur'udum	<i>noun</i><br><ol><li>trachea, larynx, throat, windpipe</li><li>(astronomy) pathway</li></ol>
ḫīṭum|ḫīṭū|ḫīti|ḫīt	<i>noun</i><br><ol><li>error, fault, lack, defect</li><li>damage, harm</li><li>crime, offence, sin, penalty</li><li>negligence</li></ol>
ṣ-ḫ-r	<i>root</i><br><ol><li>Related to smallness and youngness.</li></ol>
ṣabātum|𒄑𒁀𒌅|𒄑𒁀𒀜|iṣbat|niṣabbat|𒋫𒊍𒍝𒀊𒋾|taṣbatī|𒋫𒊍𒁀𒋫|𒍝𒁀𒌈|𒀀𒊍𒁀𒀜|𒋫𒊍𒍝𒁀𒀜|taṣṣabtī|iṣṣabtū|liṣbatā|𒋫𒍝𒀊𒁀𒋾|luṣbat|iṣabbatā|aṣṣabat|taṣabbatī|ṣābitum|𒄑𒍝𒁀𒀜|i niṣbat|𒄿𒍝𒀊𒁀𒌅|𒄿𒍝𒀊𒁀𒀜|𒉌𒄑𒍝𒁀𒀜|taṣbat|iṣṣabtā|𒋫𒍝𒀊𒁀𒋫|taṣṣabat|𒄑𒁀𒋫|𒋫𒍝𒀊𒁀𒀜|iṣabbat|iṣbatū|𒄿𒉌𒄑𒁀𒀜|aṣabbat|𒋫𒊍𒍝𒀊𒋫|𒉌𒄑𒁀𒀜|taṣbatā|ṣabtā|𒍝𒀊𒋾|niṣbat|𒇷𒄑𒁀𒀜|𒋫𒊍𒁀𒋾|aṣbat|taṣabbat|iṣabbatū|𒇷𒄑𒁀𒋫|𒇷𒄑𒁀𒌅|𒍝𒀊𒋫|𒄑𒍝𒀊𒋫|iṣbatā|𒇻𒊻𒁀𒀜|taṣabbatā|taṣṣabtā|𒄑𒍝𒀊𒌅|𒍝𒁉𒌈|ṣabtum|𒉌𒍝𒀊𒁀𒀜|𒍝𒁀𒀜|𒍝𒀊𒌈|ṣabtī|𒄿𒍝𒀊𒁀𒋫|iṣṣabat|𒀀𒊍𒍝𒁀𒀜|ṣabat|liṣbatū|niṣṣabat|𒀀𒍝𒀊𒁀𒀜|𒋫𒊍𒁀𒀜|liṣbat	<i>verb</i><br><ol><li>to seize, take hold of, arrest, capture</li></ol>
ṣalmum|ṣalimtum|ṣalittum|ṣalmātum|ṣalmūtum	<i>adj</i><br><ol><li>black, dark</li><li>black haired (person)</li></ol>
ṣalālum|𒍝𒀠𒈝|taṣṣalal|iṣtalal|𒀀𒍝𒀠𒆷𒀠|aṣṣalal|𒄿𒍝𒀠𒆷𒀠|𒄑𒍝𒆷𒀠|𒄿𒉌𒄑𒆷𒀠|ṣallā|𒄿𒍝𒀠𒆷𒇻|iṣlal|iṣṣallā|liṣlalā|iṣṣallū|iṣṣalal|taṣṣallī|ṣallī|𒄑𒍝𒀠𒇻|𒋫𒊍𒆷𒀠|iṣlalū|𒇷𒄑𒆷𒇻|𒄑𒆷𒆷|niṣallal|𒄿𒍝𒀠𒆷𒆷|liṣlalū|𒍝𒆷𒈝|𒋫𒊍𒆷𒇷|iṣallalū|aṣlal|ṣallum|aṣallal|𒋫𒍝𒀠𒆷𒀠|ṣilal|𒄑𒆷𒀠|taṣlalī|liṣlal|taṣallalā|𒉌𒄑𒆷𒀠|𒋫𒍝𒀠𒆷𒆷|𒋫𒊍𒍝𒀠𒇷|𒀀𒊍𒆷𒀠|𒍝𒀠𒇷|taṣallalī|taṣlalā|niṣṣalal|𒇷𒄑𒆷𒀠|𒇻𒊻𒆷𒀠|ṣālilum|𒋫𒊍𒆷𒆷|𒉌𒍝𒀠𒆷𒀠|i niṣlal|𒄑𒆷𒇻|ṣalal|iṣallal|niṣlal|𒄑𒍝𒀠𒆷|taṣallal|𒀀𒊍𒍝𒆷𒀠|𒍝𒆷𒀠|𒍝𒀠𒆷|taṣlal|𒉌𒄑𒍝𒆷𒀠|𒋫𒍝𒀠𒆷𒇷|𒋫𒊍𒍝𒆷𒀠|𒇷𒄑𒆷𒆷|𒍝𒇷𒈝|𒋫𒊍𒍝𒀠𒆷|iṣallalā|iṣlalā|luṣlal|taṣṣallā	<i>verb</i><br><ol><li>to lie down, sleep, be at rest, be still, be peaceful, lie still</li><li>(transferred sense) to lie with (sexually)</li></ol>
ṣerretum|ṣerretān|𒍢𒅕𒊑𒀉|ṣerrētim|𒍢𒅕𒊑𒌈|ṣerretam|𒍢𒅕𒊑𒋾𒅔|ṣerretim|ṣerret|𒍢𒅕𒊑𒋫𒀭|𒍢𒅕𒊑𒁴|ṣerretīn|ṣerrētum|𒍢𒅕𒊑𒌓	<i>noun</i><br><ol><li>concubine, subsidiary wife</li><li>rival</li></ol>
ṣeḫrum|ṣeḫrūtum|ṣeḫertum|ṣeḫrū|ṣeḫer|ṣeḫrētum	<i>adj</i><br><ol><li>small, little</li><li>young, little</li><li>minor, underage</li><li>(of siblings) younger (brother/sister)</li><li>(of kings) the Second</li><li>(of scribes, merchants, etc.) junior</li></ol><br><i>noun</i><br><ol><li>child</li><li>servant</li></ol>
ṣeḫērum	<i>verb</i><br><ol><li>(size or quantity) to be small, little, few</li><li>(age) to be young, little</li><li>(law) to be underage, a minor</li></ol><br><i>noun</i><br><ol><li>childhood</li></ol>
ṣillum	<i>noun</i><br><ol><li>shadow, shade, shaded place</li><li>protection, canopy (on a boat), awning, covering</li></ol>
ṣiāḫu	<i>verb</i><br><ol><li>Non-mimated form of ṣiāẖum</li></ol>
ṣiāḫum|iṣīaḫ|iṣīḫ|ṣīḫ|iṣtīḫ	<i>verb</i><br><ol><li>to laugh, smile</li><li>to be alluring, to act coquettishly</li></ol>
ṣuprum|ṣupur|ṣuprātum	<i>noun</i><br><ol><li>(finger or toe) nail</li><li>nail impression (on a clay tablet, as signature)</li><li>claw, hoof</li><li>clove (of saffron)</li></ol>
ṣurrum|El-Amarna|Assyrian|Nuzi	<i>noun</i><br><ol><li>flint, obsidian</li><li>flint blade</li></ol>
ṣuḫārtum|𒍮𒄩𒅈𒋾𒅔|ṣuḫārti|ṣuḫārta|𒍮𒄩𒊏𒁴|𒍮𒄩𒊏𒌈|ṣuḫārtān|𒍮𒄩𒅈𒌈|𒍮𒄩𒅈𒌓|𒍮𒄩𒅈𒁴|ṣuḫārātum|𒍮𒄩𒅈𒋾|ṣuḫārtam|ṣuḫārtim|𒍮𒄩𒅈𒋫𒀭|ṣuḫārātim|ṣuḫārtīn	<i>noun</i><br><ol><li>young woman, female child, adolescent</li><li>female servant</li></ol>
ṣuḫārum|ṣuḫārû	<i>noun</i><br><ol><li>boy, male child, adolescent</li><li>male servant</li></ol>
ṣābum|ṣābū|ṣābi|ṣāb	<i>noun</i><br><ol><li>worker, soldier</li><li>(collective) gang, army, troop, people, population</li></ol>
ṣēnum|ṣēnū	<i>noun</i><br><ol><li>sheep, flock (of sheep and goats)</li></ol>
ṭabtum|ṭabtān|𒁕𒀊𒌓|𒁕𒀊𒋫𒀭|𒁕𒀊𒁴|𒁕𒀊𒌈|ṭabtam|ṭabtim|ṭabta|ṭabtīn|ṭabātum|ṭabātim|𒁕𒀊𒋾𒅔|𒁕𒁀𒌈|𒁕𒁀𒀜|ṭabat|𒁕𒁀𒁴	<i>noun</i><br><ol><li>salt</li></ol>
ṭuppum|ṭuppa|ṭuppū|ṭuppi|ṭuppātum	<i>noun</i><br><ol><li>tablet, document, letter</li></ol>
ṭupšarrum|ṭupšarrū|ṭupšar	<i>noun</i><br><ol><li>scribe, tablet writer</li></ol>
ṭênum|iṭên|ṭe₄-nim|iṭṭēn|𒁲𒉏|ṭênim|ṭēn|iṭēn	
ṭābu	<i>verb</i><br><ol><li>Non-mimated form of ṭābum</li></ol>
ṭābum|ṭābātum|ṭābūtum|ṭābtum	<i>adj</i><br><ol><li>pleasant, pleasing</li><li>sweet</li><li>fine, good, of good quality</li></ol>
ṭīdu	<i>noun</i><br><ol><li>Non-mimated form of ṭīdum</li></ol>
ṭīdum	<i>noun</i><br><ol><li>mud, clay</li></ol>
𒀀𒇉𒌓𒄒𒉣	<i>name</i><br><ol><li>Euphrates</li></ol>
𒀭𒇸	<i>name</i><br><ol><li>demon, deity</li></ol>
𒀭𒉎𒂂𒄷|ANZU	<i>noun</i><br><ol><li>Sumerogram of Anzud</li></ol>
𒀸𒅗𒇻𒈾|ašqalūna	<i>name</i><br><ol><li>Ashkelon</li></ol>
𒂗𒈗𒋀|EN-LUGAL-URI₃|bêl-šarra-uṣṣur	<i>name</i><br><ol><li>Balthazar</li></ol>
𒄑𒂟|gišrinnu	<i>noun</i><br><ol><li>scales</li></ol>
𒄩𒍝𒆥𒀀𒌑|ḫa-za-qí-a-ú|Khazakiyow	<i>name</i><br><ol><li>Hezekiah</li></ol>
𒅀𒁀𒊓|ya-ba-sa	<i>name</i><br><ol><li>Jebus, the Caananite settlement of Jerusalem prior to its conquest by King David circa 1000 BC</li></ol>
𒅀𒁉𒊓|ya-bi-sa	<i>name</i><br><ol><li>Jebus, the Canaanite settlement of Jerusalem prior to its conquest by King David circa 1000 BC</li></ol>
𒅀𒁍𒋗|ya-bu-šu	<i>name</i><br><ol><li>Jebus, the Caananite settlement of Jerusalem prior to its conquest by King David circa 1000 BC</li></ol>
𒅀𒁍𒋢|ya-bu-su	<i>name</i><br><ol><li>Jebus, the Caananite settlement of Jerusalem prior to its conquest by King David circa 1000 BC</li></ol>
𒅀𒆪𒌋𒆠𒉡|Iakuukinu	<i>name</i><br><ol><li>Jehoiachin</li></ol>
𒅀𒌑𒁕𒀀𒀀|ia-u₂-da-a-a|Yaʾudayu	<i>name</i><br><ol><li>Judean, of Judah, an Iron Age Semitic kingdom</li></ol>
𒅀𒌑𒄩𒍣|ia-ú-ha-zi	<i>name</i><br><ol><li>Ahaz, the king of Judah</li></ol>
𒅀𒐀𒋢|Ia'asu	<i>name</i><br><ol><li>Jehoash</li></ol>
𒅇𒆪𒊒𒌝|ukurru	<i>noun</i><br><ol><li>kiln-fired brick</li><li>paving stone, tile, slab</li><li>an impost</li><li>a metal object</li></ol>
𒆳𒆠𒈾𒄴𒈾|ᵏᵘʳki-na-aḫ-na	<i>name</i><br><ol><li>Cuneiform form of Kinaḫnum</li></ol>
𒈦|MAŠ	<i>noun</i><br><ol><li>şibtu "interest on a loan"</li><li>bīru; urīşu "sacrificial animal for omens"</li><li>mişru "border, boundary"</li><li>māšu "twin"</li></ol>
𒈨𒈾𒋛𒄿|Menasi|me-na-si-i	<i>name</i><br><ol><li>Manasseh</li></ol>
𒈪𒄑𒊑𒄿|Miṣriʾi|mi-iṣ-ri-i	<i>name</i><br><ol><li>Egypt</li></ol>
𒈬𒊺𒊩𒌨𒌅	<i>noun</i><br><ol><li>wet nurse</li></ol>
𒉌𒅁𒄷𒊑𒊑𒅀|𒉌𒅁𒄷𒌨𒊑𒊑𒅀|Ni-ip-ḫu-ur-re-re-ya	<i>name</i><br><ol><li>Tutankhamon</li></ol>
𒉌𒅅𒆪𒌑|Nikuʾú	<i>name</i><br><ol><li>Necho I, a pharaoh of the 26th dynasty of Egypt.</li></ol>
𒉌𒌓𒍝𒆴𒀀|zaginduru	<i>noun</i><br><ol><li>lapis lazuli</li></ol>
𒊓𒈨𒊑𒈾|Samurina|sa-me-ri-na|𒊓𒈨𒊑𒄿𒈾𒀀𒀀|Sa-me-ri-i-na-a-a	<i>name</i><br><ol><li>Samaria</li></ol>
𒊭𒄠𒁀𒇷𒅋𒌈|šambaliltu|ša-am-ba-li-il-tum	<i>noun</i><br><ol><li>fenugreek</li></ol>
𒋤𒀭𒀀𒀀|Sirilaʾa	<i>name</i><br><ol><li>Israel</li></ol>
𒌋𒈫|šinšer	<i>num</i><br><ol><li>12</li></ol>
𒌚𒁈	<i>noun</i><br><ol><li>First month of the Babylonian Calendar</li></ol>
