cakā́ra	<i>romanization</i><br><ol><li>Romanization of चकार</li></ol>
क्षुभ्|क्षुब्भ्यः|क्षुब्भ्याम्|bh-stem|क्षुभे|क्षुभि|क्षुप्सु|क्षुभौ|kṣubh|क्षुभाम्|क्षुप्|क्षुब्भिः|क्षुभोः|क्षुभा|क्षुभम्|क्षुभः|kṣúbh	<i>root</i><br><ol><li>to shake, tremble, be agitated or disturbed, be unsteady, waver, stumble</li></ol><br><i>noun</i><br><ol><li>a shake, blow, tremble, push, agitation, excitement</li></ol>
क्षुर|क्षुराय|a-stem|क्षुरे|क्षुरैः|क्षुरौ|क्षुरासः1|क्षुरस्य|क्षुराणाम्|क्षुरम्|क्षुरेभ्यः|क्षुरः|क्षुरेण|क्षुरात्|क्षुरेभिः1|क्षुरान्|क्षुराः|kṣurá|क्षुराभ्याम्|क्षुरयोः|क्षुरेषु	<i>noun</i><br><ol><li>a razor</li><li>a razor-like barb or a sharp blade attached to an arrow</li></ol>
क्षुल्ल|क्षुल्लस्य|क्षुल्लायाः|क्षुल्लान्|क्षुल्ला|क्षुल्लया|क्षुल्लायै|a-stem|क्षुल्लौ|क्षुल्लेभिः1|क्षुल्लात्|क्षुल्लेषु|क्षुल्लाभिः|क्षुल्लेभ्यः|क्षुल्लेन|क्षुल्ले|क्षुल्लासः1|क्षुल्लैः|क्षुल्लम्|क्षुल्ला1|क्षुल्लाम्|kṣulla|क्षुल्लाभ्याम्|ā-stem|क्षुल्लासु|क्षुल्लानाम्|क्षुल्लयोः|क्षुल्लायाम्|क्षुल्लाभ्यः|क्षुल्लः|क्षुल्लानि|क्षुल्लाय|क्षुल्लाः	<i>adj</i><br><ol><li>small, little, minute</li><li>inferior</li></ol>
क्षुल्लक|kṣullaká|क्षुल्लकेभिः1|क्षुल्लिकाभ्यः|a-stem|क्षुल्लकैः|क्षुल्लका1|क्षुल्लकाभ्याम्|क्षुल्लिके|क्षुल्लकेषु|क्षुल्लके|क्षुल्लकाय|क्षुल्लकासः1|क्षुल्लिकाः|क्षुल्लिका|क्षुल्लकात्|क्षुल्लिकाम्|क्षुल्लिकाभ्याम्|क्षुल्लिकायै|क्षुल्लकेन|क्षुल्लकौ|क्षुल्लकयोः|क्षुल्लिकायाः|क्षुल्लिकयोः|ā-stem|क्षुल्लकः|क्षुल्लिकया|क्षुल्लिकासु|क्षुल्लकानाम्|क्षुल्लकस्य|क्षुल्लकेभ्यः|क्षुल्लिकाभिः|क्षुल्लिका1|क्षुल्लिकानाम्|क्षुल्लकानि|क्षुल्लिकायाम्|क्षुल्लकाः|क्षुल्लकान्|क्षुल्लकम्	<i>adj</i><br><ol><li>small, little</li></ol>
क्षेति|क्षि|kṣéti	<i>verb</i><br><ol><li>to abide, stay, dwell, reside (used especially of an undisturbed or secret residence)</li><li>to remain, be quiet</li><li>to inhabit</li><li>to go, move</li><li>(causative) to make a person live quietly</li></ol>
क्षेत्र|क्षेत्रस्य|क्षेत्रैः|क्षेत्राणि|क्षेत्रयोः|क्षेत्रेषु|क्षेत्रेण|a-stem|क्षेत्राभ्याम्|क्षेत्राय|क्षेत्रेभ्यः|क्षेत्रेभिः1|kṣétra|क्षेत्रात्|क्षेत्रा1|क्षेत्राणाम्|क्षेत्रे|क्षेत्रम्	<i>noun</i><br><ol><li>land, soil, ground</li><li>field, cultivated area</li><li>area, domain place, region, country</li></ol>
क्षेत्रनाम|क्षेत्रनामयोः|क्षेत्रनामेभिः1|क्षेत्रनामम्|क्षेत्रनामाय|क्षेत्रनामानाम्|kṣetranāma|क्षेत्रनामात्|क्षेत्रनामा1|क्षेत्रनामेषु|क्षेत्रनामानि|a-stem|क्षेत्रनामाभ्याम्|क्षेत्रनामैः|क्षेत्रनामस्य|क्षेत्रनामे|क्षेत्रनामेन|क्षेत्रनामेभ्यः	<i>noun</i><br><ol><li>(computing) field name</li></ol>
क्षेम|क्षेमा1|क्षेमासु|क्षेमाभिः|क्षेमाय|a-stem|क्षेमया|क्षेमाभ्यः|क्षेमाणि|क्षेमौ|क्षेमेषु|क्षेमान्|क्षेमाम्|क्षेमायाम्|क्षेमाः|क्षेमयोः|क्षेमा|क्षेमायै|क्षेमस्य|क्षेमेभिः1|ā-stem|क्षेमायाः|क्षेमात्|क्षेमाभ्याम्|क्षेमः|क्षेमेभ्यः|क्षेमाणाम्|क्षेमेण|क्षेमासः1|क्षेमैः|क्षेमम्|क्षेमे|kṣéma	<i>adj</i><br><ol><li>habitable</li><li>residing, abiding at ease</li></ol><br><i>noun</i><br><ol><li>safety, tranquillity, peace, rest</li><li>an easy or comfortable state, happiness, welfare, prosperity</li><li>basis, foundation</li></ol>
क्षेमिन्|क्षेमिणा1|क्षेमिणम्|क्षेमिणीषु|क्षेमिणोः|क्षेमिभिः|क्षेमिण्यै|क्षेमिण्याः|in-stem|kṣemin|क्षेमिणौ|क्षेमिणः|क्षेमिणीभिः|क्षेमिभ्यः|क्षेमिणी1|क्षेमिणीभ्याम्|क्षेमिणीः|क्षेमिण्या|क्षेमिणाम्|क्षेमिभ्याम्|क्षेमिण्यौ|क्षेमिण्योः|क्षेमिणीनाम्|क्षेमिण्यः|क्षेमिषु|ī-stem|क्षेमी|क्षेमिणीः1|क्षेमिणीम्|क्षेमि|क्षेमिणि|क्षेमिणीभ्यः|क्षेमीणि|क्षेमिणी|क्षेमिणे|क्षेमिणा|क्षेमिण्याम्	<i>adj</i><br><ol><li>safe, secure</li></ol>
क्षेषत्|क्षि|kṣéṣat|क्षेषत् Vedic kṣáiṣat	<i>verb</i><br><ol><li>(aorist) to dwell, stay, reside</li></ol>
क्षोदस्|क्षोदसे|क्षोदसाम्|क्षोदांसि|kṣódas|as-stem|क्षोदोभ्यः|क्षोदसोः|क्षोदसी|क्षोदोभ्याम्|क्षोदसा|क्षोदोभिः|क्षोदसः|क्षोदसि|क्षोदःसु|क्षोदः	<i>noun</i><br><ol><li>swell of the sea, water in agitation, rushing of water</li></ol>
क्षोभ|kṣobha	<i>noun</i><br><ol><li>shaking, agitation, disturbance, tossing, trembling, emotion</li><li>(drama) an emotion that is the cause of any harsh speeches or reproaches</li></ol>
क्षौर|क्षौराय|क्षौरस्य|क्षौराः|क्षौरौ|क्षौरम्|क्षौरैः|क्षौरयोः|a-stem|kṣaura|क्षौरानाम्|क्षौरे|क्षौरः|क्षौरेषु|क्षौरान्|क्षौराभ्याम्|क्षौरेन|क्षौरेभ्यः|क्षौरात्	<i>noun</i><br><ol><li>shaving</li><li>barbershop</li></ol>
