(h)eakkë	<i>adv</i><br><ol><li>suddenly</li></ol>
pealē|peal̯ijstē|pealēnē|peal̯ēptāk̯ëk|peal̯ij|peal̯ēm|peal̯ēsnē|peal̯ijnē|peal̯ijnë|peal̯ijtē|peal̯ēstē|peal̯ēn|pealās̯ën|pealētē|peal̯ēk	<i>noun</i><br><ol><li>side</li><li>half</li></ol>
peanëk|peanëk̯ëm|peanëk̯ëj|peanëk̯ëjstē|pean̯ëknē|peanëk̯ëptāk̯ëk|peanëk̯ësnē|peanëk̯ëk|pean̯ëk̯s̯ën|peanëk̯ëstē|peanëk̯ëjnë|peanëk̯ën|pean̯ëk|peanëk̯ëjnē|pean̯ëktē|peanëk̯ëjtē	<i>noun</i><br><ol><li>dog</li></ol>
peassē|peas̯s̯ēm|peas̯s̯ijstē|peas̯s̯ēn|peas̯s̯ēptāk̯ëk|peassās̯ën|peassētē|peassēnē|peas̯s̯ēsnē|peas̯s̯ijnē|peas̯s̯ijnë|peas̯s̯ēstē|peas̯s̯ēk|peas̯s̯ij|peas̯s̯ijtē	<i>noun</i><br><ol><li>birch bark</li></ol>
peastētēk	<i>verb</i><br><ol><li>to let go</li></ol>
peasëtēk	<i>verb</i><br><ol><li>to be let go, to be released</li></ol>
peasē|peas̯ijstē|peas̯ēptāk̯ëk|peasētē|peas̯ijtē|peas̯ēm|peas̯ēn|peas̯ij|peas̯ijnē|peas̯ēstē|peas̯ijnë|peasēnē|peas̯ēsnē|peasās̯ën|peas̯ēk	<i>noun</i><br><ol><li>nest</li></ol>
piejëtēk	<i>verb</i><br><ol><li>to put, to place</li></ol>
piekkënjë	<i>noun</i><br><ol><li>rough-legged buzzard, Buteo lagopus</li></ol>
piemmō|piem̯m̯ōjtē|piem̯m̯ōjnē|piem̯m̯ōptāk̯ëk|piem̯m̯ujnë|piemmōtē|piem̯m̯ōj|piem̯m̯ōm|piem̯m̯ōjstē|piem̯m̯ōn|piem̯m̯ōsnē|piemmōnē|piem̯m̯ōk|piemmus̯ën|piem̯m̯ōstē	<i>noun</i><br><ol><li>food, sustenance</li></ol>
pierkëjëtēk	
pierkō|pier̯k̯ōm|pier̯k̯ōptāk̯ëk|pier̯k̯ōn|pier̯k̯ōj|pier̯k̯ōsnē|pierkōnē|pier̯k̯ōk|pierkus̯ën|pier̯k̯ōstē|pier̯k̯ōjnē|pier̯k̯ujnë|pier̯k̯ōjtē|pier̯k̯ōjstē|pierkōtē	<i>noun</i><br><ol><li>food</li><li>meat</li></ol>
pieŋkë|pieŋ̯k̯ëk|pieŋkëtē|pieŋ̯k̯ëstē|pieŋ̯k̯ëjstē|pieŋ̯k̯ën|pieŋ̯k̯ëjnë|pieŋ̯k̯ëjtē|pieŋkënē|pieŋ̯k̯ësnē|pieŋkës̯ën|pieŋ̯k̯ëjnē|pieŋ̯k̯ëptāk̯ëk|pieŋ̯k̯ëj|pieŋ̯k̯ëm	<i>noun</i><br><ol><li>wind</li></ol>
piksë	<i>noun</i><br><ol><li>bird's sternum</li></ol>
piktētēk	<i>verb</i><br><ol><li>to warm</li></ol>
piltë|piltës̯ën|piltëtē|piltënē|pil̯t̯ëjnë|pil̯t̯ëjnē|pil̯t̯ëptāk̯ëk|pil̯t̯ëjstē|pil̯t̯ëj|pil̯t̯ëk|pil̯t̯ëjtē|pil̯t̯ësnē|pil̯t̯ëstē|pil̯t̯ëm|pil̯t̯ën	<i>noun</i><br><ol><li>pole, log</li></ol>
pintō|pintus̯ën|pin̯t̯ōm|pintōnē|pin̯t̯ōsnē|pin̯t̯ujnë|pin̯t̯ōptāk̯ëk|pin̯t̯ōstē|pin̯t̯ōjnē|pin̯t̯ōn|pintōtē|pin̯t̯ōj|pin̯t̯ōk|pin̯t̯ōjtē|pin̯t̯ōjstē	<i>noun</i><br><ol><li>woman's sock</li></ol>
pirë	<i>adv</i><br><ol><li>around</li></ol>
pirēm	<i>noun</i><br><ol><li>bird or squirrel's stomach</li></ol>
pittā	<i>noun</i><br><ol><li>piece</li></ol>
pivëtēk	<i>verb</i><br><ol><li>to stay warm, to bear the cold</li></ol>
piŋël|piŋ̯ël|piŋël̯ëm|piŋël̯ëk|piŋ̯ëltē|piŋël̯ësnē|piŋël̯ëstē|piŋ̯ël̯s̯ën|piŋël̯ëj|piŋël̯ëjnë|piŋël̯ëptāk̯ëk|piŋ̯ëlnē|piŋël̯ëjnē|piŋël̯ëjstē|piŋël̯ën|piŋël̯ëjtē	<i>noun</i><br><ol><li>longer of unpaired skis</li></ol>
poackē|poac̯k̯ijtē|poackēnē|poackētē|poac̯k̯ēm|poac̯k̯ijnë|poac̯k̯ēptāk̯ëk|poackās̯ën|poac̯k̯ijstē|poac̯k̯ēsnē|poac̯k̯ēn|poac̯k̯ijnē|poac̯k̯ēk|poac̯k̯ij|poac̯k̯ēstē	<i>noun</i><br><ol><li>ankle</li></ol>
poacōj	<i>noun</i><br><ol><li>reindeer</li></ol>
poajmōtēk	<i>verb</i><br><ol><li>to peck</li></ol>
poakčānëtēk	<i>verb</i><br><ol><li>to choke (on food)</li></ol>
poakōstētēk	<i>verb</i><br><ol><li>to laugh</li></ol>
poaltētēk	<i>verb</i><br><ol><li>to burn</li></ol>
poarēs	<i>adj</i><br><ol><li>old</li></ol>
poatkënētēk	<i>verb</i><br><ol><li>to break</li></ol>
poatētēk	<i>verb</i><br><ol><li>to come</li></ol>
poaššō|poaš̯š̯ōn|poaš̯š̯ōj|poaš̯š̯ōstē|poaššus̯ën|poaššōnē|poaš̯š̯ōk|poaš̯š̯ōjnē|poaš̯š̯ōsnē|poaš̯š̯ujnë|poaš̯š̯ōptāk̯ëk|poaš̯š̯ōm|poaššōtē|poaš̯š̯ōjtē|poaš̯š̯ōjstē	<i>noun</i><br><ol><li>the rear part of a traditional Sami dwelling (*koatē)</li></ol>
poktētēk	<i>verb</i><br><ol><li>to wake up (someone)</li></ol>
polttōtēk	<i>verb</i><br><ol><li>to rummage</li></ol>
poncētēk	<i>verb</i><br><ol><li>to shake</li></ol>
pontë|pon̯t̯ëstē|pon̯t̯ëptāk̯ëk|pon̯t̯ëj|pon̯t̯ëjnë|pon̯t̯ëk|pon̯t̯ëm|pon̯t̯ëjstē|pon̯t̯ësnē|pontëtē|pontës̯ën|pontënē|pon̯t̯ën|pon̯t̯ëjtē|pon̯t̯ëjnē	<i>noun</i><br><ol><li>moment</li></ol>
ponētēk	<i>verb</i><br><ol><li>to plait</li></ol>
porkë|por̯k̯ëj|por̯k̯ëstē|porkënē|por̯k̯ëjstē|por̯k̯ëjtē|por̯k̯ëk|porkës̯ën|porkëtē|por̯k̯ësnē|por̯k̯ëjnë|por̯k̯ën|por̯k̯ëm|por̯k̯ëjnē|por̯k̯ëptāk̯ëk	<i>noun</i><br><ol><li>storm</li></ol>
portētēk	<i>verb</i><br><ol><li>to stack</li></ol>
porëntëtēk	
porëstētēk	<i>verb</i><br><ol><li>to eat quickly</li></ol>
porëttētēk	<i>verb</i><br><ol><li>to feed</li></ol>
porëtēk	<i>verb</i><br><ol><li>to eat</li></ol>
poršōtēk	<i>verb</i><br><ol><li>to bubble</li><li>to seethe</li></ol>
poskëtēk	<i>verb</i><br><ol><li>to stick, to push</li></ol>
posōtēk	<i>verb</i><br><ol><li>(of wind) to blow, to be windy</li></ol>
potënētēk	<i>verb</i><br><ol><li>to flood</li><li>to boil over</li></ol>
pońëtēk	<i>verb</i><br><ol><li>to twist</li></ol>
pulkkē|pulkkās̯ën|pul̯k̯k̯ēstē|pul̯k̯k̯ēptāk̯ëk|pul̯k̯k̯ēn|pul̯k̯k̯ēm|pulkkēnē|pul̯k̯k̯ēsnē|pul̯k̯k̯ij|pul̯k̯k̯ijnë|pulkkētē|pul̯k̯k̯ijstē|pul̯k̯k̯ijtē|pul̯k̯k̯ijnē|pul̯k̯k̯ēk	<i>noun</i><br><ol><li>pulk</li></ol>
pulččëtēk	<i>verb</i><br><ol><li>to splash</li></ol>
puntijētēk	<i>verb</i><br><ol><li>to seam</li></ol>
puocëtēk	<i>verb</i><br><ol><li>to be sick (with a disease)</li></ol>
puojtëk|puojtëk̯ësnē|puoj̯t̯ëknē|puojtëk̯ëjnē|puojtëk̯ëptāk̯ëk|puojtëk̯ëk|puojtëk̯ën|puojtëk̯ëjnë|puojtëk̯ëj|puoj̯t̯ëktē|puojtëk̯ëjstē|puojtëk̯ëstē|puoj̯t̯ëk̯s̯ën|puojtëk̯ëjtē|puoj̯t̯ëk|puojtëk̯ëm	<i>noun</i><br><ol><li>stoat, weasel</li></ol>
puojtē|puoj̯t̯ēstē|puoj̯t̯ēm|puojtās̯ën|puoj̯t̯ijtē|puoj̯t̯ēptāk̯ëk|puoj̯t̯ij|puoj̯t̯ēsnē|puojtētē|puoj̯t̯ijnē|puoj̯t̯ijstē|puoj̯t̯ēn|puoj̯t̯ijnë|puojtēnē|puoj̯t̯ēk	<i>noun</i><br><ol><li>fat</li></ol>
puoktētēk	<i>verb</i><br><ol><li>to fetch, to bring</li></ol>
puokčëtēk	<i>verb</i><br><ol><li>to dive</li></ol>
puolnëtēk	<i>verb</i><br><ol><li>to wilt</li></ol>
puolvë|puol̯v̯ëj|puol̯v̯ën|puolvëtē|puol̯v̯ëptāk̯ëk|puolvës̯ën|puol̯v̯ësnē|puol̯v̯ëk|puol̯v̯ëjtē|puol̯v̯ëjstē|puol̯v̯ëjnë|puol̯v̯ëm|puol̯v̯ëjnē|puolvënē|puol̯v̯ëstē	<i>noun</i><br><ol><li>knee</li></ol>
puolētēk	<i>verb</i><br><ol><li>to burn</li></ol>
puorē	<i>adj</i><br><ol><li>good</li></ol>
puorēntētēk	<i>verb</i><br><ol><li>to make better, to improve</li></ol>
puońōtēk	<i>verb</i><br><ol><li>to dip (in something)</li></ol>
puoδō|puoδōtē|puoδ̯ōjstē|puoδ̯ōn|puoδ̯ōsnē|puoδ̯ōstē|puoδus̯ën|puoδ̯ōjtē|puoδ̯ōptāk̯ëk|puoδ̯ōj|puoδōnē|puoδ̯ujnë|puoδ̯ōm|puoδ̯ōk|puoδ̯ōjnē	<i>noun</i><br><ol><li>dam</li></ol>
puoδōtēk	<i>verb</i><br><ol><li>to dam</li></ol>
puvrē|puvrētē|puv̯r̯ijnë|puv̯r̯ij|puv̯r̯ēstē|puv̯r̯ijstē|puv̯r̯ēptāk̯ëk|puv̯r̯ēsnē|puvrēnē|puv̯r̯ēm|puv̯r̯ēk|puv̯r̯ijnē|puv̯r̯ijtē|puvrās̯ën|puv̯r̯ēn	<i>noun</i><br><ol><li>storehouse</li></ol>
puvētēk	<i>verb</i><br><ol><li>to strangle</li></ol>
pëjānëtēk	<i>verb</i><br><ol><li>to rise, to get up</li></ol>
pëjēntētēk	<i>verb</i><br><ol><li>to lift, to raise</li></ol>
pëkētēk	<i>verb</i><br><ol><li>to tear</li></ol>
pëltāskëtēk	
pëltētēk	<i>verb</i><br><ol><li>to scare, to be fearsome</li></ol>
pëlvë|pël̯v̯ësnē|pël̯v̯ëstē|pël̯v̯ëjstē|pëlvënē|pël̯v̯ëj|pël̯v̯ën|pël̯v̯ëm|pël̯v̯ëk|pëlvëtē|pël̯v̯ëjtē|pël̯v̯ëjnē|pëlvës̯ën|pël̯v̯ëptāk̯ëk|pël̯v̯ëjnë	<i>noun</i><br><ol><li>cloud</li></ol>
pëlëtēk	<i>verb</i><br><ol><li>to fear</li></ol>
pëlājëtēk	<i>verb</i><br><ol><li>to become scared</li></ol>
përkëtēk	<i>verb</i><br><ol><li>to work</li></ol>
përttë|përttënē|për̯t̯t̯ëjnë|për̯t̯t̯ëstē|për̯t̯t̯ëjstē|për̯t̯t̯ëjnē|për̯t̯t̯ëk|për̯t̯t̯ësnē|përttëtē|për̯t̯t̯ëptāk̯ëk|për̯t̯t̯ëm|për̯t̯t̯ëj|për̯t̯t̯ëjtē|për̯t̯t̯ën|përttës̯ën	<i>noun</i><br><ol><li>cabin</li></ol>
pëstējēlē|pëstējēlēs	<i>adj</i><br><ol><li>sharp</li></ol>
pëstētēk	<i>verb</i><br><ol><li>to stick, to stab</li><li>to be sharp</li></ol>
pësëntëtēk	<i>verb</i><br><ol><li>to wash oneself</li></ol>
pësëtēk	<i>verb</i><br><ol><li>to wash</li></ol>
pësē	<i>adj</i><br><ol><li>holy, sacred</li></ol>
pësētēk	<i>verb</i><br><ol><li>to bake</li></ol>
pëtë|pëtëtē|pët̯ëjnë|pët̯ën|pët̯ëj|pët̯ëjstē|pët̯ëstē|pëtës̯ën|pët̯ëjtē|pët̯ëjnē|pët̯ëm|pët̯ësnē|pët̯ëk|pët̯ëptāk̯ëk|pëtënē	<i>noun</i><br><ol><li>butt, arse</li></ol>
pëčētēk	<i>verb</i><br><ol><li>to squeeze</li><li>to milk</li></ol>
pëŋkōj	<i>noun</i><br><ol><li>hazel grouse</li></ol>
pëŋsëm|pëŋsëm̯ëjnē|pëŋsëm̯ën|pëŋsëm̯ëm|pëŋ̯s̯ëm|pëŋsëm̯ëjtē|pëŋ̯s̯ëmtē|pëŋsëm̯ëjnë|pëŋsëm̯ëjstē|pëŋsëm̯ësnē|pëŋsëm̯ëstē|pëŋ̯s̯ëmnē|pëŋ̯s̯ëm̯s̯ën|pëŋsëm̯ëptāk̯ëk|pëŋsëm̯ëk|pëŋsëm̯ëj	<i>noun</i><br><ol><li>lip</li></ol>
pëškë|pëš̯k̯ëjnë|pëš̯k̯ëj|pëš̯k̯ëm|pëš̯k̯ën|pëškëtē|pëš̯k̯ëstē|pëš̯k̯ëjstē|pëškës̯ën|pëškënē|pëš̯k̯ësnē|pëš̯k̯ëk|pëš̯k̯ëptāk̯ëk|pëš̯k̯ëjtē|pëš̯k̯ëjnē	<i>noun</i><br><ol><li>crap, shit</li></ol>
pāccëtēk	<i>verb</i><br><ol><li>to release</li></ol>
pācētēk	<i>verb</i><br><ol><li>to remain, to be left over</li></ol>
pājnētēk	<i>verb</i><br><ol><li>to press</li><li>to colour</li></ol>
pājëtēk	<i>verb</i><br><ol><li>to allow</li><li>to be used to</li></ol>
pākkës	<i>adj</i><br><ol><li>hot (temperature)</li></ol>
pāktē|pāk̯t̯ēn|pāk̯t̯ijtē|pāk̯t̯ēk|pāk̯t̯ēm|pāktās̯ën|pāktētē|pāktēnē|pāk̯t̯ijnë|pāk̯t̯ēsnē|pāk̯t̯ij|pāk̯t̯ijnē|pāk̯t̯ēstē|pāk̯t̯ēptāk̯ëk|pāk̯t̯ijstē	<i>noun</i><br><ol><li>rock</li><li>steep mountain</li></ol>
pālkēs	<i>noun</i><br><ol><li>path, way</li></ol>
pāllō|pāl̯l̯ōk|pāl̯l̯ujnë|pāl̯l̯ōptāk̯ëk|pāl̯l̯ōm|pāl̯l̯ōjtē|pāl̯l̯ōstē|pāl̯l̯ōjstē|pāllus̯ën|pāl̯l̯ōsnē|pāl̯l̯ōjnē|pāllōtē|pāllōnē|pāl̯l̯ōj|pāl̯l̯ōn	<i>noun</i><br><ol><li>ball</li><li>testicle</li></ol>
pānē|pān̯ēk|pānēnē|pānās̯ën|pān̯ēn|pān̯ēm|pānētē|pān̯ijtē|pān̯ij|pān̯ijstē|pān̯ēptāk̯ëk|pān̯ijnë|pān̯ēsnē|pān̯ēstē|pān̯ijnē	<i>noun</i><br><ol><li>tooth</li></ol>
pārkētētēk	<i>verb</i><br><ol><li>to plait</li></ol>
pārnē|pār̯n̯ēptāk̯ëk|pār̯n̯ēk|pār̯n̯ēsnē|pārnēnē|pār̯n̯ēstē|pār̯n̯ēn|pārnās̯ën|pārnētē|pār̯n̯ij|pār̯n̯ijnē|pār̯n̯ēm|pār̯n̯ijnë|pār̯n̯ijtē|pār̯n̯ijstē	<i>noun</i><br><ol><li>child</li><li>boy, son</li></ol>
pārtētēk	<i>verb</i><br><ol><li>to border</li></ol>
pārō|pār̯ōjstē|pār̯ujnë|pār̯ōjtē|pārōtē|pārōnē|pār̯ōn|pār̯ōstē|pār̯ōptāk̯ëk|pārus̯ën|pār̯ōj|pār̯ōjnē|pār̯ōm|pār̯ōsnē|pār̯ōk	<i>noun</i><br><ol><li>wave</li></ol>
pātërëtēk	<i>verb</i><br><ol><li>to escape</li></ol>
pāčētēk	<i>verb</i><br><ol><li>to shoot</li></ol>
pāštētēk	<i>verb</i><br><ol><li>to bake</li></ol>
reakōtēk	<i>verb</i><br><ol><li>to scream</li></ol>
reappēnē	<i>noun</i><br><ol><li>vent</li></ol>
reačmē|reač̯m̯ijtē|reač̯m̯ēm|reačmēnē|reačmās̯ën|reač̯m̯ijnë|reač̯m̯ēptāk̯ëk|reač̯m̯ijnē|reač̯m̯ijstē|reač̯m̯ēstē|reač̯m̯ij|reač̯m̯ēn|reač̯m̯ēsnē|reač̯m̯ēk|reačmētē	<i>noun</i><br><ol><li>cord in fishing net</li></ol>
reaŋvētēk	<i>verb</i><br><ol><li>to burp</li></ol>
riesëtēk	<i>verb</i><br><ol><li>to decorate</li></ol>
rijtō|rij̯t̯ōm|rij̯t̯ōsnē|rij̯t̯ōjstē|rijtōtē|rij̯t̯ōk|rij̯t̯ōstē|rij̯t̯ōjnē|rij̯t̯ōjtē|rij̯t̯ōn|rijtōnē|rij̯t̯ujnë|rij̯t̯ōptāk̯ëk|rijtus̯ën|rij̯t̯ōj	<i>noun</i><br><ol><li>quarrel</li></ol>
rintō|rin̯t̯ōk|rin̯t̯ōn|rin̯t̯ōm|rintus̯ën|rin̯t̯ōjtē|rin̯t̯ōj|rintōnē|rin̯t̯ōptāk̯ëk|rin̯t̯ōsnē|rintōtē|rin̯t̯ōstē|rin̯t̯ōjstē|rin̯t̯ōjnē|rin̯t̯ujnë	<i>noun</i><br><ol><li>shore, beach</li></ol>
rinē|rinās̯ën|rin̯ijnē|rin̯ijnë|rin̯ēstē|rin̯ēsnē|rin̯ijtē|rin̯ēptāk̯ëk|rin̯ij|rin̯ēm|rinētē|rinēnē|rin̯ijstē|rin̯ēn|rin̯ēk	<i>noun</i><br><ol><li>frost</li></ol>
ripë|rip̯ëstē|rip̯ësnē|rip̯ëjnē|ripëtē|ripënē|rip̯ëptāk̯ëk|rip̯ëj|rip̯ëm|rip̯ëjstē|rip̯ën|ripës̯ën|rip̯ëjtē|rip̯ëjnë|rip̯ëk	<i>noun</i><br><ol><li>mote</li></ol>
rissē|rissās̯ën|ris̯s̯ēm|rissēnē|ris̯s̯ēk|ris̯s̯ij|ris̯s̯ēn|ris̯s̯ijnē|ris̯s̯ēstē|ris̯s̯ēptāk̯ëk|ris̯s̯ēsnē|rissētē|ris̯s̯ijstē|ris̯s̯ijnë|ris̯s̯ijtē	<i>noun</i><br><ol><li>twig</li></ol>
ritë|rit̯ën|rit̯ëptāk̯ëk|ritës̯ën|rit̯ëjnē|rit̯ëj|ritënē|ritëtē|rit̯ëstē|rit̯ëjstē|rit̯ëk|rit̯ëjtē|rit̯ësnē|rit̯ëjnë|rit̯ëm	<i>noun</i><br><ol><li>innards</li><li>half carcass</li></ol>
riččōtēk	<i>verb</i><br><ol><li>to open</li><li>to struggle</li></ol>
riŋkē|riŋ̯k̯ēn|riŋ̯k̯ēptāk̯ëk|riŋkēnē|riŋ̯k̯ēk|riŋkētē|riŋ̯k̯ijnē|riŋ̯k̯ēm|riŋ̯k̯ijnë|riŋ̯k̯ijstē|riŋ̯k̯ēsnē|riŋ̯k̯ēstē|riŋ̯k̯ijtē|riŋkās̯ën|riŋ̯k̯ij	<i>noun</i><br><ol><li>ring</li></ol>
roakkëstētēk	
roakkëtēk	
roavrō|roavrōnē|roav̯r̯ujnë|roavrōtē|roav̯r̯ōk|roav̯r̯ōn|roav̯r̯ōjnē|roav̯r̯ōptāk̯ëk|roav̯r̯ōjtē|roav̯r̯ōj|roav̯r̯ōjstē|roavrus̯ën|roav̯r̯ōsnē|roav̯r̯ōstē|roav̯r̯ōm	
roavē|roav̯ēsnē|roav̯ijstē|roav̯ijnē|roav̯ēstē|roav̯ijnë|roav̯ēptāk̯ëk|roavās̯ën|roav̯ij|roavētē|roav̯ijtē|roav̯ēm|roav̯ēk|roav̯ēn|roavēnē	<i>noun</i><br><ol><li>burnt land</li></ol>
roaŋvō|roaŋ̯v̯ōjnē|roaŋ̯v̯ōm|roaŋvōtē|roaŋ̯v̯ōj|roaŋ̯v̯ōptāk̯ëk|roaŋ̯v̯ōstē|roaŋ̯v̯ōjstē|roaŋ̯v̯ōsnē|roaŋvōnē|roaŋ̯v̯ōjtē|roaŋ̯v̯ōk|roaŋvus̯ën|roaŋ̯v̯ōn|roaŋ̯v̯ujnë	<i>noun</i><br><ol><li>blanket</li></ol>
roašmē	<i>noun</i><br><ol><li>wrinkle</li></ol>
rokājëttētēk	
ronō|ron̯ōptāk̯ëk|ron̯ōm|ronus̯ën|ronōtē|ron̯ōj|ron̯ōjtē|ron̯ujnë|ron̯ōjstē|ron̯ōjnē|ron̯ōstē|ron̯ōk|ronōnē|ron̯ōsnē|ron̯ōn	<i>noun</i><br><ol><li>reindeer cow</li></ol>
rottō|rot̯t̯ōk|rot̯t̯ōn|rot̯t̯ōj|rot̯t̯ujnë|rot̯t̯ōptāk̯ëk|rot̯t̯ōm|rottōnē|rot̯t̯ōsnē|rot̯t̯ōjnē|rottus̯ën|rot̯t̯ōstē|rottōtē|rot̯t̯ōjstē|rot̯t̯ōjtē	<i>noun</i><br><ol><li>hurry</li></ol>
rotō|rot̯ōjnē|rotus̯ën|rotōnē|rot̯ujnë|rot̯ōstē|rot̯ōm|rot̯ōjtē|rot̯ōsnē|rot̯ōjstē|rot̯ōn|rotōtē|rot̯ōk|rot̯ōptāk̯ëk|rot̯ōj	<i>noun</i><br><ol><li>grove</li></ol>
ročē|roč̯ijstē|roč̯ijtē|ročētē|roč̯ijnē|roč̯ēstē|roč̯ij|ročās̯ën|roč̯ēptāk̯ëk|roč̯ēn|roč̯ēk|roč̯ēm|roč̯ijnë|ročēnē|roč̯ēsnē	<i>noun</i><br><ol><li>strait</li></ol>
roŋkëtēk	<i>verb</i><br><ol><li>to dig</li></ol>
ruojnës|ruojnë	<i>adj</i><br><ol><li>thin, skinny</li></ol>
ruojtë|ruojtëtē|ruoj̯t̯ëm|ruojtënē|ruoj̯t̯ëjnë|ruoj̯t̯ëstē|ruojtës̯ën|ruoj̯t̯ësnē|ruoj̯t̯ëk|ruoj̯t̯ëjnē|ruoj̯t̯ën|ruoj̯t̯ëj|ruoj̯t̯ëptāk̯ëk|ruoj̯t̯ëjstē|ruoj̯t̯ëjtē	<i>noun</i><br><ol><li>thigh</li></ol>
ruojvēs	<i>noun</i><br><ol><li>hemp</li></ol>
ruojës|ruojës̯ëjtē|ruojës̯ëstē|ruoj̯ës|ruojës̯ëjnē|ruojës̯ëjnë|ruoj̯ës̯s̯ën|ruojës̯ëjstē|ruoj̯ëstē|ruojës̯ëptāk̯ëk|ruojës̯ëj|ruojës̯ëm|ruoj̯ësnē|ruojës̯ën|ruojës̯ësnē|ruojës̯ëk	<i>noun</i><br><ol><li>stem of a boot/shoe</li></ol>
ruokō|ruokōtē|ruokōnē|ruok̯ōjnē|ruokus̯ën|ruok̯ōptāk̯ëk|ruok̯ōm|ruok̯ōjstē|ruok̯ōstē|ruok̯ōk|ruok̯ōj|ruok̯ōsnē|ruok̯ōjtē|ruok̯ōn|ruok̯ujnë	<i>noun</i><br><ol><li>reed</li></ol>
ruompē|ruom̯p̯ēk|ruom̯p̯ēm|ruom̯p̯ēsnē|ruom̯p̯ēstē|ruom̯p̯ēn|ruom̯p̯ijnē|ruompētē|ruom̯p̯ijstē|ruom̯p̯ēptāk̯ëk|ruom̯p̯ijnë|ruom̯p̯ijtē|ruompās̯ën|ruompēnē|ruom̯p̯ij	<i>noun</i><br><ol><li>scab</li></ol>
ruomtë|ruom̯t̯ëjnë|ruom̯t̯ëjstē|ruomtëtē|ruom̯t̯ësnē|ruom̯t̯ëjtē|ruomtës̯ën|ruom̯t̯ëstē|ruom̯t̯ëk|ruom̯t̯ëptāk̯ëk|ruomtënē|ruom̯t̯ën|ruom̯t̯ëj|ruom̯t̯ëm|ruom̯t̯ëjnē	<i>noun</i><br><ol><li>edge</li></ol>
ruontës	<i>noun</i><br><ol><li>wrist</li></ol>
ruopsë	<i>adj</i><br><ol><li>red</li></ol>
ruopsëtē	<i>adj</i><br><ol><li>red</li></ol>
ruoptō	<i>adv</i><br><ol><li>back</li></ol>
ruoptōtē	<i>adv</i><br><ol><li>back</li></ol>
ruopëtēk	<i>verb</i><br><ol><li>to scrape, to claw</li></ol>
ruostë|ruostënē|ruos̯t̯ëjnë|ruos̯t̯ëm|ruos̯t̯ëj|ruos̯t̯ëjnē|ruos̯t̯ësnē|ruos̯t̯ëptāk̯ëk|ruos̯t̯ëk|ruos̯t̯ëstē|ruos̯t̯ëjtē|ruos̯t̯ën|ruostëtē|ruostës̯ën|ruos̯t̯ëjstē	<i>noun</i><br><ol><li>rust</li></ol>
ruosëtēk	<i>verb</i><br><ol><li>to stumble</li></ol>
ruosōtēk	<i>verb</i><br><ol><li>to shine, to sparkle</li></ol>
ruottëtēk	<i>verb</i><br><ol><li>to gallop</li></ol>
ruovjē|ruov̯j̯ēsnē|ruov̯j̯ijnē|ruovjēnē|ruov̯j̯ēm|ruov̯j̯ijnë|ruovjās̯ën|ruov̯j̯ijstē|ruovjētē|ruov̯j̯ij|ruov̯j̯ēstē|ruov̯j̯ēk|ruov̯j̯ēn|ruov̯j̯ijtē|ruov̯j̯ēptāk̯ëk	<i>noun</i><br><ol><li>body part of a slaughtered animal</li></ol>
ruovkëtēk	<i>verb</i><br><ol><li>to growl</li></ol>
ruovsē|ruov̯s̯ēstē|ruov̯s̯ijstē|ruov̯s̯ijnē|ruov̯s̯ēsnē|ruovsās̯ën|ruov̯s̯ēm|ruov̯s̯ēn|ruov̯s̯ēptāk̯ëk|ruov̯s̯ijtē|ruov̯s̯ij|ruov̯s̯ijnë|ruov̯s̯ēk|ruovsētē|ruovsēnē	<i>noun</i><br><ol><li>udder</li></ol>
ruovtëtēk	<i>verb</i><br><ol><li>to be sunburnt</li></ol>
ruovtē|ruovtās̯ën|ruov̯t̯ēm|ruov̯t̯ijnë|ruov̯t̯ēstē|ruov̯t̯ēptāk̯ëk|ruov̯t̯ij|ruov̯t̯ijstē|ruov̯t̯ēk|ruov̯t̯ēsnē|ruov̯t̯ijtē|ruov̯t̯ēn|ruov̯t̯ijnē|ruovtēnē|ruovtētē	<i>noun</i><br><ol><li>iron</li></ol>
ruoŋë|ruoŋ̯ëjnë|ruoŋës̯ën|ruoŋëtē|ruoŋënē|ruoŋ̯ëj|ruoŋ̯ëstē|ruoŋ̯ëjtē|ruoŋ̯ëk|ruoŋ̯ësnē|ruoŋ̯ëptāk̯ëk|ruoŋ̯ëjstē|ruoŋ̯ëm|ruoŋ̯ëjnē|ruoŋ̯ën	<i>noun</i><br><ol><li>conditions with little snow</li></ol>
ruoššē|ruoš̯š̯ēk|ruoš̯š̯ēn|ruoš̯š̯ēstē|ruoššēnē|ruoš̯š̯ij|ruoš̯š̯ijstē|ruoš̯š̯ijtē|ruoš̯š̯ēptāk̯ëk|ruoš̯š̯ijnë|ruoššās̯ën|ruoš̯š̯ēsnē|ruoš̯š̯ēm|ruoš̯š̯ijnē|ruoššētē	<i>noun</i><br><ol><li>(Western Samic) rush (plant)</li></ol>
rusnë|rus̯n̯ëstē|rus̯n̯ëjtē|rus̯n̯ësnē|rusnënē|rus̯n̯ëj|rus̯n̯ëm|rus̯n̯ëk|rus̯n̯ëjnë|rus̯n̯ëptāk̯ëk|rusnës̯ën|rusnëtē|rus̯n̯ëjnē|rus̯n̯ën|rus̯n̯ëjstē	<i>noun</i><br><ol><li>mist in freezing weather</li></ol>
ruvtijëtēk	<i>verb</i><br><ol><li>to plait</li></ol>
